Fecha,dias,ndvi,Temperature,Dia_x,Reconstruida_x,Ajustados_x,SRF,Dia_y,Reconstruida_y,Ajustados_y,Precipitation,acum,Evapotranspiration,Dia,Reconstruida,Ajustados,acum_ref,acum_ajustados,RH12,holtwinters_predicts
2022-05-01,1.0,0.12306185780000001,301.86307,852,301.4010191641037,300.98848857038564,16587024.0,852,20718039.15621255,23133627.315802947,3.1,3.1,4.646023,852,5.423103996501372,5.9652041425781706,4.646023,5.9652041425781706,57.867,52.85536793026137
2022-05-02,2.0,0.1294274813,302.37198,853,302.0422929479149,301.0669698572924,20359948.0,853,21553601.61354339,23211613.11951721,1.89,4.99,5.4992847,853,5.674190754118751,5.984722127318952,10.1453077,11.949926269897123,55.81627,52.98696162907108
2022-05-03,3.0,0.1357619148,302.90152,854,302.8161892755184,301.1448502221885,21979616.0,854,22601369.69247157,23288590.03604151,0.41,5.4,5.751317,854,5.961506398757215,6.003900621634967,15.8966247,17.95382689153209,50.903183,50.92212519627239
2022-05-04,4.0,0.1420651583,303.1051,855,303.6053044258644,301.2221070222419,23749726.0,855,23636866.71641795,23364535.06087081,1.39,6.79,6.47347,855,6.235923128974728,6.022734004691703,22.3700947,23.97656089622379,52.296963,48.981931824660826
2022-05-05,5.0,0.1483372118,303.54324,856,304.27225025142405,301.2987177959152,24929830.0,856,24422809.995966617,23439425.497880325,0.31,7.1,6.3964424,856,6.446854503280079,6.041216756799874,28.7665371,30.017777653023664,47.01194,55.17677066866561
2022-05-06,6.0,0.1545780753,303.95935,857,304.6990753346645,301.3746602694957,23279740.0,857,24792271.46771734,23513238.966108147,0.37,7.47,5.9410105,857,6.558462746973581,6.059343461033144,34.7075476,36.07712111405681,45.929024,50.70525631926362
2022-05-07,7.0,0.16078774880000002,304.58575,858,304.82168708750595,301.44991236357134,25415298.0,858,24711560.06229431,23585953.406443886,0.04,7.51,6.764945,858,6.5627389187210845,6.077108804815714,41.472492599999995,42.154229918872524,44.25519,49.38560727620412
2022-05-08,8.0,0.16696623230000002,304.90906,859,304.64824224993487,301.5244521994502,26731204.0,859,24299492.46097024,23657547.08822093,0.02,7.529999999999999,7.19111,859,6.484568549097562,6.094507581479328,48.6636026,48.24873750035185,46.11747,47.292803892434414
2022-05-09,9.0,0.1731135258,305.08316,860,304.2558793581157,301.5982581055212,26791836.0,860,23794281.232183687,23727998.61571072,0.04,7.569999999999999,7.1777873,860,6.376283214884994,6.111534691789252,55.841389899999996,54.3602721921411,45.18852,45.87224934921069
2022-05-10,10.0,0.1792296293,304.16904,861,303.7672697035625,301.67130862355515,17741494.0,861,23477302.4881076,23797286.9345168,2.04,9.61,4.930312,861,6.302636284812976,6.128185145438753,60.7717019,60.48845733757986,53.335327,46.73103056648519
2022-05-11,11.0,0.1853145428,303.0281,862,303.3148628200525,301.7435825149432,21986714.0,862,23578285.01638528,23865391.337866936,1.51,11.12,5.807129,862,6.320491799710294,6.144454062511658,66.5788309,66.63291140009152,55.483044,55.21442880816697
2022-05-12,12.0,0.1913682663,303.1389,863,303.00431828365305,301.815058766872,26271600.0,863,24193631.59795228,23932291.472801305,0.55,11.67,6.906114,863,6.459609424079337,6.160336674912563,73.4849449,72.79324807500407,45.48624,61.40128236431211
2022-05-13,13.0,0.19739079980000002,303.2972,864,302.8883686316383,301.88571659843274,26866374.0,864,25246020.21960159,23997967.34625497,0.3,11.97,7.4318576,864,6.710950980180982,6.1758283277642665,80.9168025,78.96907640276834,40.201073,49.73761101400587
2022-05-14,14.0,0.2033821433,302.60995,865,302.9584898825001,301.95553546666315,26354744.0,865,26500187.015345268,24062399.331032816,0.14,12.110000000000001,6.8603635,865,7.026800356456167,6.190924480772019,87.77716600000001,85.16000088354036,41.879284,44.661706939592
2022-05-15,15.0,0.20934229680000002,302.98886,866,303.15569269905365,302.0244950725199,28114600.0,866,27631250.216094088,24125568.17167509,0.0,12.110000000000001,7.3091407,866,7.333297186096256,6.205620709554196,95.08630670000001,91.36562159309456,37.94788,37.615369986708565
2022-05-16,16.0,0.21527126030000002,303.20905,867,303.39557485159304,302.0925753667806,27788996.0,867,28324333.42938112,24187454.990211897,0.01,12.120000000000001,7.349682,867,7.5519161488187105,6.219912706938988,102.43598870000001,97.58553430003354,39.70103,37.76770902799443
2022-05-17,17.0,0.22116903380000003,303.40234,868,303.5985192392379,302.1597565558725,28182482.0,868,28373550.43682867,24248041.291804902,-0.0,12.120000000000001,7.662774,868,7.623337131990739,6.233796284226761,110.09876270000001,103.8193305842603,33.692314,34.03481168363512
2022-05-18,18.0,0.2270356173,302.3645,869,303.7148775366624,302.2260191076276,25478058.0,869,27748273.73479564,24307308.97027445,0.01,12.13,7.0362873,869,7.526125040151755,6.247267372417669,117.13505,110.06659795667797,44.468624,38.30503767355004
2022-05-19,19.0,0.2328710108,303.69208,870,303.73732131154634,302.29134375696134,26296426.0,870,26605117.77748574,24365240.313510604,0.33,12.46,7.207342,870,7.284090216347718,6.2603220234042,124.342392,116.32691998008217,44.074486,38.71820678428542
2022-05-20,20.0,0.2386752143,305.624,871,303.69731910298947,302.35571151147354,26506314.0,871,25241727.68221859,24421818.008766428,0.14,12.600000000000001,7.3758473,871,6.959724865450648,6.272956411128291,131.7182393,122.59987639121046,41.308685,44.56323679091975
2022-05-21,21.0,0.24444822780000003,304.92014,872,303.6482035928768,302.4191036569703,27036014.0,872,24007378.194475185,24477025.147831857,0.02,12.620000000000001,7.3157825,872,6.635588821468932,6.285166832702663,139.0340218,128.88504322391313,44.27536,43.958962586389774
2022-05-22,22.0,0.2501900513,303.99576,873,303.641667841844,302.48150176290505,23627326.0,873,23199261.050882783,24530845.232086707,0.2,12.82,6.336617,873,6.389477869296988,6.296949709496071,145.3706388,135.1819929334092,46.137638,43.316032190330816
2022-05-23,23.0,0.2559006848,302.24014,874,303.7063807468117,302.54288768773694,21440492.0,874,22977603.141206067,24583262.1774313,4.7,17.52,5.715885,874,6.271315079652853,6.308301588182123,151.0865238,141.49029452159132,48.473083,45.56425616261827
2022-05-24,24.0,0.2615801283,302.4692,875,303.83624862111634,302.6032435842052,20931660.0,875,23326095.909611195,24634260.319093168,1.29,18.81,6.0390363,875,6.289218644246867,6.319219141751383,157.1255601,147.8095136633427,54.04297,50.12728922859623
2022-05-25,25.0,0.2672283818,303.94113,876,303.9921996795726,302.6625519045182,25247850.0,876,24068874.40601154,24683824.41630847,1.59,20.4,7.1005197,876,6.40923465958875,6.329699170486457,164.2260798,154.13921283382916,46.592983,49.08371746177386
2022-05-26,26.0,0.27284544530000004,304.26443,877,304.1165538919968,302.7207954054551,23127700.0,877,24936642.530485462,24731939.65687668,0.99,21.389999999999997,5.7195063,877,6.568732835552083,6.339738602899755,169.9455861,160.47895143672892,50.988354,49.66334608334581
2022-05-27,27.0,0.2784313188,304.64334,878,304.15470857573547,302.77795715337925,26649018.0,878,25658738.041738868,24778591.6615872,0.64,22.029999999999998,6.6057553,878,6.698929982727276,6.349334496633692,176.5513414,166.82828593336262,42.718117,47.72181403084511
2022-05-28,28.0,0.2839860023,304.3093,879,304.07643802339,302.8340205291615,26940742.0,879,26050155.08941544,24823766.48851659,0.59,22.619999999999997,6.7620554,879,6.748950725096069,6.3584840393230335,183.31339680000002,173.18676997268565,43.35329,44.83291504906186
2022-05-29,29.0,0.2895094958,303.9933,880,303.8893124106786,302.8889692330117,27279204.0,880,26065206.885340143,24867450.637195103,0.82,23.439999999999998,7.446753,880,6.703300936455824,6.367184549419139,190.76014980000002,179.5539545221048,43.61157,51.08285594565763
2022-05-30,30.0,0.29500179930000003,304.45468,881,303.63943882711857,302.94278728921813,26824496.0,881,25801493.22352866,24909631.052641287,0.42,23.86,7.271019,881,6.586823305764648,6.375433476975873,198.03116880000002,185.92938799908066,42.21311,43.303717033764926
2022-05-31,31.0,0.30046291280000004,303.17825,882,303.3989661799078,302.995459050792,24448100.0,882,25454918.99756596,24950295.12926345,2.97,26.83,6.1670136,882,6.455413623107351,6.383228404396946,204.1981824,192.31261640347762,47.441162,43.85936390986081
2022-06-01,32.0,0.3058928363,302.8869,883,303.2441632652586,303.0469692040165,23868848.0,883,25242855.77042001,24989430.71462684,4.49,31.32,5.771487,883,6.37559897592411,6.390567047144459,209.96966940000002,198.70318345062208,47.694477,50.16588196053738
2022-06-02,33.0,0.3112915698,302.78116,884,303.23096775891975,303.0973027728994,23884050.0,884,25322692.016665675,25027026.113085408,1.72,33.04,5.7669024,884,6.399891042546077,6.39744725440846,215.7365718,205.10063070503054,52.326508,51.37657019884704
2022-06-03,34.0,0.3166591133,302.97302,885,303.37575523052004,303.1464451235271,26326334.0,885,25733728.961003546,25063070.08927702,0.38,33.42,6.742179,885,6.546331393979695,6.403867009737302,222.4787508,211.50449771476784,43.092113,51.92576309713901
2022-06-04,35.0,0.3219954668,303.6366,886,303.64746700207985,303.19438196831896,26822486.0,886,26381652.373224456,25097551.871481165,0.01,33.43,6.61847,886,6.789313559472576,6.409824431628623,229.0972208,217.91432214639647,40.028446,41.25389679942921
2022-06-05,36.0,0.3273006303,304.50903,887,303.9737161047327,303.24109937018164,27970298.0,887,27069831.86190589,25130461.15483804,-0.0,33.43,7.5889745,887,7.065027387769289,6.415317774080782,236.6861953,224.32963992047726,39.87477,35.65261276811745
2022-06-06,37.0,0.33257460380000003,304.5889,888,304.25919291405086,303.286583746561,28254926.0,888,27565688.218418933,25161788.104428187,0.0,33.43,7.8736973,888,7.2899727483318895,6.42034542710457,244.5598926,230.74998534758183,38.81815,35.59792840832409
2022-06-07,38.0,0.3378173873,304.51266,889,304.41095893395345,303.3308218733909,28346824.0,889,27678770.00439595,25191523.35821164,0.22,33.65,7.6548324,889,7.386581104363613,6.424905917195072,252.21472500000002,237.1748912647769,43.21352,40.08844996888681
2022-06-08,39.0,0.34302898080000005,304.7005,890,304.36318524961,303.3738008889382,27788540.0,890,27323812.28304229,25219658.029825747,1.4,35.05,7.2109666,890,7.307557886736442,6.428997907763519,259.4256916,243.60388917254042,42.41489,42.36857696897312
2022-06-09,40.0,0.3482093843,302.14056,891,304.09415165657305,303.41550829754215,21090346.0,891,26547849.7482733,25246183.711240903,6.73,41.78,5.350992,891,7.050943905058988,6.432620199529017,264.7766836,250.03650937206945,53.559338,44.896938169440645
2022-06-10,41.0,0.3533585978,303.86887,892,303.63075271193486,303.4559319732472,27148780.0,892,25513223.09957539,25271092.475273214,0.23,42.01,6.914571,892,6.660967989069243,6.435771730870032,271.69125460000004,256.47228110293946,40.766483,50.939003683247904
2022-06-11,42.0,0.3584766213,304.3804,893,303.03957958676085,303.4950601633285,25881970.0,893,24443530.194026787,25294376.877953608,0.38,42.39,6.779153,893,6.214490307746992,6.438451578135526,278.47040760000004,262.910732681075,47.93146,49.09965607768294
2022-06-12,43.0,0.3635634548,303.625,894,302.40767404790665,303.53288149170913,26355542.0,894,23551978.70600317,25316029.96075239,3.58,45.97,6.6777883,894,5.797617063000663,6.440658955915668,285.1481959,269.3513916369907,47.413456,41.54811209557685
2022-06-13,44.0,0.36861909830000006,301.2699,895,301.81905166331774,303.5693849622671,23220876.0,895,22977014.644809596,25336045.25265884,6.41,52.379999999999995,5.4390445,895,5.48028283129111,6.442393217272016,290.58724040000004,275.7937848542627,49.6351,47.24361324747432
2022-06-14,45.0,0.37364355180000003,300.1625,896,301.33416253040343,303.60455996203297,20138948.0,896,22746830.111681446,25354416.77211506,6.55,58.92999999999999,4.6630077,896,5.297159678197106,6.443653853927126,295.2502481,282.2374387081898,58.263836,46.488462130627305
2022-06-15,46.0,0.37863681530000004,300.1894,897,300.97829566645333,303.6383962642747,19862538.0,897,22783706.85654561,25371139.028803557,9.24,68.16999999999999,4.6830106,897,5.240980750627357,6.444440496413514,299.9332587,288.6818792046033,59.823147,52.07164629448514
2022-06-16,47.0,0.38359888880000004,300.1455,898,300.7419227138981,303.6708840314717,22579750.0,898,22944953.108149663,25386207.025288004,4.5,72.66999999999999,5.118229,898,5.270048251759377,6.444752914181944,305.0514877,295.12663211878527,54.72585,54.682924113472936
2022-06-17,48.0,0.3885297723,302.1213,899,300.5920744690845,303.70201381817446,26439016.0,899,23084422.28267586,25399616.25850676,1.26,73.92999999999999,6.080934,899,5.326820331152814,6.444591015668992,311.1324217,301.57122313445427,47.274704,55.64403610788397
2022-06-18,49.0,0.39342946580000004,300.024,900,300.4902873379901,303.7317765737509,24479868.0,900,23111677.558639765,25411362.721118573,9.33,83.25999999999999,5.640932,900,5.360717846697549,6.443954848323887,316.77335370000003,308.01517798277814,46.85793,50.44359864094444
2022-06-19,50.0,0.3982979693,301.59763,901,300.4105839608808,303.76016364501777,23715138.0,901,23027122.506887387,25421442.902700186,0.64,83.89999999999999,5.4109497,901,5.346952278757343,6.442844598594602,322.18430340000003,314.45802258137275,51.481194,52.17659511793088
2022-06-20,51.0,0.40313528280000005,301.58325,902,300.3510438098017,303.7871667787564,23935130.0,902,22920334.34691981,25429853.79079541,1.9,85.8,5.545442,902,5.294708407552279,6.441260591873207,327.7297454,320.899283173246,48.359833,48.5993759185469
2022-06-21,52.0,0.40794140630000003,299.4034,903,300.33477430898205,303.81277812411207,19848770.0,903,22932241.209469527,25436592.871815424,17.8,103.6,4.7333865,903,5.241882796053478,6.439203292400508,332.4631319,327.3384864656465,50.914547,50.242460528656565
2022-06-22,53.0,0.4127163398,298.07947,904,300.399808393485,303.8369902348771,17818152.0,904,23194966.07926335,25441658.13178993,21.0,124.6,4.0387177,904,5.2384315263269166,6.436673303129986,336.5018496,333.77515976877646,61.422802,58.76079723611964
2022-06-23,54.0,0.41746008330000006,300.77084,905,300.5814280170855,303.859796071655,26544062.0,905,23771494.850277595,25445048.05696905,0.55,125.14999999999999,5.62786,905,5.32451858582616,6.433671365551079,342.1297096,340.20883113432757,51.820423,54.75197570780709
2022-06-24,55.0,0.42217263680000006,301.5814,906,300.8933124692543,303.88118900390776,27612406.0,906,24617869.229164783,25446761.63427569,1.1,126.24999999999999,6.209669,906,5.511618746793571,6.430198359471873,348.33937860000003,346.63902949379946,47.64726,53.98897354556858
2022-06-25,56.0,0.42685400030000004,301.78357,907,301.31470271146054,303.9011628118831,26758936.0,907,25583100.09183858,25446798.3516083,1.56,127.80999999999999,6.3322377,907,5.773802460268425,6.426255302761243,354.67161630000004,353.0652847965607,48.843395,56.542759530452926
2022-06-26,57.0,0.43150417380000006,302.33633,908,301.78908094955506,303.91971168842326,26532488.0,908,26448965.485858943,25445158.197993927,0.78,128.58999999999997,6.169768,908,6.052904310618763,6.421843351050539,360.8413843,359.48712814761126,53.181072,53.07747376412401
2022-06-27,58.0,0.4361231573,301.93417,909,302.23612812029705,303.93683024065285,26648604.0,909,26997746.60349213,25441841.663591493,9.05,137.64,6.052686,909,6.2763523220581945,6.41696379739489,366.8940703,365.90409194500614,49.223225,46.9036692288897
2022-06-28,59.0,0.44071095080000006,302.70206,910,302.5740998455408,303.9525134915472,26767430.0,910,27085627.803988084,25436849.7395453,4.13,141.76999999999998,6.1896167,910,6.381819858492264,6.411618071894237,373.083687,372.31571001690037,45.032673,47.88525967092898
2022-06-29,60.0,0.4452675543000001,301.88342,911,302.74578830907967,303.96675688137924,23250848.0,911,26696570.21431472,25430183.91768884,6.25,148.01999999999998,5.601662,911,6.340181862864206,6.405807741274201,378.685349,378.72151775817457,46.346416,46.582703489660254
2022-06-30,61.0,0.44979296780000005,302.99704,912,302.73933102734344,303.97955626904496,25464686.0,912,25957113.95953696,25421846.19009894,0.32,148.33999999999997,5.929358,912,6.168494829597627,6.399534508426903,384.61470699999995,385.12105226660145,48.857307,53.36145045246537
2022-07-01,62.0,0.45428719130000006,302.83832,913,302.5961000000977,303.9909079332677,28255130.0,913,25105036.678846024,25411839.048500467,0.22,148.55999999999997,6.703266,913,5.927863588065248,6.392800211911887,391.31797299999994,391.51385247851334,52.44996,45.4187617150047
2022-07-02,63.0,0.4587502248,302.23474,914,302.4016442233216,304.00080857368016,24411306.0,914,24420031.151564192,25400165.48352164,1.96,150.51999999999998,5.673079,914,5.70609127830407,6.385606825417265,396.9910519999999,397.8994593039306,52.04195,48.28613720031447
2022-07-03,64.0,0.4631820683,302.45132,915,302.261099147632,304.0092553117833,24617622.0,915,24137508.453054443,25386828.9838003,1.51,152.02999999999997,5.845468,915,5.5902445084066725,6.377956457181278,402.8365199999999,404.27741576111185,53.951714,49.815183191101774
2022-07-04,65.0,0.46758272180000005,302.4988,916,302.2658911507471,304.01624569178404,24099720.0,916,24372919.52567427,25371833.534941334,2.48,154.50999999999996,5.551482,916,5.637913396056387,6.3698513493744064,408.3880019999999,410.64726711048627,55.642494,49.90352737849607
2022-07-05,66.0,0.47195218530000005,302.52832,917,302.462104495018,304.0217776813088,24373992.0,917,25081399.954715125,25355183.6183256,1.5,156.00999999999996,5.8840938,917,5.85672310147154,6.361293877442238,414.27209579999993,417.0085609879285,51.535645,53.6257690311737
2022-07-06,67.0,0.47629045880000004,302.62738,918,302.8311931886099,304.0258496719943,27948986.0,918,26066767.15944435,25336884.209770605,0.51,156.51999999999995,6.7110543,918,6.199228430238218,6.352286549409272,420.98315009999993,423.36084753733775,43.05885,59.21376144142921
