Fecha,rh12,rh12_holtwin_predicts
2020-01-01,69.903656,64.58225667936382
2020-01-02,70.18706,68.56663188363261
2020-01-03,44.414204,62.29008189489243
2020-01-04,36.821163,44.13342087618808
2020-01-05,41.858917,41.949570844190745
2020-01-06,45.905567,50.66413410783579
2020-01-07,36.380386,45.587233728932524
2020-01-08,45.149284,44.132144079481044
2020-01-09,51.603977,42.92454649909787
2020-01-10,54.11019,48.31471328988991
2020-01-11,23.295511,44.305706319863
2020-01-12,38.27416,41.26298376927658
2020-01-13,48.11599,35.18800076898829
2020-01-14,58.78133,44.09389839027853
2020-01-15,66.87103,53.290724856524484
2020-01-16,68.853645,53.99825682468188
2020-01-17,67.56697,64.34195364324208
2020-01-18,60.33157,68.5668239572886
2020-01-19,60.932526,65.57072324338698
2020-01-20,49.904644,56.607588300039254
2020-01-21,60.622906,69.17370971590762
2020-01-22,55.340473,63.31769002643074
2020-01-23,65.64098,62.19508071624732
2020-01-24,55.15957,63.426438681599144
2020-01-25,73.76351,58.64084555849166
2020-01-26,86.81925,60.937839097328535
2020-01-27,50.384243,70.0246123700168
2020-01-28,60.38803,60.362359717214304
2020-01-29,32.39236,51.018549077460214
2020-01-30,54.05912,47.148789651542906
2020-01-31,57.81787,57.14005047971682
2020-02-01,55.83077,53.89013839468479
2020-02-02,59.342545,57.49694788125123
2020-02-03,60.871704,61.991292708575806
2020-02-04,54.742485,50.7886065686211
2020-02-05,41.57959,48.5405247481087
2020-02-06,41.339394,42.08966573031022
2020-02-07,59.01357,49.62068530320729
2020-02-08,57.67601,55.054387714754874
2020-02-09,53.531437,65.37808412363236
2020-02-10,59.059547,52.41448100515461
2020-02-11,63.561275,65.04828646656097
2020-02-12,59.430748,52.58210064627871
2020-02-13,43.58997,53.85511067372717
2020-02-14,54.486687,48.138870847300396
2020-02-15,46.7485,52.592830894328465
2020-02-16,53.88761,54.88455758201119
2020-02-17,53.04719,55.782335843743944
2020-02-18,55.4055,49.139824603870885
2020-02-19,52.227604,47.3831779700509
2020-02-20,55.353306,52.80277413820159
2020-02-21,54.556995,54.064896596465665
2020-02-22,46.639217,55.186860272019864
2020-02-23,51.17941,49.87003315037171
2020-02-24,56.2633,45.76973239044835
2020-02-25,41.120975,54.615080536944184
2020-02-26,25.970247,50.65746388508835
2020-02-27,22.40106,36.801753373151065
2020-02-28,37.13795,31.53453282673864
2020-02-29,47.59885,34.34228167664394
2020-03-01,51.565704,42.367329930530026
2020-03-02,48.42873,45.12339247517259
2020-03-03,48.49006,40.56900052688877
2020-03-04,24.756815,42.65345092616315
2020-03-05,36.25652,39.310971756038334
2020-03-06,31.016628,30.845499807240046
2020-03-07,44.524258,37.21788408753898
2020-03-08,50.76006,46.69988634054919
2020-03-09,45.271152,41.86630201774246
2020-03-10,52.750668,42.203383882683966
2020-03-11,50.165794,45.644412789899675
2020-03-12,53.48555,49.852217192042744
2020-03-13,48.616127,54.803217237789895
2020-03-14,58.980003,56.04023365943901
2020-03-15,62.16745,51.119344092556624
2020-03-16,55.56917,54.822348739408426
2020-03-17,48.856224,52.43659551733657
2020-03-18,50.902206,43.82337720850047
2020-03-19,49.82045,55.30486803690359
2020-03-20,57.458736,66.49612993046844
2020-03-21,60.130985,51.92288867521685
2020-03-22,48.637238,49.785599927854605
2020-03-23,41.986034,42.92721935353564
2020-03-24,44.081757,40.376014104810984
2020-03-25,45.28978,45.837001466406676
2020-03-26,44.795406,42.43563043967493
2020-03-27,46.135735,48.047080829003576
2020-03-28,45.84105,51.991173101807604
2020-03-29,54.643665,55.502943995345866
2020-03-30,55.52532,47.72361267172111
2020-03-31,47.433167,51.54818118232683
2020-04-01,47.212234,55.39601884095046
2020-04-02,38.452892,51.01848755255502
2020-04-03,56.23699,44.4873520845198
2020-04-04,50.282627,47.4757391752756
2020-04-05,55.44794,47.45787203367073
2020-04-06,58.58769,52.68815704551908
2020-04-07,53.667374,58.95423976727799
2020-04-08,48.115574,54.560725483497286
2020-04-09,48.63558,55.24728403338605
2020-04-10,48.323257,47.6620526509806
2020-04-11,45.44052,46.115884494139415
2020-04-12,19.013374,41.26156499941915
2020-04-13,27.32407,30.65684895933959
2020-04-14,36.10586,32.06401846852425
2020-04-15,66.56886,42.791934805618745
2020-04-16,66.30023,52.999608156282264
2020-04-17,49.563816,62.74858442687157
2020-04-18,55.916325,53.38018933099248
2020-04-19,40.926403,52.36029100288977
2020-04-20,35.04464,42.656230159148464
2020-04-21,47.839836,44.171052303370914
2020-04-22,44.789505,47.790884134966845
2020-04-23,39.51997,44.209111089211525
2020-04-24,35.314133,37.89724078901546
2020-04-25,44.237053,35.05047793381354
2020-04-26,52.556572,47.84408130724871
2020-04-27,48.671875,48.47113913763889
2020-04-28,47.02967,45.35741381291975
2020-04-29,42.91204,41.53295330817494
2020-04-30,52.08194,43.39085549104089
2020-05-01,42.25733,53.99149730054584
2020-05-02,45.298904,47.066929794243464
2020-05-03,45.31295,42.070239677312415
2020-05-04,41.795124,42.44680856958716
2020-05-05,44.15228,47.7085396418461
2020-05-06,39.8406,46.44809088857677
2020-05-07,45.034412,42.7309927698127
2020-05-08,46.71556,43.544450382444545
2020-05-09,41.245186,42.82536647001545
2020-05-10,38.168392,42.39673478784647
2020-05-11,41.84505,44.544876108809255
2020-05-12,42.69706,49.50518841427124
2020-05-13,53.403793,43.702952044241464
2020-05-14,52.758327,47.68609838312059
2020-05-15,53.19576,44.866018197714794
2020-05-16,43.173916,49.88576655454295
2020-05-17,35.648323,42.118329109224945
