Fecha,RH12,holtwinters_predicts
2020-01-01,66.83522,61.899309297927076
2020-01-02,67.10795,65.48153174526291
2020-01-03,41.48878,55.704629214095725
2020-01-04,33.920467,39.77579739464623
2020-01-05,38.91755,39.50922060587398
2020-01-06,42.927982,47.66795612055626
2020-01-07,33.454,44.80289938154078
2020-01-08,42.158688,38.08729969112877
2020-01-09,48.561974,43.52598779717444
2020-01-10,51.043488,54.05201452551219
2020-01-11,20.401815,38.5128535517474
2020-01-12,35.27708,37.217616583501176
2020-01-13,45.046143,37.21218859025638
2020-01-14,55.63531,39.375532306642576
2020-01-15,63.66509,49.31804602490409
2020-01-16,65.624504,46.61378775769546
2020-01-17,64.33706,60.838481272861095
2020-01-18,57.15089,67.22828019685403
2020-01-19,57.739162,63.87573661215363
2020-01-20,46.770164,56.31758478769033
2020-01-21,57.41192,65.12610042919641
2020-01-22,52.153915,56.54926475048072
2020-01-23,62.378757,57.83466926327736
2020-01-24,51.967056,62.190437421580405
2020-01-25,70.444756,56.31965029904544
2020-01-26,83.40924,56.474353410016576
2020-01-27,47.205868,65.94343555602524
2020-01-28,57.137657,61.770969846892896
2020-01-29,29.3097,46.77757746297106
2020-01-30,50.841576,42.879619001585255
2020-01-31,54.567726,53.11158348212883
2020-02-01,52.59675,50.93422927141901
2020-02-02,56.07748,53.60907609444947
2020-02-03,57.598793,59.75034962230983
2020-02-04,51.499344,50.72094756737784
2020-02-05,38.423077,43.680052765407694
2020-02-06,38.173706,42.1079811712593
2020-02-07,55.739983,44.58613151317591
2020-02-08,54.41266,50.80287163704262
2020-02-09,50.28534,62.07569619049973
2020-02-10,55.78217,47.72004081698577
2020-02-11,60.257298,62.333181780554064
2020-02-12,56.156418,50.58066163257509
2020-02-13,40.406673,54.45879443794525
2020-02-14,51.236446,43.85854971439407
2020-02-15,43.55067,48.510946090577846
2020-02-16,50.64654,46.816867503079045
2020-02-17,49.815018,51.58181004316488
2020-02-18,52.160244,41.8307455375012
2020-02-19,49.005993,44.37197521011639
2020-02-20,52.11377,52.4174728889568
2020-02-21,51.326077,52.84365214000669
2020-02-22,43.46004,52.44226596988704
2020-02-23,47.97519,46.38598128225726
2020-02-24,53.028805,47.19165273033558
2020-02-25,37.998077,53.12960502022746
2020-02-26,22.944721,45.69227029069649
2020-02-27,19.399843,31.775165696884432
2020-02-28,34.047367,26.92200402083185
2020-02-29,44.45656,30.11485926125483
2020-03-01,48.40198,39.7770617835638
2020-03-02,45.28659,38.810994172769846
2020-03-03,45.361813,37.283803119790704
2020-03-04,21.780083,38.621926650395466
2020-03-05,33.210835,37.208109528135374
2020-03-06,28.01828,30.034290471846536
2020-03-07,41.442497,36.0221517000426
2020-03-08,47.653244,44.94016491240212
2020-03-09,42.202553,41.549638563425596
2020-03-10,49.64917,42.421455178413105
2020-03-11,47.094883,43.28665434129353
2020-03-12,50.395496,43.13277959201402
2020-03-13,45.57107,53.007538173840786
2020-03-14,55.88385,55.06068413969033
2020-03-15,59.052986,46.44118146895163
2020-03-16,52.510612,49.90978531812584
2020-03-17,45.854298,47.18084955977822
2020-03-18,47.901653,40.56502818900293
2020-03-19,46.828514,49.74944875648815
2020-03-20,54.4329,61.73061340373479
2020-03-21,57.102573,53.035339445505706
2020-03-22,45.69561,47.47867679417387
2020-03-23,39.100647,42.99427162906937
2020-03-24,41.195637,40.635520033838894
2020-03-25,42.410316,39.62538333143725
2020-03-26,41.933342,42.98754155797498
2020-03-27,43.2795,45.92350806379019
2020-03-28,42.99916,47.280837115214936
2020-03-29,51.76053,51.43910782564646
2020-03-30,52.6509,44.97270090355458
2020-03-31,44.62228,46.147794624259085
2020-04-01,44.417023,53.23979770569238
2020-04-02,35.72722,47.32584201124371
2020-04-03,53.424103,44.215181193197836
2020-04-04,47.52158,46.55336229883714
2020-04-05,52.666794,45.04952269605383
2020-04-06,55.801018,48.500405166351996
2020-04-07,50.936714,54.33143086783348
2020-04-08,45.43242,49.00131053023257
2020-04-09,45.963425,52.34328903075686
2020-04-10,45.665558,46.73692164497332
2020-04-11,42.825977,47.30665504964015
2020-04-12,16.579819,37.37816957628262
2020-04-13,24.86306,26.849342947446566
2020-04-14,33.601936,28.955234981792863
2020-04-15,63.885258,42.04885936915092
2020-04-16,63.64509,49.89390833302926
2020-04-17,47.026733,60.583566615621955
2020-04-18,53.36414,50.65047602681324
2020-04-19,38.481262,48.43381468472852
2020-04-20,32.66157,39.81898014184048
2020-04-21,45.38854,43.42413904237385
2020-04-22,42.38242,44.881021247436266
2020-04-23,37.15861,36.268755412012496
2020-04-24,33.004276,36.683263752624214
2020-04-25,41.883392,35.81157396960491
2020-04-26,50.1754,47.86438492196163
2020-04-27,46.327694,45.911595392406376
2020-04-28,44.71902,44.6326013066278
2020-04-29,40.652336,38.564378620080106
2020-04-30,49.776875,41.47493462014914
2020-05-01,40.039215,52.033647390048294
2020-05-02,43.084774,43.73816129929092
2020-05-03,43.111214,39.94757974281914
2020-05-04,39.64055,39.58456316454414
2020-05-05,41.993523,44.16269290377143
2020-05-06,37.73401,42.66398436954758
2020-05-07,42.918236,41.26830608562058
2020-05-08,44.601265,42.53749954865536
2020-05-09,39.18857,42.72370741901757
2020-05-10,36.156155,42.17005123331088
2020-05-11,39.832794,44.399004272304964
2020-05-12,40.691914,48.18831230499526
2020-05-13,51.354282,40.69856088485289
2020-05-14,50.736057,45.6331622228565
2020-05-15,51.183216,42.495651790164516
2020-05-16,41.24777,46.79228814286884
2020-05-17,33.792816,39.35412220866893
2020-05-18,37.45689,41.03927974150338
