Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,Evapotranspiration,Kc,ETc,Dia,y_pred_1,y_pred_2,y_pred_3,y_pred_4,y_pred_5,y_pred_6,y_pred_7,y_pred_8,y_pred_9
5,2022-03-22,5,0.2544054618444665,0.2091481604242625,0.3717542748575047,-0.1164238361358028,-0.2,0.0103499260719566,1.2648879604176104,0.9795121951219512,1.5,0.4132004651399478,0.3698630136986301,0.4603174603174603,0.4482536530855966,0.3591348890153671,0.7789658906334597,5.8426514,0.4625662811211365,2.702613529985202,0,0.36751152923014635,0.11600765192012016,0.11276593918098392,0.1557760688113503,0.17429834383393164,0.0007602878651703052,1.4376130692038098e-11,7.61043340633505e-16,2.5590640580991697e-20
6,2022-03-27,5,0.124073172547268,-0.0357698289269051,0.2648845686512758,-0.4214001030103284,-0.6805755395683454,-0.0695332171218283,2.550476002471481,1.149458784346378,5.261261261261262,0.2829252641250686,0.1206225680933852,0.4163265306122449,0.3462657595199199,-0.1212121212121212,4.7368421052631575,5.480632,0.3126841484293582,1.7137067497746905,5,0.3717686967282225,0.14469493237327014,0.14208221754863273,0.1707808739412903,0.1805391241821093,0.053735641452074316,0.00030246844002723824,1.211027199932364e-05,3.732335945644453e-07
7,2022-04-06,5,0.1601391197747635,0.1137884872824631,0.225635593220339,-0.2210273259241066,-0.3225492106801793,-0.1088550479413423,1.5703122976933936,1.2443037974683544,1.9522439585730724,0.1657962528827238,0.0910307898259705,0.2533733133433283,inf,-1555.0,inf,7.032402,0.354159987740978,2.4905954061096294,15,0.38028303172437483,0.20016658875795557,0.19867261760963784,0.20425410480028236,0.2014361249803467,0.14459296820149659,0.007151517854306304,0.0008598248451517486,7.980637883222793e-05
8,2022-04-11,5,0.2046230312834111,0.1477777777777777,0.3150859325270528,-0.293764578941558,-0.3789233007690709,-0.152949614488076,1.8381081035572184,1.361134631668078,2.220214190093708,0.2807146496188504,0.2214960058097313,0.3943329397874852,0.6281405619190572,0.3273040482342808,1.0477941176470589,6.4632335,0.4053164859759227,2.619655090261864,20,0.384540199222451,0.22695096468949102,0.2259493511106222,0.22248918626388672,0.21549627063744284,0.18374295671669538,0.01585913230304773,0.00254297288692754,0.00031530646859931105
9,2022-04-16,5,0.2219159094102395,0.1596516690856313,0.3369434416365824,-0.2718341320040223,-0.3727428245580688,-0.1232466803815223,1.7542993468553725,1.2811433447098977,2.1884848484848485,0.2873813990641148,0.2328663385081408,0.3827006845052894,0.8574063937033968,0.4026354319180087,1.5430861723446894,5.9641294,0.4252032958217754,2.535967477587548,25,0.3887973667205271,0.2531010391138216,0.2525488481303465,0.24157304355170503,0.231590786607032,0.21945112681500215,0.02895359376695594,0.005804317346260668,0.0009013443807090802
10,2022-05-01,5,0.3069550267646751,0.2013949433304272,0.4504373177842565,-0.194716072006403,-0.3397769516728624,-0.0441988950276243,1.492835479539893,1.092485549132948,2.029279279279279,0.3062910695466037,0.2204042348411934,0.4022834116856951,1.6376382482300254,-111.07142857142858,11.629464285714286,4.557532,0.5229982807793764,2.383581400596993,40,0.4015688692147556,0.3277454533435845,0.3282969793400993,0.30284705264513034,0.2895234224263536,0.3105355774852907,0.09627936833181724,0.03088239561683398,0.007719533144448819
11,2022-05-11,5,0.3342350318330828,0.1277693474962064,0.5352112676056338,-0.1327357924666336,-0.2733588051406738,0.105383131685078,1.317168492322362,0.8093274111675127,1.7523900573613769,0.3397491661595549,0.1454912129069432,0.4595701125895599,1.6046818701345502,-294.44444444444446,474.1666666666666,5.340196,0.5543702866080452,2.960445987063137,50,0.41008320421090794,0.3743368886274022,0.37543349264355813,0.3460344991240316,0.33386261469891243,0.36163670122314906,0.162758759060677,0.06522528824139102,0.020466704070850564
12,2022-05-16,5,0.3748044108325161,0.2305140961857379,0.5641321932054542,-0.1032648341815347,-0.238580404143318,0.173510913799482,1.238646062000181,0.7042875157629256,1.626672613737734,0.3793965019008559,0.2147308781869688,0.4966828836797877,1.4167435912482322,-648.5714285714287,134.44444444444446,6.634955,0.6010250724573934,3.9877743096265448,55,0.4143403717089841,0.39668115400850373,0.39799699475581674,0.36804236543804725,0.35711792460965763,0.38519058508699305,0.2011918788253484,0.08865089245855787,0.030666025912297862
13,2022-05-21,5,0.3871886430673221,0.2680851063829787,0.5334436303474356,-0.1039308238721035,-0.2315847194297203,0.0256743581410464,1.237603832785137,0.949936628643853,1.6027592768791628,0.3774184832473706,0.2954279015240328,0.4832491968793024,1.603373209861566,0.8928033724781692,2.545269064014282,6.268201,0.6152669395274204,3.856616845612716,60,0.4185975392070602,0.4183911178824006,0.4198924017135135,0.39020614894918015,0.38084612546318947,0.4077161870211725,0.2422958359671865,0.11639923389912389,0.044023218636466965
15,2022-06-05,5,0.4424095764029713,0.2826873385012919,0.5873198847262248,-0.0835925399008746,-0.2183908045977011,0.0858034321372854,1.186683052568824,0.8419540229885057,1.5588235294117647,0.4303886240116606,0.3437688139674895,0.5196280991735537,1.474413622334246,0.7597559571773915,2.386865342163355,6.74893,0.678771012863417,4.5809780518443,75,0.4313690417012887,0.47971520046086175,0.48158311069737314,0.4567879600444609,0.4531919641670722,0.4707985002712807,0.37494122276116304,0.2245031649618985,0.10687526131624091
