Fecha,Evapotranspiration,arima_predicts
2020-01-01,1.8572602,0.0
2020-01-02,2.4557428,1.857260025788253
2020-01-03,3.4035633,2.3681160565901758
2020-01-04,2.7061808,3.264788298418927
2020-01-05,2.9438274,2.80828795799163
2020-01-06,2.8961813,2.909032407392698
2020-01-07,2.6596496,2.903157396848329
2020-01-08,2.7828617,2.694281354685063
2020-01-09,3.2734227,2.764821618178276
2020-01-10,3.2493734,3.201597282053656
2020-01-11,4.126957,3.2528945747852296
2020-01-12,2.9483938,3.9984657239856873
2020-01-13,2.8582828,3.120952960667441
2020-01-14,2.174305,2.8714763890471584
2020-01-15,2.1442962,2.2744495107764804
2020-01-16,2.041279,2.1486899341167933
2020-01-17,2.4095683,2.0563622484556703
2020-01-18,2.6017697,2.3556452753452346
2020-01-19,2.1545637,2.573628559785282
2020-01-20,1.6285237,2.2200413018846032
2020-01-21,1.9008578,1.7055437706058876
2020-01-22,3.1665616,1.8609840420911132
2020-01-23,2.2027812,2.9812437609722835
2020-01-24,2.2675707,2.3438929680339338
2020-01-25,2.0308557,2.2580845547172834
2020-01-26,2.0603745,2.065514292528083
2020-01-27,3.3907015,2.056052509162419
2020-01-28,3.4792085,3.1959218644800425
2020-01-29,2.9646928,3.46624976038112
2020-01-30,2.4709017,3.04002554188624
2020-01-31,2.707667,2.5432000525712093
2020-02-01,2.2486782,2.6730010428046835
2020-02-02,2.4112675,2.3158809788444064
2020-02-03,2.9273164,2.3874620111288842
2020-02-04,3.6801975,2.851759174857253
2020-02-05,3.786643,3.5699645225081014
2020-02-06,3.5313346,3.7710577974950974
2020-02-07,3.0314994,3.5687155425029964
2020-02-08,2.7757647,3.104682698599551
2020-02-09,3.927263,2.8132080591559108
2020-02-10,3.6259353,3.758666542756141
2020-02-11,3.593346,3.6700541516643406
2020-02-12,3.9860225,3.5981175576515025
2020-02-13,2.7496505,3.9285288269803194
2020-02-14,2.238628,2.9306737277681205
2020-02-15,3.4795516,2.313449285512883
2020-02-16,3.7439964,3.2978619503754243
2020-02-17,4.1560473,3.705277752810889
2020-02-18,4.1489406,4.095716927003233
2020-02-19,3.681425,4.149981126453834
2020-02-20,3.9936154,3.7498762290345864
2020-02-21,2.1365254,3.947906087684434
2020-02-22,3.4133031,2.4084309640663975
2020-02-23,4.2283964,3.2263638775035686
2020-02-24,4.615684,4.1090546322325565
2020-02-25,3.9588974,4.558979341995315
2020-02-26,4.5170007,4.055060715156643
2020-02-27,3.5041704,4.435286085956621
2020-02-28,3.7574024,3.652463802056464
2020-02-29,3.4799273,3.7203254733030375
2020-03-01,4.371652,3.520553776681195
2020-03-02,4.9940305,4.2410902568720745
2020-03-03,5.262206,4.902905041834107
2020-03-04,5.764341,5.222941122909343
2020-03-05,3.9517965,5.690820976515688
2020-03-06,4.343979,4.217179941119141
2020-03-07,4.009148,4.286557655918954
2020-03-08,2.9437675,4.058172232493803
2020-03-09,4.0702662,3.099755031997825
2020-03-10,3.4646957,3.905330055578586
2020-03-11,4.524165,3.5533602172740526
2020-03-12,4.934365,4.369042955496217
2020-03-13,5.2439322,4.874305626259343
2020-03-14,4.416732,5.198606963133474
2020-03-15,3.7339902,4.537846397781926
2020-03-16,3.611877,3.8339537420150385
2020-03-17,4.713963,3.629756186536976
2020-03-18,4.3324203,4.552601237522317
2020-03-19,5.433885,4.388283819301121
2020-03-20,4.3072357,5.2726142050720615
2020-03-21,3.9275472,4.472193894498657
2020-03-22,4.867029,3.9831392368759855
2020-03-23,5.6143265,4.72947490797478
2020-03-24,5.8097816,5.504911044495469
2020-03-25,5.963646,5.781164069769826
2020-03-26,6.219603,5.941117966101945
2020-03-27,6.002,6.182127092821704
2020-03-28,6.38512,6.0338603118090886
2020-03-29,4.428679,6.329025540547244
2020-03-30,4.855882,4.715131026378703
2020-03-31,4.873488,4.793333134470673
2020-04-01,5.4537334,4.870910220053442
2020-04-02,6.2490487,5.368776853583869
2020-04-03,4.3490515,6.132602725245338
2020-04-04,4.978003,4.62723931555583
2020-04-05,3.239219,4.8859151569886725
2020-04-06,4.238663,3.4938028081674157
2020-04-07,4.439398,4.09232955112419
2020-04-08,5.552736,4.410007413974084
2020-04-09,6.0260057,5.389726777567832
2020-04-10,5.274553,5.956711985245177
2020-04-11,5.8368926,5.384576838512252
2020-04-12,8.711114,5.754557728704116
2020-04-13,6.9129977,8.290285288941995
2020-04-14,7.241136,7.176268638300504
2020-04-15,2.2507584,7.193091678209839
2020-04-16,2.168181,2.9814238153715307
2020-04-17,5.905373,2.1802715580914964
2020-04-18,4.940635,5.358192573211622
2020-04-19,6.943634,5.081886974899595
2020-04-20,6.65855,6.6503651907772765
2020-04-21,6.589612,6.700290532675479
2020-04-22,6.8267303,6.599705547310905
2020-04-23,7.6590824,6.79201265836068
2020-04-24,6.5997295,7.537213687523841
2020-04-25,6.2260146,6.7548345018145985
2020-04-26,4.3825564,6.280732013094959
2020-04-27,5.707681,4.652466066038709
2020-04-28,6.49348,5.51366307312448
2020-04-29,6.37869,6.37842735293507
2020-04-30,4.564781,6.395496961266918
2020-05-01,6.3855495,4.83036422418952
2020-05-02,6.423741,6.118961943108935
2020-05-03,6.3609242,6.418149197044817
2020-05-04,6.4810605,6.370121512697202
2020-05-05,5.5307794,6.463470760990932
2020-05-06,5.148903,5.669914669974604
2020-05-07,5.3964176,5.204815377938411
2020-05-08,6.1003423,5.360177785598077
2020-05-09,5.363083,5.997277266741639
2020-05-10,5.7291913,5.471028713901694
2020-05-11,5.1366153,5.675587606145157
2020-05-12,5.5597224,5.223377229433797
2020-05-13,5.258346,5.497773235077461
2020-05-14,5.6571474,5.3024719820678055
2020-05-15,6.056496,5.598756950631651
2020-05-16,6.9012427,5.998025432422701
2020-05-17,6.4142857,6.7775592339554205
2020-05-18,6.5975423,6.4855834388069935
2020-05-19,7.254903,6.570710811385075
2020-05-20,6.803733,7.1586556280747935
2020-05-21,5.3937187,6.869790990371946
2020-05-22,5.6486034,5.60016574003747
2020-05-23,5.699648,5.6112844934712935
2020-05-24,6.209951,5.692174312265133
2020-05-25,6.0983896,6.135235059975675
2020-05-26,5.5661054,6.1147238462643365
2020-05-27,4.818646,5.644039714246822
2020-05-28,5.5542035,4.928085160069642
2020-05-29,3.8733733,5.446506954899456
2020-05-30,5.4705462,4.1194718109126836
2020-05-31,5.4667907,5.2366963605813055
2020-06-01,4.9768147,5.467340560989963
2020-06-02,5.1315837,5.048554465255856
2020-06-03,5.69272,5.1089232192236285
2020-06-04,5.5885215,5.610561309699782
2020-06-05,5.6239967,5.603777708324514
2020-06-06,5.733734,5.618802603716907
2020-06-07,6.4949946,5.717666829073646
2020-06-08,6.931492,6.383534739226142
2020-06-09,7.440853,6.8675822962373845
2020-06-10,5.879525,7.366274982769589
2020-06-11,3.868248,6.10812661356351
2020-06-12,6.5519814,4.162728831396848
2020-06-13,6.062983,6.159042961943238
2020-06-14,5.4990554,6.134579630093084
2020-06-15,6.507004,5.581622778086474
2020-06-16,5.678392,6.359425351343804
2020-06-17,6.058247,5.799713106274971
2020-06-18,6.021926,6.002630585050567
2020-06-19,5.957268,6.027243933967904
2020-06-20,5.9695387,5.966734891729214
2020-06-21,6.1045885,5.967742087232181
2020-06-22,5.8050685,6.084815203042904
2020-06-23,5.9780746,5.848922677529989
2020-06-24,4.337375,5.952743936861742
2020-06-25,3.3701286,4.5775977949111315
2020-06-26,3.85908,3.5117478419232198
2020-06-27,5.195054,3.7874902514051256
2020-06-28,5.6358237,4.999447559790833
2020-06-29,6.144123,5.5712884680500805
2020-06-30,5.9882283,6.069700431421711
2020-07-01,5.809636,6.011053599979248
2020-07-02,6.1228304,5.835784565804251
2020-07-03,6.0894337,6.076974087169476
2020-07-04,6.572719,6.094323473005862
2020-07-05,6.8602962,6.501958852618076
2020-07-06,6.298122,6.8181906258067
2020-07-07,5.870084,6.380432654278778
2020-07-08,5.667029,5.932755121933699
2020-07-09,5.9944806,5.696759268490759
2020-07-10,6.2674065,5.9465368212911365
2020-07-11,6.4792094,6.227446093779607
2020-07-12,6.9564905,6.4481983089945025
2020-07-13,7.0912547,6.886609456693682
2020-07-14,6.89863,7.071523219125645
2020-07-15,6.8191833,6.926833117623066
2020-07-16,5.7116213,6.830815477103271
2020-07-17,6.3347883,5.873784830226595
2020-07-18,5.9427586,6.243547393720517
2020-07-19,6.6252728,6.000157571891121
2020-07-20,6.3346343,6.525342582006082
2020-07-21,6.611149,6.377188093990551
2020-07-22,6.8449645,6.570663140146062
2020-07-23,6.578366,6.810730437345542
2020-07-24,6.4956694,6.617399980863477
2020-07-25,5.7062826,6.507777410742276
2020-07-26,3.7628987,5.82186055428362
2020-07-27,2.16649,4.047438972968491
2020-07-28,3.0737572,2.4002279491860947
2020-07-29,2.1908605,2.9409198039799143
2020-07-30,4.9610286,2.320129692783258
2020-07-31,5.277218,4.555434837829485
2020-08-01,5.779271,5.230923174677148
2020-08-02,5.0742264,5.705762982533842
