Fecha,et,et_arima
2020-01-01,1.8693764,0.0
2020-01-02,2.4818304,1.8693762344723897
2020-01-03,3.437479,2.4032318223909153
2020-01-04,2.7319853,3.314836939317068
2020-01-05,2.9700954,2.8225240201578026
2020-01-06,2.9130533,2.93953781499046
2020-01-07,2.6823134,2.920373732102011
2020-01-08,2.8002315,2.7119251388941645
2020-01-09,3.2986352,2.785098616662112
2020-01-10,3.2592711,3.234673136099108
2020-01-11,4.1827593,3.264322846364646
2020-01-12,2.957858,4.064244507152114
2020-01-13,2.8483682,3.115054295338269
2020-01-14,2.1785572,2.862419447179938
2020-01-15,2.1596894,2.264516622017775
2020-01-16,2.045039,2.162110777347859
2020-01-17,2.4140875,2.0597525268278765
2020-01-18,2.6056974,2.3667260864721142
2020-01-19,2.2204528,2.5811073645170297
2020-01-20,1.6638411,2.269892721338212
2020-01-21,1.9241016,1.7352732204344674
2020-01-22,3.1917415,1.8907013689586212
2020-01-23,2.2116756,3.029060395732274
2020-01-24,2.2780015,2.33745122671161
2020-01-25,2.0564685,2.2694896421344097
2020-01-26,2.064031,2.0848986820033764
2020-01-27,3.3918474,2.063060475286298
2020-01-28,3.475758,3.2214436140219815
2020-01-29,2.9836013,3.4649894299449175
2020-01-30,2.5059156,3.046761662362182
2020-01-31,2.7463498,2.5672188432703495
2020-02-01,2.274277,2.7154939542982928
2020-02-02,2.4438162,2.334859918223667
2020-02-03,2.952199,2.4220585823416516
2020-02-04,3.6834795,2.8869562798120993
2020-02-05,3.7927392,3.589631460608486
2020-02-06,3.581574,3.7787174824381276
2020-02-07,3.0574017,3.6086736423502566
2020-02-08,2.7869756,3.124670747456264
2020-02-09,3.9252906,2.8216804215907487
2020-02-10,3.622287,3.779206257589733
2020-02-11,3.5837913,3.6611726174731456
2020-02-12,3.9943202,3.5887316012523978
2020-02-13,2.7816293,3.9416354471882475
2020-02-14,2.2465491,2.9372585877396986
2020-02-15,3.483869,2.315218000219846
2020-02-16,3.734448,3.325078977956333
