Fecha,Evapotranspiration
2022-10-26,3.6798303
2022-10-27,4.2727923
2022-10-28,4.5778527
2022-10-29,3.4905298
2022-10-30,3.5653915
2022-10-31,2.644919
2022-11-01,2.9365087
2022-11-02,2.9559772
2022-11-03,3.8568494
2022-11-04,4.228756
2022-11-05,3.9814262
2022-11-06,3.9767282
2022-11-07,3.0408792
2022-11-08,3.3888645
2022-11-09,3.2036805
2022-11-10,3.7766974
2022-11-11,3.8200946
2022-11-12,3.0512755
2022-11-13,2.2813861
2022-11-14,3.9338634
2022-11-15,3.149522
2022-11-16,2.4570026
2022-11-17,1.2297453
2022-11-18,1.7107235
2022-11-19,2.5773869
2022-11-20,1.1157138
2022-11-21,1.2903112
2022-11-22,1.3017639
2022-11-23,2.7369866
2022-11-24,3.221467
2022-11-25,2.1067467
2022-11-26,1.8243657
2022-11-27,3.1374617
2022-11-28,2.7657833
2022-11-29,3.4450657
2022-11-30,3.6927063
2022-12-01,1.4025925
2022-12-02,2.7145061
2022-12-03,2.4254427
2022-12-04,2.5274234
2022-12-05,3.1871943
2022-12-06,2.9019156
2022-12-07,2.3218462
2022-12-08,2.80549
2022-12-09,2.6988535
2022-12-10,2.8958085
2022-12-11,2.5638583
2022-12-12,3.2050781
2022-12-13,3.3674383
2022-12-14,3.3457136
2022-12-15,2.7023385
2022-12-16,2.5415833
2022-12-17,2.2921338
2022-12-18,1.5058739
2022-12-19,2.661438
2022-12-20,3.2358646
2022-12-21,2.2164743
2022-12-22,2.68869
2022-12-23,2.7675102
2022-12-24,1.4670997
2022-12-25,1.1761912
2022-12-26,2.310426
2022-12-27,2.6306124
2022-12-28,3.0744343
2022-12-29,3.1276464
2022-12-30,2.8102148
2022-12-31,2.906241
2023-01-01,3.0562449
2023-01-02,3.2782865
2023-01-03,3.752881
2023-01-04,3.214861
2023-01-05,2.8947132
2023-01-06,2.9284842
2023-01-07,3.2053986
2023-01-08,2.8030844
2023-01-09,2.5888648
2023-01-10,3.0779214
2023-01-11,3.2585552
2023-01-12,4.096272
2023-01-13,3.0796561
2023-01-14,3.0953767
2023-01-15,3.566301
2023-01-16,3.2226198
2023-01-17,3.2651858
2023-01-18,3.5644016
2023-01-19,3.5185022
2023-01-20,3.114494
2023-01-21,3.197301
2023-01-22,2.389048
2023-01-23,1.3980881
2023-01-24,4.3206935
2023-01-25,3.3784938
2023-01-26,1.9270258
2023-01-27,1.4817804
2023-01-28,3.3909566
2023-01-29,3.6941302
2023-01-30,3.3513198
2023-01-31,2.8412924
2023-02-01,1.25784
2023-02-02,1.9231609
2023-02-03,2.6348145
2023-02-04,3.2056956
2023-02-05,3.3493524
