Fecha,Evapotranspiration,Dia
2022-02-16,4.2601523,0
2022-02-17,4.8835597,1
2022-02-18,4.5385833,2
2022-02-19,2.8716595,3
2022-02-20,3.7317474,4
2022-02-21,4.235814,5
2022-02-22,4.2640853,6
2022-02-23,4.325427,7
2022-02-24,4.096191,8
2022-02-25,2.5210705,9
2022-02-26,3.0149627,10
2022-02-27,2.9721742,11
2022-02-28,3.5259023,12
2022-03-01,3.959784,13
2022-03-02,4.216826,14
2022-03-03,3.9077005,15
2022-03-04,3.8956666,16
2022-03-05,4.7596803,17
2022-03-06,4.8890405,18
2022-03-07,4.7891393,19
2022-03-08,3.849199,20
2022-03-09,3.412281,21
2022-03-10,4.6646285,22
2022-03-11,5.8994017,23
2022-03-12,3.9244366,24
2022-03-13,4.1817493,25
2022-03-14,4.664267,26
2022-03-15,5.4685054,27
2022-03-16,5.5647597,28
2022-03-17,6.025213,29
2022-03-18,5.913547,30
2022-03-19,3.9243598,31
2022-03-20,4.1690407,32
2022-03-21,5.9702687,33
2022-03-22,5.8426514,34
2022-03-23,5.3443213,35
2022-03-24,4.7532487,36
2022-03-25,5.314097,37
2022-03-26,5.518071,38
2022-03-27,5.480632,39
2022-03-28,5.4770947,40
2022-03-29,6.0716944,41
2022-03-30,6.22979,42
2022-03-31,5.608611,43
2022-04-01,5.224958,44
2022-04-02,5.2543125,45
2022-04-03,5.021874,46
2022-04-04,6.1601367,47
2022-04-05,6.2785144,48
2022-04-06,7.032402,49
2022-04-07,6.403399,50
2022-04-08,5.602086,51
2022-04-09,5.9054112,52
2022-04-10,6.352604,53
2022-04-11,6.4632335,54
2022-04-12,5.770479,55
2022-04-13,6.7118793,56
2022-04-14,6.5117927,57
2022-04-15,6.163354,58
2022-04-16,5.9641294,59
2022-04-17,5.9795194,60
2022-04-18,5.197564,61
2022-04-19,5.2834525,62
2022-04-20,5.5909925,63
2022-04-21,4.1032143,64
2022-04-22,4.6732383,65
2022-04-23,5.989323,66
2022-04-24,5.6141877,67
2022-04-25,4.568073,68
2022-04-26,3.2569873,69
2022-04-27,4.291437,70
2022-04-28,4.6613216,71
2022-04-29,5.5527964,72
2022-04-30,5.58721,73
2022-05-01,4.557532,74
2022-05-02,5.018797,75
2022-05-03,5.388003,76
2022-05-04,6.012001,77
2022-05-05,5.866168,78
2022-05-06,5.5436397,79
2022-05-07,6.0830803,80
2022-05-08,6.3797703,81
2022-05-09,6.287521,82
2022-05-10,4.6350646,83
2022-05-11,5.340196,84
2022-05-12,6.366562,85
2022-05-13,6.687192,86
2022-05-14,6.3027453,87
2022-05-15,6.6698084,88
2022-05-16,6.634955,89
2022-05-17,6.992102,90
2022-05-18,6.175324,91
2022-05-19,6.2693167,92
2022-05-20,6.3631086,93
2022-05-21,6.268201,94
2022-05-22,5.540866,95
2022-05-23,5.172845,96
