Fecha,Evapotranspiration,Dia
2022-03-18,6.209006,0
2022-03-19,3.8670838,1
2022-03-20,4.2313986,2
2022-03-21,6.2151604,3
2022-03-22,6.49226,4
2022-03-23,5.681249,5
2022-03-24,5.025889,6
2022-03-25,5.417648,7
2022-03-26,5.680782,8
2022-03-27,5.696387,9
2022-03-28,5.7796435,10
2022-03-29,6.37674,11
2022-03-30,7.0753345,12
2022-03-31,6.4473853,13
2022-04-01,5.6393614,14
2022-04-02,6.0379457,15
2022-04-03,5.625014,16
2022-04-04,6.723894,17
2022-04-05,6.9374924,18
2022-04-06,7.3021927,19
2022-04-07,7.033628,20
2022-04-08,5.61723,21
2022-04-09,6.045633,22
2022-04-10,6.769305,23
2022-04-11,7.250565,24
2022-04-12,6.459893,25
2022-04-13,7.243197,26
2022-04-14,7.080958,27
2022-04-15,6.469718,28
2022-04-16,6.3235817,29
2022-04-17,6.4632406,30
2022-04-18,5.8272114,31
2022-04-19,5.4386744,32
2022-04-20,6.259653,33
2022-04-21,4.4672465,34
2022-04-22,4.6793137,35
2022-04-23,6.1608152,36
2022-04-24,5.842001,37
2022-04-25,4.8010397,38
2022-04-26,3.7220933,39
2022-04-27,4.5750756,40
2022-04-28,4.70854,41
2022-04-29,5.8349957,42
2022-04-30,6.0077925,43
2022-05-01,4.4319563,44
2022-05-02,5.2336216,45
2022-05-03,5.5238285,46
2022-05-04,6.149925,47
2022-05-05,6.1572537,48
2022-05-06,5.818231,49
2022-05-07,6.514184,50
2022-05-08,6.898319,51
2022-05-09,6.873853,52
2022-05-10,4.719897,53
2022-05-11,5.555295,54
2022-05-12,6.584034,55
2022-05-13,7.0040317,56
2022-05-14,6.5503764,57
2022-05-15,6.992403,58
2022-05-16,7.015527,59
2022-05-17,7.283208,60
2022-05-18,6.6445413,61
2022-05-19,6.859203,62
2022-05-20,7.12403,63
2022-05-21,7.0722632,64
2022-05-22,6.1430106,65
2022-05-23,5.482519,66
2022-05-24,5.6816564,67
2022-05-25,6.703907,68
2022-05-26,5.6280923,69
2022-05-27,6.4852633,70
2022-05-28,6.589991,71
2022-05-29,7.065451,72
2022-05-30,6.9200783,73
2022-05-31,6.013163,74
2022-06-01,5.6959753,75
2022-06-02,5.6346087,76
2022-06-03,6.508417,77
2022-06-04,6.453644,78
2022-06-05,7.2417297,79
2022-06-06,7.485707,80
2022-06-07,7.326532,81
2022-06-08,6.9509106,82
