Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,ndwi_mean,ndwi_min,ndwi_max,cire_mean,cire_min,cire_max,ndre1_mean,ndre1_min,ndre1_max,grndvi_mean,grndvi_min,grndvi_max
1,2020-01-07,14,0.4472299640430581,0.40181956027293403,0.47013782542113325,0.34274207796771866,0.28559072824770804,0.3715905065533121,0.48973856525141657,0.4581611570247934,0.5557050592034446,0.3881414212982666,0.3486506199854121,0.4106175514626219,5.920320445782914,3.8381464069845532,10.578291814946619,-0.3881414212982666,-0.4106175514626219,-0.3486506199854121,1.005044556972739,0.7389033942558747,1.0912676056338029,0.25904907338633576,0.20241566014160767,0.27328556806550663,6932.709662396063,6721.206510138741,7117.118921775898
2,2020-01-22,14,0.8176425594946465,0.7284097677188803,0.8581765557163531,0.3225011418195324,0.17502477700693755,0.3928497623475925,0.5137139367464809,0.43590504451038575,0.7020917678812416,0.7193106911952936,0.6504201680672269,0.7700720192051214,2.0462271950149593,1.6246014877789585,2.305295950155763,-0.7193106911952936,-0.7700720192051214,-0.6504201680672269,3.302416339797465,1.6460348162475822,3.954876273653566,0.5375272435124521,0.36970435842730875,0.5821980018165305,3939.8284109725114,3582.714849354376,4188.759917110716
3,2020-01-27,14,0.8118952891809034,0.7121005189838842,0.8556176919166243,0.3144494603086204,0.16080402010050251,0.3775450843513671,0.5232672599255129,0.4518581081081081,0.7229437229437229,0.7133157695337922,0.6273885350318471,0.7573423206547906,2.6526714798624815,2.12836741317754,3.096517228603186,-0.7133157695337922,-0.7573423206547906,-0.6273885350318471,3.583464803280102,1.6885665529010239,4.503900156006241,0.5440138820090725,0.36785329018338725,0.5991244527829893,4296.212125984283,4012.726840101523,4461.714861751152
4,2020-02-16,14,0.7716889215856514,0.6593673965936739,0.8151098237991793,0.3139209431487846,0.14845465293024826,0.3790573995965524,0.5241236120612495,0.45026595744680853,0.7414705882352941,0.6848689633109576,0.5979381443298969,0.7205357142857143,2.755845428359323,2.1893156875403488,3.236744759556103,-0.6848689633109576,-0.7205357142857143,-0.5979381443298969,3.198855888181361,1.3304782298358315,3.938320209973753,0.5093068532234031,0.30797727834033095,0.5605536332179931,4804.460679006247,4617.690300623936,4989.703896103896
5,2020-03-02,14,0.7429309993809773,0.5816157308694622,0.8003228037814157,0.3320166233507074,0.14871116986120292,0.4022193923958523,0.504226198345027,0.42631032693305654,0.7410817031070196,0.6678125651079143,0.5471610660486674,0.7071428571428572,2.204132385707217,1.5451913393756294,2.487815366972477,-0.6678125651079143,-0.7071428571428572,-0.5471610660486674,2.501988676145698,1.0118973074514717,3.2038288288288292,0.46105885818690673,0.27348133691144183,0.5248796147672552,5003.608541160058,4844.657894736842,5323.455916473318
6,2020-03-07,14,0.7405112778008537,0.5352993744414656,0.8147580468578935,0.3343323613272968,0.12089314194577352,0.42067265363620354,0.5025112190798735,0.4077838373822509,0.7842914058053501,0.6605337636563284,0.5271111111111111,0.7088659793814432,2.584746377391788,1.5090061720619725,3.2127439129683992,-0.6605337636563284,-0.7088659793814432,-0.5271111111111111,2.716749903085552,0.9646182495344506,3.6324582338902145,0.4735095472219583,0.25433927331636197,0.5490987355394135,5175.737298277178,4840.656770255272,5559.423142370959
7,2020-03-12,14,0.4759073880302874,0.3908413205537806,0.5659455687369156,0.2062061949346459,0.12680577849117175,0.27467569091934574,0.6591952057601671,0.5690265486725664,0.7749287749287749,0.4311840194849662,0.3607355327203894,0.5034079844206426,1.8501598317814065,1.3210543029533184,2.600213789417424,-0.4311840194849662,-0.5034079844206426,-0.3607355327203894,1.1937098441832619,0.6614077669902914,1.5458612975391497,0.2892830483450864,0.19096710849288168,0.3399778516057586,2982.6860915007464,2316.1813186813188,3722.392487046632
8,2020-03-17,14,0.7634058640974943,0.6018306636155606,0.8177548144668859,0.31560891692245957,0.12482662968099861,0.3966850828729282,0.5231700616308056,0.4319620253164557,0.7780517879161529,0.6753646880393083,0.5623577030103719,0.7338195077484048,2.6626291568772005,1.6697234762979685,3.12779433681073,-0.6753646880393083,-0.7338195077484048,-0.5623577030103719,3.057169079275086,1.2321937321937324,3.918287937743191,0.495765290079396,0.29162462159434915,0.5637906647807638,4737.595028501805,4433.635692307693,5017.735383064516
9,2020-03-27,14,0.7304263286790207,0.5980295566502463,0.7766165904637492,0.3236562516946588,0.1351714862138534,0.4015471167369902,0.5136525630720892,0.4269944806823884,0.7618483412322274,0.6485567890639734,0.5573770491803278,0.687831811424931,2.8985287214631574,2.100406366407044,3.4461599366587494,-0.6485567890639734,-0.687831811424931,-0.5573770491803278,2.7627034849637506,1.247537754432042,3.389508928571429,0.46930824347786265,0.2919572291957229,0.517316607581129,5136.26616083546,4861.614814814815,5418.661314229249
10,2020-04-06,14,0.7926170622584449,0.6165903062454786,0.8415029151371194,0.35021526940178205,0.1536231884057971,0.4291417165668663,0.4842235239003319,0.3994413407821229,0.7336683417085427,0.7007070328344789,0.5715276172868038,0.7468862997187625,2.7764126381434027,1.806340454858718,3.3398905234348275,-0.7007070328344789,-0.7468862997187625,-0.5715276172868038,3.502506297441656,1.3804971319311665,4.379525593008739,0.5229690526385069,0.31017806111233237,0.5779768177028451,5187.614970989429,4857.697587131367,5481.72511627907
