Fecha,Evapotranspiration
2020-08-10,4.0663466
2020-08-11,5.243175
2020-08-12,5.5120325
2020-08-13,5.8289433
2020-08-14,6.338907
2020-08-15,5.8938828
2020-08-16,5.5433545
2020-08-17,5.487156
2020-08-18,5.231252
2020-08-19,4.612019
2020-08-20,5.463925
2020-08-21,5.926297
2020-08-22,5.916899
2020-08-23,5.5677257
2020-08-24,5.8748646
2020-08-25,4.196969
2020-08-26,5.2395363
2020-08-27,5.6569576
2020-08-28,5.993246
2020-08-29,6.378067
2020-08-30,6.178242
2020-08-31,6.133561
2020-09-01,6.5356774
2020-09-02,6.56665
2020-09-03,6.0900097
2020-09-04,5.029878
2020-09-05,2.4310882
2020-09-06,3.957286
2020-09-07,4.710361
2020-09-08,5.342052
2020-09-09,4.8631525
2020-09-10,3.7367115
2020-09-11,4.2922306
2020-09-12,5.1940794
2020-09-13,5.3485537
2020-09-14,4.4964924
2020-09-15,4.2719703
2020-09-16,4.147772
2020-09-17,4.7649193
2020-09-18,5.691403
2020-09-19,5.5687947
2020-09-20,4.887101
2020-09-21,5.572105
2020-09-22,5.5588994
2020-09-23,5.7551746
2020-09-24,5.6637015
2020-09-25,5.677089
2020-09-26,5.507932
2020-09-27,5.779801
2020-09-28,6.912997
2020-09-29,7.793609
2020-09-30,5.1093593
2020-10-01,5.201874
2020-10-02,4.794774
2020-10-03,5.1667924
2020-10-04,5.5544
2020-10-05,5.151581
2020-10-06,4.657326
2020-10-07,5.474878
2020-10-08,5.7558007
2020-10-09,5.5826607
2020-10-10,5.98098
2020-10-11,5.7589087
2020-10-12,4.801655
2020-10-13,3.4898574
2020-10-14,4.2815013
2020-10-15,5.0150647
2020-10-16,4.042961
2020-10-17,4.395548
2020-10-18,5.0425615
2020-10-19,4.7083926
2020-10-20,4.2227683
2020-10-21,4.6504846
2020-10-22,4.804313
2020-10-23,4.9815073
2020-10-24,4.5818076
2020-10-25,5.4285955
2020-10-26,4.970099
2020-10-27,4.26659
2020-10-28,3.8099194
2020-10-29,3.7761238
