parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,ndre_max,ndre_mean,ndmi_mean,msi_mean,rendimiento,pred
1,0.72202550874654,0.521283218777837,0.61119542403149,0.49486699115218,2.13760717522992,1.07951138428385,0.437886057656015,0.269966324233449,0.508344673412662,0.337101899839738,0.0324723648151013,0.978848498413347,70,54.45513729568535
10,0.789002183802315,0.592955350349875,0.674873831020351,0.551287260629017,2.7121668199982,1.65268455882076,0.495965222431714,0.342262837366163,0.580282365245761,0.418252307533005,0.129166963153744,0.836552283306341,80,81.68036711158169
11,0.784049706086602,0.576940121011365,0.669850753726836,0.516114964355885,2.93479698829211,1.60079325883406,0.501269355315775,0.334254842301152,0.57281645270513,0.401794070831624,0.131011236919758,0.831292505472829,80,74.80139920843436
13,0.768197495774002,0.561279244628557,0.643851282031004,0.49035524550064,2.45382530781309,1.3383663804269,0.46935840688606,0.308716047256367,0.543742832734437,0.370579915376839,0.103764842950626,0.880519392547207,65,68.15027245004777
14,0.770015526757869,0.583555716374944,0.663563877105775,0.5422403806836,3.02705716545772,1.56596030291609,0.50209366378773,0.330634903789005,0.591365987516085,0.408295483931093,0.127431326494743,0.832561638800373,75,79.07006323292251
15,0.808480059888382,0.59257277945402,0.689769498989699,0.522207248887828,2.87058179331657,1.51476438004226,0.518705658973922,0.334710454418922,0.57821852612374,0.403675455675269,0.160873519382239,0.781158600198491,75,82.94457322356962
16,0.711976168125636,0.516251144091744,0.595419214020344,0.481170747391144,2.02000608803381,1.04553121568843,0.432154247144713,0.266350896561101,0.494076191719903,0.328698569680079,0.0419343015866709,0.951556830455703,40,51.225133150464046
2,0.81248294995565,0.545351460351128,0.693114995727112,0.49004966488762,3.09181024560322,1.36267432655577,0.524393143421283,0.304899689071988,0.608581484589373,0.368623384579214,0.107619685770587,0.874197430225866,75,71.60643833194649
5,0.786532505239751,0.586496384965309,0.677971907809783,0.535718624189144,2.76141671254214,1.50362109471495,0.497870261048504,0.328689119541559,0.580433273576122,0.400642508126697,0.114244282517594,0.845075874570971,80,70.78624992582348
6,0.760923515699404,0.596541925114934,0.654772026489509,0.529126740864423,2.31446931577587,1.41094600496894,0.45930811082805,0.330115105695376,0.5382841451779,0.398991662149808,0.121241841593381,0.818588265260163,80,62.68101834028846
