Fecha,temp,temp_arima
2020-01-01,292.87558,0.0
2020-01-02,294.4194,292.8756856123325
2020-01-03,294.31995,294.5626196599757
2020-01-04,291.22223,294.31072405708943
2020-01-05,289.93158,290.9348555618598
2020-01-06,290.46692,289.81184683541943
2020-01-07,290.53845,290.516583310988
2020-01-08,292.00208,290.5450858139406
2020-01-09,294.85764,292.1378604607563
2020-01-10,295.87823,295.12254933672943
2020-01-11,294.2845,295.97290978959387
2020-01-12,293.07364,294.13665020618515
2020-01-13,296.59567,292.9613089267702
2020-01-14,296.4458,296.922407533528
2020-01-15,297.19247,296.43189661071887
2020-01-16,295.85098,297.26173832371086
2020-01-17,296.4065,295.72653042579066
2020-01-18,296.1144,296.4580354027721
2020-01-19,290.8069,296.0873019816573
2020-01-20,288.51694,290.31452501761777
2020-01-21,290.21262,288.3045011842381
2020-01-22,293.46225,290.36992766088105
2020-01-23,294.4819,293.76371707753157
2020-01-24,294.25034,294.5764925861114
2020-01-25,294.34167,294.2288582570098
2020-01-26,294.77518,294.35014265325316
2020-01-27,296.07736,294.81539657628116
2020-01-28,296.46133,296.19816279878637
2020-01-29,292.59723,296.49695076721343
2020-01-30,291.87033,292.2387587481068
2020-01-31,291.9617,291.80289573251184
2020-02-01,290.64038,291.9701763640396
2020-02-02,290.79135,290.5178015898782
2020-02-03,293.0728,290.80535543590963
2020-02-04,296.97833,293.2844493459361
2020-02-05,296.3725,297.34064469900017
2020-02-06,289.2997,296.3162973555202
2020-02-07,291.18674,288.643558732851
2020-02-08,295.20322,291.3618000634488
2020-02-09,297.5337,295.57582749302657
2020-02-10,298.12863,297.7498978424762
2020-02-11,297.23166,298.1838214551613
2020-02-12,296.26257,297.1484483960532
2020-02-13,293.2558,296.1726678480119
2020-02-14,291.9042,292.97686296264203
2020-02-15,294.77954,291.7788125245054
2020-02-16,296.0612,295.0462843206487
2020-02-17,297.47342,296.180099165317
2020-02-18,298.1001,297.6044311724201
2020-02-19,297.59518,298.1582368919377
2020-02-20,294.2554,297.5483387421377
2020-02-21,288.24118,293.94556973741675
2020-02-22,291.81326,287.6832428419137
2020-02-23,295.4454,292.1446406551235
2020-02-24,298.05893,295.7823524010381
2020-02-25,298.26035,298.3013862953755
2020-02-26,290.49094,298.27903566537003
2020-02-27,289.21918,289.77017445843234
2020-02-28,291.02545,289.10119925433924
2020-02-29,293.06384,291.193017057829
2020-03-01,296.4538,293.2529407518301
2020-03-02,298.9664,296.76828544423483
2020-03-03,301.0452,299.1994930533648
2020-03-04,301.90152,301.23804957388154
2020-03-05,295.78693,301.98096051717636
2020-03-06,293.83908,295.21968155091383
2020-03-07,294.0814,293.6583786133899
2020-03-08,294.76675,294.10387994455596
2020-03-09,297.46048,294.8303296880218
2020-03-10,297.6826,297.7103764222878
2020-03-11,298.5505,297.7032059973785
2020-03-12,298.2167,298.6310147898652
2020-03-13,299.4978,298.1857334867416
2020-03-14,299.87036,299.6166472143061
2020-03-15,299.0532,299.9049222653672
2020-03-16,297.84195,298.97739234279726
2020-03-17,299.41522,297.72958274660186
2020-03-18,299.83917,299.5611717265252
2020-03-19,301.16022,299.8784996983101
2020-03-20,300.7764,301.2827733623129
2020-03-21,298.60617,300.7407931482359
2020-03-22,299.4539,298.4048384958991
2020-03-23,300.06808,299.53254362577763
2020-03-24,301.70285,300.1250572711596
2020-03-25,302.87253,301.85450706075346
2020-03-26,302.82224,302.9810408185384
2020-03-27,302.80075,302.81757461368557
2020-03-28,303.70898,302.79875637995826
2020-03-29,301.17554,303.7932361903437
2020-03-30,302.16306,300.94051362687395
2020-03-31,300.7001,302.2546718968633
2020-04-01,301.224,300.5643816949174
2020-04-02,302.56522,301.2726020260518
2020-04-03,301.61633,302.6896445264005
2020-04-04,302.87683,301.52830179518935
2020-04-05,298.50787,302.9937661592638
2020-04-06,300.96857,298.1025630564242
2020-04-07,301.87595,301.19684830789413
2020-04-08,303.0763,301.96012733613077
2020-04-09,304.68994,303.1876560640796
2020-04-10,303.57922,304.8396368377901
2020-04-11,303.6082,303.47617888074774
2020-04-12,307.50317,303.610888464812
2020-04-13,304.92935,307.86450505136685
2020-04-14,301.2047,304.69057758791234
2020-04-15,292.66843,300.8591654775073
2020-04-16,295.00803,291.8765231152407
2020-04-17,301.9494,295.2250739017959
2020-04-18,302.3618,302.5933485504397
2020-04-19,305.67154,302.4000582087112
2020-04-20,305.61978,305.9785834619293
