Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,Evapotranspiration,Kc,ETc,Dia,gndvi_mean_pred_1,gndvi_mean_pred_2,gndvi_mean_pred_3,gndvi_mean_pred_4,gndvi_mean_pred_5,gndvi_mean_pred_6,gndvi_mean_pred_7,gndvi_mean_pred_8,gndvi_mean_pred_9
9,2022-05-01,2,0.1563744254942061,0.0804447351209941,0.2,-0.163946182219198,-0.2584352984797923,-0.0161490683229813,1.3991255653338848,1.0328282828282829,1.697,0.2238218947916121,0.1207598371777476,0.3030056864337936,0.8121129811789731,-6.131221719457014,47.77777777777778,4.646023,0.349830589318337,1.6253209640765478,0,0.32439608243869156,0.22100421957888772,0.23656441042361467,0.24629310570640678,0.2292286308364108,0.2258987839745955,1.5467911328990604e-06,4.656991952666865e-15,2.433974954302109e-19
10,2022-05-06,2,0.1738282385040526,0.0795454545454545,0.2219752302318196,-0.1782553512732216,-0.2490528974322997,-0.029253451907325,1.440872132030156,1.0602700096432016,1.663303437967115,0.228262888431588,0.1111111111111111,0.3023872679045092,-1.3881842212618798,-921.6666666666669,21.77165354330709,5.9410105,0.3699024742796605,2.197594483671443,5,0.3308456683867473,0.2409799920297407,0.2524519137818686,0.25823960696104137,0.2514022798411722,0.25059717319636465,0.015726454045912653,2.6018180853265432e-05,9.86507555176576e-07
11,2022-05-11,2,0.1930608346891495,0.1430997876857749,0.228395061728395,-0.1962978163573591,-0.2412626832018038,-0.1067859021567596,1.4901987331139774,1.2391048292108362,1.6359583952451708,0.2906124944425111,0.250348351137947,0.3362799263351749,0.4955332600740265,0.3376076938489281,0.6631299734748011,5.807129,0.3920199598925219,2.276510477670701,10,0.337295254334803,0.2604687261734163,0.26824016117485316,0.2707326466625897,0.27135246531554147,0.2721296542594203,0.05503101837783678,0.00038165937176483394,2.8993771924883197e-05
17,2022-05-16,2,0.2189230045647799,0.1607651607651607,0.2666105971404541,-0.1660601079482355,-0.2181568088033012,-0.0877611940298507,1.3999050644074558,1.192408376963351,1.558057705840957,0.3229361196455405,0.2812219227313567,0.378563695416817,0.5190454036304265,0.3573994252873563,0.6906077348066298,7.349682,0.4217614552494968,3.099812575941032,15,0.34374484028285873,0.2794704220099146,0.28391531924572133,0.28370502715038204,0.28943048910342595,0.29105624090044924,0.10848602648615469,0.0017715335979115337,0.00020220502889837784
12,2022-05-21,2,0.2209486474585293,0.1506258092360811,0.2837688627162311,-0.1731993227700181,-0.2270642201834862,-0.0853909465020576,1.4207675206813066,1.186726659167604,1.5875370919881306,0.3143880059120981,0.2693069306930693,0.3798991074893287,0.5525378183869846,0.3504016064257028,0.7335058214747736,7.3157825,0.4240909445773086,3.102557110747145,20,0.3501944262309145,0.29798507953923553,0.29946355463762614,0.2970914250977387,0.3059546115953351,0.3078750122484832,0.1687085614025643,0.005126313345539902,0.0007814660424655525
13,2022-05-26,2,0.2376276193678403,0.161660777385159,0.3039049235993208,-0.1992717690423331,-0.2634498058790904,-0.1320754716981132,1.4997138203566955,1.3043478260869563,1.7153614457831323,0.3028891001929646,0.2602212602212602,0.3527080581241744,0.7857135660222601,0.4645849200304646,1.052012929767852,5.7195063,0.4432717622730163,2.535295636932619,25,0.35664401217897024,0.316012698761379,0.3148710339937207,0.31082839151197006,0.32121133559383575,0.3230257546105016,0.2300868000548359,0.011438873924960857,0.0021834022273172966
14,2022-05-31,2,0.26433743109959,0.1791179117911791,0.3309189678587596,-0.1863690109913391,-0.2584902862227495,-0.0890619708770741,1.4601260686054391,1.195539033457249,1.6972,0.319956692056321,0.2638687891944042,0.3636363636363636,0.8661403911570501,0.5320855614973262,1.2079615648592998,6.1670136,0.4739880457645284,2.923090724467269,30,0.36309359812702596,0.3335532796763452,0.33012392395715795,0.32485435173437616,0.3354566901790081,0.3368935152364699,0.28852665945230427,0.021637498104837255,0.004964658905327838
15,2022-06-05,2,0.2783741997802404,0.1589871315898713,0.369622475856014,-0.1648706496814427,-0.2434354485776805,-0.0975877192982456,1.3968933603472258,1.2162818955042527,1.64352856109906,0.3454494255033539,0.2723091076356945,0.3997308209959623,0.7282299109710164,0.390896101245152,1.0133795837462836,7.5889745,0.4901303297472764,3.719586574128672,35,0.3695431840750817,0.3506068222841339,0.3452083911710911,0.3391096054402472,0.3489175145739013,0.34981206806381365,0.34121949376055416,0.036492031537442245,0.009785747877138172
16,2022-06-10,2,0.2963148701669802,0.1581108829568788,0.3900955690703735,-0.1395667045468187,-0.2166597710660598,-0.0728660652324774,1.3265986617923022,1.157185628742515,1.5531690140845071,0.3538527988734719,0.2572447614801605,0.4154652686762778,0.7382032754129939,0.3570117474302496,1.039351851851852,6.914571,0.5107621006920272,3.531700809344171,40,0.3759927700231374,0.3671733265847453,0.360110602278673,0.35353632663886314,0.36179274200998873,0.36206729144132793,0.3864300445326274,0.056549068391345325,0.017361861538781987
18,2022-06-20,2,0.3135244083029931,0.2292328642759873,0.3595406360424028,-0.0293145778612192,-0.1116942758733803,0.0175438596491228,1.061588514503149,0.9655172413793104,1.2514771048744462,0.2974437658649518,0.2571959145775301,0.3260105448154657,2.0416654286423097,0.9704321455648218,4.291925465838509,5.545442,0.5305530695484421,2.942151275102852,50,0.3888919419192489,0.39884522026443586,0.3893129227473956,0.38268223922140027,0.3864503121664977,0.38551143549840455,0.45169329023918214,0.11312546826962157,0.04357639085749453
