Fecha,temp
2020-08-21,303.37045
2020-08-22,302.86234
2020-08-23,301.12228
2020-08-24,301.90717
2020-08-25,300.9405
2020-08-26,302.79776
2020-08-27,302.52057
2020-08-28,303.20377
2020-08-29,303.15744
2020-08-30,303.73752
2020-08-31,304.35742
2020-09-01,304.8845
2020-09-02,303.9075
2020-09-03,303.34158
2020-09-04,301.2495
2020-09-05,297.96677
2020-09-06,299.26724
2020-09-07,301.13486
2020-09-08,301.0756
2020-09-09,301.66858
2020-09-10,298.92688
2020-09-11,298.91922
2020-09-12,301.83237
2020-09-13,302.69974
2020-09-14,301.74597
2020-09-15,301.27426
2020-09-16,301.67764
2020-09-17,300.9301
2020-09-18,301.28333
2020-09-19,301.07205
2020-09-20,300.92886
2020-09-21,301.32596
2020-09-22,301.8545
2020-09-23,302.4681
2020-09-24,302.7168
2020-09-25,301.7851
2020-09-26,302.02753
2020-09-27,302.74023
2020-09-28,301.80713
2020-09-29,298.72656
2020-09-30,296.88602
2020-10-01,297.54092
2020-10-02,298.06946
2020-10-03,299.76578
2020-10-04,300.30722
2020-10-05,299.49527
2020-10-06,299.60364
2020-10-07,300.7947
2020-10-08,302.1997
2020-10-09,302.65866
2020-10-10,303.0867
2020-10-11,302.2541
2020-10-12,301.64062
2020-10-13,300.32742
2020-10-14,301.54944
2020-10-15,302.07654
2020-10-16,298.50507
2020-10-17,299.14963
2020-10-18,300.4
2020-10-19,300.83832
2020-10-20,300.83466
2020-10-21,301.54114
2020-10-22,301.8325
2020-10-23,301.88928
2020-10-24,301.73096
2020-10-25,301.49643
2020-10-26,299.99615
2020-10-27,298.48703
2020-10-28,295.50192
2020-10-29,295.2055
2020-10-30,294.30478
2020-10-31,295.31024
2020-11-01,296.509
2020-11-02,295.95886
2020-11-03,294.74875
2020-11-04,295.88425
2020-11-05,297.0149
2020-11-06,297.2278
2020-11-07,296.9623
2020-11-08,298.36108
2020-11-09,298.55334
2020-11-10,299.50467
2020-11-11,300.2936
2020-11-12,300.2653
2020-11-13,299.7976
2020-11-14,299.86615
2020-11-15,299.7657
2020-11-16,296.83356
2020-11-17,297.39297
2020-11-18,296.00903
2020-11-19,296.71286
2020-11-20,297.81256
2020-11-21,296.20657
2020-11-22,297.91467
2020-11-23,297.06143
2020-11-24,297.28204
2020-11-25,298.20642
2020-11-26,299.41553
2020-11-27,299.23804
2020-11-28,299.33347
2020-11-29,295.38672
2020-11-30,290.24933
2020-12-01,290.58194
2020-12-02,294.28787
2020-12-03,291.0836
2020-12-04,287.86414
2020-12-05,289.9703
2020-12-06,288.24203
2020-12-07,290.55444
2020-12-08,291.53812
2020-12-09,292.21243
2020-12-10,293.44214
