Fecha,Evapotranspiration,Dia,Reconstruida,Ajustados
2020-01-01,1.8948919,1,2.8399352687414754,3.3054285294229038
2020-01-02,2.64908,2,2.9726883870206726,3.31512006725381
2020-01-03,3.8275523,3,3.0155357200098996,3.3252545218267047
2020-01-04,2.9872954,4,3.015261439165198,3.335828922934901
2020-01-05,3.2641323,5,3.0300213366831015,3.3468401714321514
2020-01-06,3.149962,6,3.104045287160916,3.3582850401409408
2020-01-07,2.941523,7,3.2484731766058923,3.370160174798312
2020-01-08,3.0244973,8,3.435369648231122,3.382462095038933
2020-01-09,3.6287324,9,3.6069998866286905,3.3951871954151205
2020-01-10,3.5148942,10,3.6968159342990057,3.408331746453527
2020-01-11,4.9268184,11,3.6543535897858,3.421891895748174
2020-01-12,3.200688,12,3.4648933486422906,3.4358636690895157
2020-01-13,2.9702508,13,3.156737269560639,3.4502429716292013
2020-01-14,2.2281897,14,2.7935164487702777,3.465025589080191
2020-01-15,2.2733335,15,2.4543696741148886,3.4802071889518835
2020-01-16,2.063754,16,2.2091351616957056,3.4957833218198795
2020-01-17,2.4684796,17,2.0973306914737813,3.5117494226300203
2020-01-18,2.7041576,18,2.1181218502130714,3.528100812036314
2020-01-19,2.556582,19,2.2343369479227873,3.5448326977723585
2020-01-20,1.82683,20,2.3884525271218235,3.5619401760558613
2020-01-21,2.031632,21,2.5242509422233397,3.5794182330258373
2020-01-22,3.4482715,22,2.6060708161507558,3.597261746212073
2020-01-23,2.277289,23,2.6288252719776777,3.6154654860364195
2020-01-24,2.3720872,24,2.6157035529386254,3.634024117345481
2020-01-25,2.194562,25,2.6052333835875263,3.652932200974237
2020-01-26,2.099771,26,2.633345067358092,3.6721841953401566
2020-01-27,3.617756,27,2.717761044777568,3.691774458067325
2020-01-28,3.7022321,28,2.8508455703303865,3.711697247640111
2020-01-29,3.2810423,29,3.003502661803152,3.7319467250858924
2020-01-30,2.7361171,30,3.1382188050721096,3.752516955686339
2020-01-31,3.0594802,31,3.2256728651498685,3.7734019107167645
2020-02-01,2.4602973,32,3.25791397731208,3.7945954692130233
2020-02-02,2.670156,33,3.252493829501929,3.816091419765443
2020-02-03,3.23106,34,3.2455932900468456,3.8378834623392653
2020-02-04,3.9927802,35,3.2766759496637388,3.8599652101210618
2020-02-05,4.163203,36,3.3707623917211325,3.8823301913905794
2020-02-06,4.016509,37,3.525620059888259,3.904971851417474
2020-02-07,3.3105867,38,3.709475612671979,3.927883554382371
2020-02-08,2.959341,39,3.870869462708331,3.951058585321692
2020-02-09,4.1889243,40,3.9574858511538467,3.974490152095677
2020-02-10,3.8076108,41,3.937055183412919,3.998171387379024
2020-02-11,3.7277918,42,3.812231053676591,4.022095350673567
2020-02-12,4.317163,43,3.6232465718498457,4.046255030342395
2020-02-13,3.130032,44,3.4365334852664016,4.070643345664826
2020-02-14,2.3282552,45,3.322756221206512,4.095253148911626
2020-02-15,3.7199678,46,3.3318961441818087,4.12007722743986
2020-02-16,3.9067316,47,3.4744944543024268,4.14510830580678
2020-02-17,4.4656734,48,3.716274440616539,4.170339047902111
2020-02-18,4.366899,49,3.988708534483564,4.195762059098116
2020-02-19,3.7566662,50,4.212319300291957,4.221369888416816
2020-02-20,4.5051885,51,4.324716493252359,4.247155030713725
2020-02-21,2.4477224,52,4.30337366945271,4.273109928877456
2020-02-22,3.6596632,53,4.174750239434058,4.299226976044557
2020-02-23,4.567733,54,4.00607250983625,4.3254985178289385
2020-02-24,4.941923,55,3.8822523140287895,4.351916854565215
2020-02-25,4.135271,56,3.875829169179384,4.378474243565326
2020-02-26,5.490237,57,4.0204924685674674,4.405162901387763
2020-02-27,3.7172096,58,4.2976596182218785,4.431975006118744
2020-02-28,3.9316895,59,4.641088868100371,4.4589026996646535
2020-02-29,3.8187406,60,4.958170210565278,4.485938090055102
2020-03-01,4.6504054,61,5.160624674134721,4.513073253755898
2020-03-02,5.248674,62,5.193978348766739,4.540300237991285
2020-03-03,5.501061,63,5.055581892130304,4.56761106307473
