Fecha,Evapotranspiration,Dia,Reconstruida,Ajustados
2022-02-01,3.3608513,1,4.93251297942244,3.670074881569968
2022-02-02,4.202152,2,4.3224861089839175,3.69557654634543
2022-02-03,4.0871406,3,3.7433381839255864,3.721319126575327
2022-02-04,2.718778,4,3.2394649792810815,3.747295491423481
2022-02-05,2.5252254,5,2.8448906605964908,3.7734984452940896
2022-02-06,3.2565532,6,2.581788842546509,3.799920729824947
2022-02-07,2.9113557,7,2.459052821868273,3.826555025898049
2022-02-08,1.6905423,8,2.471183657610786,3.853393955667028
2022-02-09,3.1375344,9,2.5984335237089033,3.88043008460086
2022-02-10,2.6980212,10,2.8092021555981255,3.9076559235432677
2022-02-11,2.4181945,11,3.0650493444365674,3.935063930787259
2022-02-12,4.5039463,12,3.3276174698585503,3.9626465141642213
2022-02-13,3.1998172,13,3.565747662612503,3.9903960331469945
2022-02-14,3.0599632,14,3.7606270050800013,4.018304800966337
2022-02-15,3.7707696,15,3.9072126216809324,4.046365086740207
2022-02-16,4.233009,16,4.011374785957157,4.074569117615253
2022-02-17,4.9141665,17,4.083766855983081,4.102909080919943
2022-02-18,4.765768,18,4.132749810063556,4.131377126328716
2022-02-19,2.757239,19,4.159206766475973,4.159965368036562
2022-02-20,3.6646976,20,4.155498467545918,4.188665886943436
2022-02-21,4.300379,21,4.109276042019895,4.217470732847894
2022-02-22,4.419782,22,4.010917318190644,4.246371926649338
2022-02-23,4.541538,23,3.8617283963914066,4.2753614625582745
2022-02-24,4.1042123,24,3.679420568684425,4.30443131031396
2022-02-25,2.6699464,25,3.49806189206952,4.33357341740883
2022-02-26,2.9049575,26,3.3615523768662756,4.3627797113190825
2022-02-27,3.0758886,27,3.3120647752103247,4.3920421017408176
2022-02-28,3.4874558,28,3.376963668673879,4.421352482831094
2022-03-01,4.100296,29,3.558662742632309,4.450702735453288
2022-03-02,4.3141017,30,3.8312712140422445,4.480084729426148
2022-03-03,3.8488011,31,4.145831977829133,4.509490325775887
2022-03-04,3.7441578,32,4.4431166048341675,4.538911378990736
2022-03-05,4.9870586,33,4.670287020144243,4.568339739277286
2022-03-06,5.074271,34,4.796213103667189,4.597767254818032
2022-03-07,5.421426,35,4.820438471655653,4.627185774029463
2022-03-08,4.0980268,36,4.772713431474295,4.6565871478201055
2022-03-09,3.402782,37,4.703056227556302,4.68596323184786
2022-03-10,5.1094766,38,4.6654427806143515,4.71530588877603
2022-03-11,6.665742,39,4.700382644098652,4.744606990527411
2022-03-12,4.15014,40,4.822055400532808,4.773858420535808
2022-03-13,4.30054,41,5.014189739961204,4.8030520759943744
2022-03-14,4.9675083,42,5.235959018066976,4.832179870100129
2022-03-15,5.6643715,43,5.435828788715048,4.861233734294049
2022-03-16,5.572387,44,5.568663731036882,4.890205620496102
2022-03-17,6.4403524,45,5.610379503194686,4.919087503334613
2022-03-18,6.19679,46,5.565347925292749,4.947871382369329
2022-03-19,3.8458648,47,5.46429530423287,4.976549284307592
2022-03-20,4.210326,48,5.353683102829068,5.005113265212981
2022-03-21,6.1830025,49,5.280398090257112,5.033555412705827
2022-03-22,6.455727,50,5.277035316648147,5.061867848154986
2022-03-23,5.668147,51,5.352659429400743,5.090042728860263
2022-03-24,5.0021715,52,5.49186305322093,5.118072250224882
2022-03-25,5.361125,53,5.661972086023739,5.145948647917406
2022-03-26,5.630981,54,5.82544407162076,5.173664200022493
2022-03-27,5.671845,55,5.9528501535268035,5.201211229179914
2022-03-28,5.7571645,56,6.03187297019443,5.228582104711222
2022-03-29,6.344171,57,6.069420172715972,5.255769244733496
2022-03-30,7.005221,58,6.086591103162496,5.282765118259554
2022-03-31,6.3882875,59,6.108853538638631,5.309562247284089
2022-04-01,5.590019,60,6.15543136566374,5.336153208855113
2022-04-02,6.0001936,61,6.231996826038213,5.362530637130154
2022-04-03,5.5832734,62,6.329312563607313,5.388687225416637
2022-04-04,6.68345,63,6.4280616103429535,5.414615728195877
2022-04-05,6.8384385,64,6.507668406341049,5.4403089631301285
2022-04-06,7.203085,65,6.5553788502309995,5.465759813052131
2022-04-07,7.03079,66,6.571810019507824,5.490961227936605
2022-04-08,5.5859714,67,6.5706134078039655,5.515906226853147
2022-04-09,6.0365376,68,6.572264088132025,5.540587899899984
2022-04-10,6.7367,69,6.594378558864992,5.56499941011806
2022-04-11,7.1499596,70,6.642448721101417,5.589133995384901
2022-04-12,6.388403,71,6.704868334162507,5.612984970287771
2022-04-13,7.1524043,72,6.754595341642664,5.636545727975562
2022-04-14,7.0200467,73,6.757293478965343,5.65980974198893
2022-04-15,6.4171376,74,6.683263987051267,5.682770568068156
2022-04-16,6.278408,75,6.518880577939645,5.705421845938249
2022-04-17,6.4095845,76,6.273214458930144,5.7277573010707705
2022-04-18,5.7845964,77,5.977140298452158,5.749770746421916
2022-04-19,5.414927,78,5.674895371453627,5.771456084146362
2022-04-20,6.2387676,79,5.41085039579801,5.792807307286397
2022-04-21,4.439428,80,5.216103341831817,5.813818501435888
2022-04-22,4.653979,81,5.0997076093558675,5.834483846378599
2022-04-23,6.1339383,82,5.047769010746612,5.854797617700426
2022-04-24,5.8173237,83,5.030823918155156,5.87475418837509
2022-04-25,4.7754154,84,5.016852532144519,5.8943480303228535
2022-04-26,3.727426,85,4.985112442278543,5.913573715941829
2022-04-27,4.5504956,86,4.935529695037821,5.932425919611456
2022-04-28,4.6943026,87,4.889879804815914,5.950899419167726
2022-04-29,5.8141828,88,4.883943731634901,5.968989097349751
2022-04-30,5.976687,89,4.953196780631372,5.986689943217272
