Fecha,et,dia,reconstruida_et,ajustados_et
2020-01-01,1.8572602,1,2.6006749358898875,2.9949452759283846
2020-01-02,2.4557428,2,2.728120235717072,3.0038538382519975
2020-01-03,3.4035633,3,2.7714875470376517,3.013223722145257
2020-01-04,2.7061808,4,2.7683123826960423,3.023052177345915
2020-01-05,2.9438274,5,2.76902733416215,3.033336318991193
2020-01-06,2.8961813,6,2.815281729562551,3.0440731284645484
2020-01-07,2.6596496,7,2.922498125981875,3.0552594542817055
2020-01-08,2.7828617,8,3.072979590026286,3.0668920130156847
2020-01-09,3.2734227,9,3.2218803326430696,3.078967390260555
2020-01-10,3.2493734,10,3.313615518038865,3.091482041633639
2020-01-11,4.126957,11,3.3025393915052352,3.104432293815865
2020-01-12,2.9483938,12,3.1702954239051375,3.1178143456299634
2020-01-13,2.8582828,13,2.933599936029639,3.1316242691561946
2020-01-14,2.174305,14,2.63980352903916,3.145858010885279
2020-01-15,2.1442962,15,2.352027861148539,3.1605113929081874
2020-01-16,2.041279,16,2.129358154682032,3.1755801141424476
2020-01-17,2.4095683,17,2.009163958755757,3.1910597515946066
2020-01-18,2.6017697,18,1.9975999496999157,3.20694576165847
2020-01-19,2.1545637,19,2.0711559390458394,3.2232334814487515
2020-01-20,1.6285237,20,2.188017207293133,3.2399181301697286
2020-01-21,1.9008578,21,2.3045090671129804,3.256994810518509
2020-01-22,3.1665616,22,2.3903069960685777,3.2744585101224954
2020-01-23,2.2027812,23,2.4369267814837974,3.292304103010621
2020-01-24,2.2675707,24,2.456872219171982,3.3105263511179377
2020-01-25,2.0308557,25,2.474556578546843,3.3291199058230942
2020-01-26,2.0603745,26,2.513267414458526,3.348079309518279
2020-01-27,3.3907015,27,2.583807692523259,3.3673989972111364
2020-01-28,3.4792085,28,2.6795296172477263,3.38707329815822
2020-01-29,2.9646928,29,2.779686292506658,3.4070964375294723
2020-01-30,2.4709017,30,2.8594961310960954,3.4274625381032626
2020-01-31,2.707667,31,2.9024660064336913,3.44816562199148
2020-02-01,2.2486782,32,2.9095007447284407,3.469199612394168
2020-02-02,2.4112675,33,2.9005655018480043,3.4905583353832004
2020-02-03,2.9273164,34,2.907695409396533,3.512235521714458
2020-02-04,3.6801975,35,2.9617742512964162,3.534224808667988
2020-02-05,3.786643,36,3.0782779007048293,3.5565197419156007
2020-02-06,3.5313346,37,3.2479490699990134,3.57911377741535
2020-02-07,3.0314994,38,3.4367497758941625,3.6020002833323526
2020-02-08,2.7757647,39,3.595972522207782,3.625172541985375
2020-02-09,3.927263,40,3.6793729011896636,3.6486237518186133
2020-02-10,3.6259353,41,3.6611733281220618,3.672347029398102
2020-02-11,3.593346,42,3.548007884751657,3.696335411432143
2020-02-12,3.9860225,43,3.3797438291231185,3.720581856815186
2020-02-13,2.7496505,44,3.218035893842357,3.745079248694544
2020-02-14,2.238628,45,3.126043388004791,3.7698203965593398
2020-02-15,3.4795516,46,3.1462600855325307,3.794798038351077
2020-02-16,3.7439964,47,3.2844967998790153,3.8200048425952122
2020-02-17,4.1560473,48,3.506201944359891,3.845433410553096
2020-02-18,4.1489406,49,3.747075229331656,3.871076278393665
2020-02-19,3.681425,50,3.9347983395289927,3.8969259193842367
2020-02-20,3.9936154,51,4.014532703756069,3.922974746099765
2020-02-21,2.1365254,52,3.9691834654765406,3.949215112649914
2020-02-22,3.4133031,53,3.8269857789605415,3.9756393169232913
2020-02-23,4.2283964,54,3.6532648529358145,4.002239602848182
2020-02-24,4.615684,55,3.5287741571597597,4.0290081626691245
2020-02-25,3.9588974,56,3.5218540481567757,4.055937139238651
2020-02-26,4.5170007,57,3.664019647083376,4.083018628323534
2020-02-27,3.5041704,58,3.937585066969792,4.110244680924842
2020-02-28,3.7574024,59,4.279862334969063,4.137607305611148
2020-02-29,3.4799273,60,4.602745185746513,4.1650984708641845
2020-03-01,4.371652,61,4.821119151690947,4.192710107436263
2020-03-02,4.9940305,62,4.880438234680878,4.220434110718777
2020-03-03,5.262206,63,4.774084592889503,4.248262343121074
2020-03-04,5.764341,64,4.544688981165115,4.276186636459016
2020-03-05,3.9517965,65,4.269171767617538,4.3041987943525175
2020-03-06,4.343979,66,4.0328841246107565,4.332290594631357
