Variable,R2,P_values,MSE,Params,RMSE
ndvi_max,0.7104250857112991,[0.01091789 0.00057587],1752.3818780878714,[-108.29543495  223.53563097],41.86146053457609
ndvi_mean,0.5553341498714663,[0.08968441 0.00541106],1369.8242363496172,[-72.37690612 255.70994812],37.01113665303482
gndvi_max,0.6705069605726717,[0.0140452  0.00112374],1653.9171694125905,[-122.77495167  279.25690034],40.66838046213041
gndvi_mean,0.6035352869845028,[0.04094741 0.00295304],1488.7203745617735,[-96.05360754 324.46968705],38.58393933441444
cire_max,0.7401478003398565,[3.36136108e-01 3.29659985e-04],1825.6979075049796,[10.30680379 20.73892492],42.728186335310085
cire_mean,0.6803696785632274,[0.73267113 0.0009598 ],1678.2452071226276,[ 4.5642179  46.10707398],40.96639118988427
ndre1_max,0.68997436127412,[0.13446349 0.00081946],1701.9367578094964,[-33.77356106 205.64640332],41.25453620887643
ndre1_mean,0.6025257836711932,[0.26158046 0.00299277],1486.2302663889434,[-28.17039364 315.26648683],38.55165711599105
msi_mean,0.5224527907680279,[0.67286935 0.44614963 0.35699943],644.3584419472344,[-143.21847833  551.69247941 -352.65897898],25.38421639419335
