Variable,R2,P_values,MSE,Params,RMSE
ndvi_max,0.020840416558883246,[0.33312803 0.73305825],20.25427984316468,[ 82.26195523 -37.13195903],4.500475513005785
ndvi_mean,0.04703338972661708,[0.25047652 0.60593569],45.71057564055593,[ 94.91174666 -67.56780769],6.760959668608883
gndvi_max,0.0013611708690046687,[0.60834283 0.93088641],1.3228879383138974,[46.58988136 12.32858204],1.1501686564647366
gndvi_mean,7.464234504828138e-05,[0.54396788 0.98380159],0.07254302909382204,[56.22288944 -3.45615594],0.269338131525824
cire_max,0.032728616422073364,[0.16210582 0.66812129],31.808124085202508,[42.52033445  5.47192581],5.639869154971816
cire_mean,0.012487450997200389,[0.18736076 0.79221164],12.136241437904118,[45.95647808  5.44121259],3.4837108717435377
ndre1_max,0.0038248337258073306,[0.4178882  0.88433552],3.7172602772690198,[46.32011672 17.79667486],1.9280197813479558
ndre1_mean,0.0037349948539010525,[0.30002043 0.88569513],3.629948123635131,[ 62.63009846 -24.2616872 ],1.9052422742620245
msi_mean,0.12716592539465055,[0.71041127 0.74139072 0.72130344],61.79469187146299,[ 294.10880113 -648.6862643   433.59106409],7.860959984089919
lluvia_acum,0.19850244712866572,[0.01618298 0.26858643],192.91956580317196,[ 8.54479694e+01 -7.24784694e-02],13.88954879768137
etc_acum,0.2116595598666391,[0.02236865 0.25137095],205.70663474538992,[ 9.24467856e+01 -2.59584773e-02],14.342476590372735
