Variable,R2,P_values,MSE,Params,RMSE
ndvi_max,0.05302825938178213,[0.95459738 0.58324879],51.536839586669544,[-6.2091421  78.78814655],7.1789163239774245
ndvi_mean,0.1428585185480593,[0.10596631 0.35591518],138.8406227138952,[ 114.39501934 -104.89971798],11.783065081458863
gndvi_max,0.1675051101308298,[0.63297809 0.31399953],162.79402890840026,[-45.97297424 150.40752492],12.759076334453065
gndvi_mean,0.016985199120777783,[0.3700535 0.7583893],16.507490395505897,[ 81.38474966 -52.14582183],4.062941101653567
cire_max,0.12006032713560333,[0.22322243 0.40044545],116.68363043491445,[32.83720014  8.26865759],10.8020197386838
cire_mean,0.00633563082327504,[0.07519162 0.8513854 ],6.157441206370436,[59.74060899 -3.72212314],2.4814191919888176
ndre1_max,0.1356144246521639,[0.98476367 0.36940175],131.8002689588218,[  1.09628577 111.35529224],11.480429824654728
ndre1_mean,0.07407023624085873,[0.10164699 0.51434147],71.98701084658455,[ 84.55741619 -94.39450209],8.484515946510122
ndre_max,0.16884255745691457,[0.87415871 0.31188393],164.09386052843888,[ -9.60118959 112.36799256],12.809912588633807
ndre_mean,0.03865775396291049,[0.17255344 0.64073618],37.57050463270366,[ 79.50789041 -64.65604705],6.12947833283581
ndmi_mean,0.18686220522571317,[0.00174725 0.28479295],181.60670570373998,[  68.6813216  -119.76794376],13.4761532235182
msi_mean,0.2671935374793608,[0.99462233 0.97586439 0.98050502],129.83935961887687,[ 4.0268881  42.55854753 20.11281931],11.394707526693121
