Variable,R2,P_values,MSE,RMSE
ndvi_max,0.21015828420087146,[0.34366859 0.15615339],625.7749491559402,25.015494181725458
ndvi_mean,0.22655097741536867,[0.31838789 0.13890131],674.5864285693624,25.972801708120794
gndvi_max,0.35765759253153506,[0.15379284 0.05196404],1064.9742532525363,32.63394326851317
gndvi_mean,0.37994794587155745,[0.11923069 0.04341983],1131.3468199160902,33.63549940042648
cire_max,0.12440408629812949,[0.53698221 0.28737061],370.43013114626683,19.246561540864043
cire_mean,0.22139104814737887,[0.92342753 0.14412692],659.2220355472045,25.67531958023511
ndre1_max,0.13566676161214908,[0.7166318  0.26503192],403.966282713121,20.098912475880905
ndre1_mean,0.19297837452902722,[0.61459267 0.17642657],574.6194253930689,23.971220773942008
msi_mean,0.3156112898107749,[0.52706293 0.47674398 0.45006593],469.88782665736926,21.676896149065467
