Variable,R2,P_values,MSE,Params,RMSE
ndvi_max,0.7104250857112991,[0.01091789 0.00057587],1752.3818780878714,[-108.29543495  223.53563097],41.86146053457609
ndvi_mean,0.5537321915479063,[0.09624583 0.0055153 ],1365.8727391515024,[-69.40353421 250.6095014 ],36.95771555645049
gndvi_max,0.6705069605726717,[0.0140452  0.00112374],1653.9171694125905,[-122.77495167  279.25690034],40.66838046213041
gndvi_mean,0.5975497148996434,[0.04469597 0.00319506],1473.9559634191205,[-93.76626619 320.18175927],38.39213413473026
cire_max,0.7401478003398565,[3.36136108e-01 3.29659985e-04],1825.6979075049796,[10.30680379 20.73892492],42.728186335310085
cire_mean,0.6853200788033027,[0.71019842 0.00088521],1690.4561943814801,[ 4.88642672 45.97464599],41.11515772049866
ndre1_max,0.68997436127412,[0.13446349 0.00081946],1701.9367578094964,[-33.77356106 205.64640332],41.25453620887643
ndre1_mean,0.6088688711553287,[0.2691903  0.00275031],1501.8765488498111,[-26.9838275  312.02602773],38.754052031365845
ndre_max,0.7266264859571983,[0.07176694 0.00042797],1792.3453320277558,[-41.03862038 189.63741311],42.336099631729844
ndre_mean,0.6368334349726312,[0.19008001 0.0018652 ],1570.855806265824,[-32.3515408  269.58190765],39.63402334189432
ndmi_mean,0.6191556380214103,[3.32659322e-06 2.39160027e-03],1527.2505737861454,[ 46.4450125  227.82618897],39.080053400502734
msi_mean,0.5222432079036277,[0.76434123 0.51519804 0.41468198],644.0999564144741,[ -98.70006772  454.86148084 -300.05025874],25.379124421746194
