Variable,R2,P_values,MSE,Params,RMSE
ndvi_max,0.6352690497024654,[0.03000122 0.00576435],863.965907595353,[-172.96707836  326.59061041],29.39329698409746
ndvi_mean,0.4110767094288317,[0.19330357 0.04573833],559.0643248232111,[-108.69792096  313.60522617],23.644541121011656
gndvi_max,0.6277004358701278,[0.03390321 0.00628576],853.6725927833738,[-165.03898165  376.14922721],29.217676033240114
gndvi_mean,0.45464508172196416,[0.14999578 0.03248938],618.3173111418713,[-116.03227118  360.2434143 ],24.865987033332726
cire_max,0.8996975169124873,[5.22145000e-02 2.88615005e-05],1223.5886230009828,[-26.71498513  45.35409996],34.9798316605581
cire_mean,0.7969965567575392,[0.29878671 0.00050769],1083.9153171902533,[-17.95365538  60.46715582],32.92286921260438
ndre1_max,0.7951215765503328,[0.01151255 0.00052719],1081.3653441084525,[-102.02327052  385.73941788],32.88411993817765
ndre1_mean,0.6438026302283328,[0.10369506 0.00521761],875.5715771105326,[-67.50553271 429.72525672],29.590058754766485
ndre_max,0.8406552183655022,[0.00590851 0.00018878],1143.2910969770828,[-96.65047307 321.52561847],33.812587847975834
ndre_mean,0.6508326587520574,[0.0869903  0.00479831],885.1324159027981,[-73.75832569 370.26792387],29.75117503398476
ndmi_mean,0.38788529949754436,[0.0044365  0.05443607],527.5240073166603,[ 46.36076635 216.82438477],22.967890789462153
msi_mean,0.2441532120861718,[0.88092877 0.95825824 0.98917643],166.02418421859682,[ 178.37179255 -144.05892584   21.50646964],12.885037222243357
lluvia_acum,0.002011562686133783,[0.84038477 0.90208676],2.7357252531419363,[4.47142408e+01 3.13155363e-02],1.6540027971989455
etc_acum,0.011304419733956905,[0.02952323 0.77003149],15.374010838181448,[ 8.12052055e+01 -5.89494600e-03],3.9209706500025536
