parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,ndre_max,ndre_mean,ndmi_mean,msi_mean,lluvia_acum,etc_acum,rendimiento,pred
1,0.6378224222,0.5179130052,0.5544349993,0.4935038748,1.4902545751,1.0782637733,0.3587782727,0.2690238837,0.4242634502,0.33688363115,0.0285787482,0.9865721411,886.59,1545.57778332833,70,61.106292200354666
10,0.7788958653,0.60387054645,0.6510877399,0.5577149021,2.4287459043,1.71199275565,0.4835769841,0.35197696165,0.5599002465,0.4286215275,0.13953316675,0.81273304455,865.29,1437.08130740952,80,79.58643803282406
11,0.7746283089,0.6004874001,0.6444371539,0.5299912002,2.3374092942,1.6649143522,0.4738256397,0.3507093391,0.5478875121,0.418468747,0.15033858875,0.791750665,870.38,1523.60008100006,80,71.84230714477029
13,0.7486486013,0.56969316605,0.6083588145,0.498478614766667,2.0654180693,1.38436800221667,0.4485452206,0.315832300183333,0.5113268225,0.377473330183333,0.112173958183333,0.864073597183333,882.55,1656.79697239928,65,59.956169889919394
14,0.7377554503,0.593794221083333,0.6303196604,0.548742125733333,2.2294457635,1.62975333121667,0.4474177766,0.339798783866667,0.5284582816,0.417033962266667,0.135535094683333,0.819228336866667,883.66,1670.73313980404,75,81.03977496386157
15,0.7694509746,0.590529120516667,0.6399362893,0.51959815565,2.2913330235,1.53171987266667,0.4710462087,0.335894105533333,0.5421011744,0.403192344916667,0.161291595666667,0.781332406483333,874.21,1839.70304452364,75,74.68883866033966
16,0.6871565432,0.5308464242,0.5831013226,0.4865866447,1.5496618777,1.0802109733,0.3833980383,0.2759930833,0.4409766138,0.3381186459,0.049027739,0.935926446,855.78,1523.01957845496,40,53.57130497518773
2,0.7252521985,0.5544883855,0.6093613653,0.496693731083333,2.0679748231,1.39237085496667,0.4349721411,0.310608170283333,0.505090742,0.375497868283333,0.11708546075,0.852682223266667,891.78,1954.29468400378,75,72.31369387029316
5,0.7420037237,0.5897144842,0.6286882971,0.53647624315,2.2397447323,1.5499279837,0.4517456006,0.33365344735,0.5257211614,0.40451049615,0.118724219,0.8410201585,833.55,1246.91437117898,80,68.57582690046273
6,0.7350553907,0.6043608627,0.6247160315,0.5345926727,1.9515563916,1.4530087606,0.4268777501,0.3366388896,0.5030182782,0.4061683882,0.1305244982,0.8049999049,879.25,1354.86315382728,80,62.54240120140567
7,0.7887253832,0.5445686587,0.6767574776,0.5178565276,2.4323534117,1.4969182942,0.4712202434,0.3094343946,0.5619064216,0.3799943536,0.0674113581,0.9477589857,865.94,1319.78008494553,80,72.6830546553648
8,0.7032923154,0.55747560565,0.5876042653,0.51255300235,1.7634755991,1.2134124929,0.4039286902,0.29350554515,0.4728485473,0.36414172115,0.0873368675499999,0.873303381,891.9,1459.82156049656,80,65.37658146333355
9,0.7482215073,0.5839626207,0.6296790798,0.5274512692,2.1233070154,1.4342724828,0.4456726152,0.3224883692,0.5219509421,0.3936523933,0.1313672958,0.8091424439,890.03,1443.49631598757,70,71.71503651576765
1,0.6512525625,0.497295015833333,0.5667661228,0.474493820266667,1.5270857154,1.0396701337,0.368123682,0.257175124266667,0.4275598631,0.3210277644,-0.0046570701333332,1.06770365116667,653.77,1155.53779247926,60,55.092991177682485
10,0.7965685909,0.629578321533333,0.6600610961,0.5682260822,2.5858456834,1.78172892095,0.4991195364,0.36583675325,0.5789106444,0.4441754819,0.17911959395,0.739835725166667,658.18,1416.69398940101,75,81.89813047565752
11,0.8109556015,0.6410295244,0.6749039001,0.571797406683333,2.7319613357,1.88613820345,0.5113111201,0.376820118783333,0.5956966976,0.45562673275,0.199270314216667,0.710449983266667,658.18,1440.54271596961,75,84.73470036040419
13,0.6673009887,0.5330805696,0.5558404663,0.47366437205,1.3487218845,1.02690625375,0.3558612818,0.2734028801,0.4119276417,0.32673406575,0.06872670675,0.89737732925,650.7,1062.85012345549,50,44.60377340865521
14,0.702393661,0.53956151625,0.6035515392,0.49983567775,1.895898854,1.3308196804,0.4132874718,0.29926022555,0.4848140103,0.36535006905,0.0854472288499999,0.8963524354,657.65,1309.51407507601,65,70.66928549906049
15,0.7526896384,0.5938866281,0.6183222841,0.52181216755,2.0395822439,1.49268546983333,0.4497215014,0.339724348933333,0.5197748704,0.403409662733333,0.149974955816667,0.780777043,599.52,1139.88011961922,50,66.39836806212068
16,0.6080801851,0.493257906,0.5470376403,0.466808726966667,1.164440696,0.891223027466667,0.3176156079,0.245579343033333,0.3799245903,0.304587600433333,-0.0211438472,1.06824786703333,610.53,996.351545628944,30,42.97000748525577
2,0.7814160199,0.614988901416667,0.6464411501,0.5393527472,2.2300227027,1.61553031696667,0.4731859887,0.355094550283333,0.5450876632,0.4201102133,0.14820976605,0.789692480966667,606.51,1174.83998308477,65,60.9745508914895
3,0.6760044499,0.563202465966667,0.5737940207,0.505541435366667,1.6482823351,1.2442699943,0.3879977081,0.3046661365,0.4506676276,0.367181348933333,0.0974600730333333,0.8473571705,654.37,1293.89852976897,50,57.44885470915247
4,0.7428678641,0.5756661116,0.6309486826,0.5122323565,2.2829568271,1.52477644485,0.4569679957,0.3322555961,0.5329992777,0.39567894575,0.1080566787,0.87313835125,648.12,1184.09670007223,65,63.32920901683012
5,0.7758504254,0.60003814515,0.6563320036,0.540478332016667,2.2607091228,1.5451610533,0.4713631518,0.33852426425,0.5460087351,0.410854742516667,0.128622683583333,0.831373026216667,712.72,1445.50880411428,75,68.84631112707535
6,0.7595438129,0.59846779815,0.6498465371,0.5418927561,2.1959588177,1.53629281435,0.4537377939,0.3376667491,0.5317152713,0.40853258365,0.1368180234,0.81590174685,657.21,1197.99497836839,75,69.52212515746342
7,0.7961441643,0.613678494433333,0.6673902325,0.555524835166667,2.6522001386,1.79256931386667,0.4999610426,0.3588689926,0.5816532423,0.435801620233333,0.1609980866,0.7854714486,665.44,1432.11933865557,75,82.0953679167877
8,0.7497140971,0.58688256435,0.6442860628,0.5317693952,2.2020109543,1.5071299676,0.4464650022,0.3286497826,0.5279887833,0.4008198607,0.13626322845,0.82218212,657.21,1179.0527954228,75,74.65942010514198
9,0.7653320659,0.59118879985,0.6581450295,0.53673637525,2.2551884611,1.49886251435,0.4601426509,0.33237605545,0.5412418211,0.40279760405,0.13271968775,0.8088699112,657.21,1181.50411417322,75,70.24296357726976
