indice,parcela_id,a,b,c,r2,mse,rmse
cire_mean,1,-2.14311e-05,0.0114477061,-0.0384812657,0.7072475979,3.4788912177,1.8651786020914995
cire_mean,10,-3.38306e-05,0.0194289077,-0.3607579142,0.9110933858,12.6861107597,3.5617566957471984
cire_mean,11,-2.66252e-05,0.0166460588,-0.2643628914,0.9175260312,13.4819697793,3.671780192127519
cire_mean,13,-3.773e-05,0.0192714275,-0.3954026932,0.7625428184,7.5114130988,2.7406957326197303
cire_mean,14,-2.37806e-05,0.0150923645,-0.1651450696,0.7890350631,11.4353078272,3.381613198933314
cire_mean,15,-4.20047e-05,0.0215061575,-0.4614232773,0.8150373032,11.2541017144,3.354713358008401
cire_mean,16,-3.03063e-05,0.0132863673,0.0934678933,0.781322006,3.8468727124,1.9613446184696866
cire_mean,2,-2.40836e-05,0.0161398788,-0.6361025649,0.6890638678,12.3741253826,3.517687504966864
cire_mean,3,-1.23883e-05,0.0077503734,0.3590949652,0.6975781057,2.9847707444,1.727648906577954
cire_mean,4,-9.3871e-06,0.0098268464,-0.4466448971,0.7189637412,21.6458215345,4.652507016061341
cire_mean,5,-5.90926e-05,0.0250376014,-0.4123689501,0.8643727731,6.6503207772,2.5788215869268662
cire_mean,6,-4.33576e-05,0.016593007,0.3640206602,0.8095015857,4.5655034668,2.136703879062328
cire_mean,7,-1.53023e-05,0.012779803,-0.225118635,0.7783251834,12.5018645509,3.535797583417354
cire_mean,8,-3.77914e-05,0.0166339522,-0.0668901249,0.8626951356,5.3350973112,2.3097829575957998
cire_mean,9,-5.06921e-05,0.0217850845,-0.2172438296,0.8538455946,9.798194533,3.1302067875780986
gndvi_mean,1,-2.9728e-06,0.0016795834,0.3172014277,0.6598217213,0.08477075,0.29115416878348144
gndvi_mean,10,-3.8052e-06,0.0023105216,0.3003505367,0.9203580031,0.2067367833,0.45468316804121967
gndvi_mean,11,-3.6581e-06,0.0024755345,0.2256224693,0.9571269094,0.3643624917,0.603624462476464
gndvi_mean,13,-5.2448e-06,0.0030282128,0.1712562561,0.8018037482,0.24007417,0.4899736421482282
gndvi_mean,14,-2.6194e-06,0.001812835,0.3166628408,0.8592105932,0.2052347556,0.45302842692263806
gndvi_mean,15,-5.7603e-06,0.0033201384,0.1615187533,0.8606434757,0.3358824896,0.5795536986336987
gndvi_mean,16,-5.9451e-06,0.0028948946,0.2306941447,0.8735397827,0.19726525,0.44414552795226925
gndvi_mean,2,-2.8711e-06,0.0022342396,0.174699884,0.8284087701,0.3535916929,0.5946357649015067
gndvi_mean,3,-2.0692e-06,0.0014184579,0.3094176483,0.7733801746,0.1284890853,0.3584537422039279
gndvi_mean,4,-1.4447e-06,0.0016633181,0.1354916805,0.8839636509,0.7737257988,0.8796168477240531
gndvi_mean,5,-6.6025e-06,0.0031276362,0.2582943402,0.881400534,0.1452734171,0.3811475004509409
gndvi_mean,6,-7.5669e-06,0.0031324115,0.3005409491,0.8901979757,0.1623769448,0.4029602273177838
gndvi_mean,7,-3.659e-07,0.0010057545,0.339446626,0.8203725681,0.1876107872,0.43314060904052853
gndvi_mean,8,-4.9077e-06,0.0023362404,0.3095708089,0.8106738996,0.1229763539,0.3506798453005248
gndvi_mean,9,-7.2259e-06,0.0032999389,0.2529241962,0.8798505286,0.2606522343,0.510541119107952
