indice,parcela_id,a,b,c,r2,mse,rmse
cire_mean,1,-4.51263e-05,0.0179710104,-0.2620987479,0.7858817425,3.9488805361,1.9871790397696931
cire_mean,10,-6.70863e-05,0.0284708066,-0.4348386486,0.9223432117,10.1945598584,3.192892083738503
cire_mean,11,-7.12419e-05,0.0299414514,-0.4139756683,0.9278911281,11.0110980308,3.318297459662108
cire_mean,13,-2.76597e-05,0.0119525116,0.0574703421,0.9422099465,1.9253242215,1.3875605289499986
cire_mean,14,-3.6175e-05,0.0181211514,-0.373451496,0.7204722174,7.095778898,2.663790325457317
cire_mean,15,-5.11273e-05,0.0211969003,-0.1574224405,0.923298136,6.0109477902,2.45172343264896
cire_mean,16,-2.99177e-05,0.0110313609,0.1475639416,0.9493014091,1.273300456,1.1284061573741966
cire_mean,2,-6.71534e-05,0.025546645,-0.1996021073,0.9216553234,7.3826849421,2.7171096669255
cire_mean,3,-3.57807e-05,0.0148855332,0.1001076343,0.869630837,2.9642602613,1.7217027215230858
cire_mean,4,-2.86453e-05,0.0169699904,-0.2303737265,0.849130745,7.0834874692,2.661482194041508
cire_mean,5,-5.35383e-05,0.0231009983,-0.2312235852,0.8741520274,7.0753969838,2.6599618387864137
cire_mean,6,-6.43721e-05,0.024458279,-0.1272813823,0.8123529168,4.6930739174,2.166350368107615
cire_mean,7,-6.13523e-05,0.0288059094,-0.7290078029,0.8809583293,12.9422278672,3.597530801424777
cire_mean,8,-6.89068e-05,0.0253436594,-0.1283137545,0.7777118728,4.5054514273,2.1226048683869543
cire_mean,9,-7.45441e-05,0.0278105828,-0.3386578896,0.8389179856,4.5168317127,2.125283913433685
gndvi_mean,1,-7.907e-06,0.0033756546,0.206484376,0.8077458441,0.162075841,0.4025864391655536
gndvi_mean,10,-6.7974e-06,0.0031533136,0.2943555985,0.9403537262,0.1554087912,0.3942192171875948
gndvi_mean,11,-7.8508e-06,0.0035782147,0.2671869357,0.9655039414,0.1879542358,0.43353689093317077
gndvi_mean,13,-5.9149e-06,0.0027580556,0.2343275176,0.9499545041,0.1217850202,0.3489771055527855
gndvi_mean,14,-5.4245e-06,0.0029744274,0.1958081936,0.8739734899,0.246863923,0.4968540258466263
gndvi_mean,15,-9.2349e-06,0.0037854876,0.2303939986,0.9430573936,0.1863920799,0.4317314905123322
gndvi_mean,16,-8.2247e-06,0.0032105272,0.2337290538,0.9286210433,0.1253647659,0.35406887169024054
gndvi_mean,2,-1.04535e-05,0.0042422407,0.2160445695,0.9823528351,0.239788152,0.48968168436240295
gndvi_mean,3,-5.1026e-06,0.0023651803,0.2997145335,0.9249703933,0.0970328306,0.311500931940821
gndvi_mean,4,-3.945e-06,0.0024398092,0.2537201848,0.7774212672,0.1569026134,0.39610934525708935
gndvi_mean,5,-8.1641e-06,0.0037882538,0.2168816404,0.8704230473,0.2294140976,0.4789719173396286
gndvi_mean,6,-1.00611e-05,0.0040435813,0.2435651969,0.9295411102,0.1478701225,0.38453884394167515
gndvi_mean,7,-6.8807e-06,0.0035161631,0.2181860341,0.9326444293,0.2416697663,0.49159919273733554
gndvi_mean,8,-1.06371e-05,0.0042128377,0.2271610666,0.9157224636,0.1498345057,0.38708462343523803
gndvi_mean,9,-1.12696e-05,0.0045468333,0.1995294613,0.9287437044,0.1507487872,0.3882638113448123
msi_mean,1,2.68513e-05,-0.0116997886,2.0194472293,0.9362161623,2.0569748197,1.434215750750214
msi_mean,10,2.17903e-05,-0.0103908723,1.66958906,0.9729627182,1.8182809384,1.348436479186172
msi_mean,11,2.20711e-05,-0.0102663111,1.6047566231,0.9715927556,1.6247762402,1.2746671095623359
msi_mean,13,1.24301e-05,-0.0060578758,1.4418445942,0.923012085,0.6461788467,0.8038525030750355
msi_mean,14,1.39943e-05,-0.0079252677,1.7281460838,0.9311153239,1.9102898565,1.3821323585315555
msi_mean,15,1.60524e-05,-0.0078375552,1.4803555648,0.9727800895,1.1961068282,1.0936666897185816
msi_mean,16,1.92044e-05,-0.0078906948,1.6759506961,0.9106284449,0.8828765241,0.9396150935888589
msi_mean,2,2.03482e-05,-0.0094002194,1.5944014745,0.9560066823,1.6213642556,1.2733280235665907
msi_mean,3,1.06023e-05,-0.0050418822,1.2974613129,0.8743869806,0.4691461152,0.6849424174337577
msi_mean,4,1.23878e-05,-0.0076552897,1.6839149969,0.7464183392,1.5428148926,1.2421009993555274
msi_mean,5,2.42476e-05,-0.0118723149,1.9157519206,0.8296085977,2.6682172247,1.6334678523619617
msi_mean,6,2.38536e-05,-0.0105951685,1.698146974,0.9585141465,1.4053050598,1.1854556338387363
msi_mean,7,2.01015e-05,-0.0106686198,1.8466938639,0.9852427723,2.4650019723,1.5700324749189107
msi_mean,8,2.37856e-05,-0.0103379544,1.6625260388,0.9248797077,1.2526250469,1.119207329720459
msi_mean,9,2.48865e-05,-0.0105742113,1.6460819815,0.9367219213,0.9877546379,0.9938584596913184
ndmi_mean,1,-1.1285e-05,0.0048424388,-0.3915028056,0.8790643221,0.3380344408,0.5814072933839065
ndmi_mean,10,-1.11168e-05,0.0053443419,-0.3031435639,0.9893062544,0.4917882163,0.7012761341297735
ndmi_mean,11,-1.17269e-05,0.0054931698,-0.2829488281,0.9935727651,0.4731599613,0.6878662379416509
ndmi_mean,13,-5.2487e-06,0.0027465016,-0.1910588984,0.9133222451,0.1533183229,0.39155883708582034
ndmi_mean,14,-6.1855e-06,0.0036643414,-0.3126234708,0.8749883253,0.4578606291,0.6766539951112386
ndmi_mean,15,-7.1732e-06,0.0038881933,-0.2218741022,0.9537811638,0.3604198452,0.6003497690513423
ndmi_mean,16,-7.6899e-06,0.0031328449,-0.2601713702,0.9001990944,0.1355998304,0.36823882250517803
ndmi_mean,2,-9.6954e-06,0.0046759405,-0.2654492638,0.9503399805,0.4422664265,0.6650311470149349
ndmi_mean,3,-5.068e-06,0.0024425324,-0.1234077947,0.8486973862,0.1136902755,0.3371798859659336
ndmi_mean,4,-3.9519e-06,0.0031956585,-0.2737912929,0.8567661662,0.3811683755,0.6173883506351573
ndmi_mean,5,-1.08769e-05,0.0052934372,-0.3514118448,0.9186541416,0.520160273,0.7212213758618085
ndmi_mean,6,-1.2892e-05,0.0056055528,-0.3190533654,0.9545458541,0.366224112,0.6051645329990845
ndmi_mean,7,-9.9588e-06,0.0053800306,-0.3828124912,0.9704342149,0.6572136736,0.8106871613637409
ndmi_mean,8,-1.35435e-05,0.0056924266,-0.3085696219,0.9248680869,0.3361867535,0.5798161376677955
ndmi_mean,9,-1.3737e-05,0.0057198309,-0.3091126189,0.9434236523,0.2676883936,0.5173861165512659
