parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,msi_mean,lluvia_acum,etc_acum,rendimiento
1,0.7185516115,0.3853732495,0.5986504848,0.3979839968,2.0577168738,0.893393112466667,0.4418524705,0.194994041833333,1.32677816296667,841.37,1346.75950093397,40
10,0.7940925934,0.641291275733333,0.659580619,0.561637318333333,2.3084224136,1.70972003953333,0.4799057273,0.370132330966667,0.736183948966667,455.78,1487.0008257624,65
11,0.8083343841,0.6443836641,0.6727001753,0.566477998833333,2.677409407,1.89038162183333,0.5066676148,0.3802186399,0.7061839732,455.78,1493.21687553583,65
13,0.7120264081,0.5717516527,0.5973031634,0.504073454033333,1.7170724855,1.25326719263333,0.4055693098,0.308923025866667,0.830733026233333,465.05,1579.6411032771,40
14,0.9104002427,0.398631508366667,0.7638322376,0.4190884661,3.4134644247,1.16710468486667,0.5945988071,0.215975586933333,1.22408902275,894.84,1531.27217622699,45
15,0.7681010677,0.620950845,0.6338648016,0.54216581335,2.0627089725,1.51580481851667,0.4548285853,0.34834587055,0.751700707983333,464.33,1694.8815671232,40
16,0.6095541342,0.3561472762,0.5277977318,0.3791429798,1.4371060409,0.6847577534,0.3583160053,0.1727774703,1.4329398256,418.76,968.930325567967,40
2,0.7340920888,0.5899440244,0.6093461149,0.5240337321,1.8146160419,1.3581563227,0.4240098859,0.3250410334,0.8143804371,453.04,1457.99427453075,45
3,0.7229065976,0.567940208833333,0.6175088068,0.516388280466667,2.0168574378,1.37600669718333,0.4326277671,0.31351309905,0.853134152,464.37,1510.15295836948,40
4,0.6981606528,0.558131626,0.5998050619,0.51282756,1.841794375,1.3160240002,0.4112605592,0.30744849,0.856869471,467.61,1583.28544414554,50
5,0.7983085053,0.631101802,0.6810898194,0.56861326295,2.7152117448,1.82870850255,0.505164185,0.3702328524,0.7417909646,401.49,1300.37559036898,65
6,0.8184831666,0.46330654385,0.6917056844,0.45330397065,2.802908477,1.25197164975,0.5262901177,0.2563972242,1.15812918915,840.51,1412.16842115082,65
7,0.7903678363,0.6354770224,0.659336067,0.56329223175,2.3993584938,1.72805828175,0.4819129541,0.36654936915,0.74044065285,464.79,1586.16090432519,65
8,0.8391308115,0.645368196166667,0.71713199,0.578420607883333,3.0196888815,1.985464341,0.5359702106,0.382595355266667,0.723639191416667,396.2,1263.7642396076,65
9,0.6987930485,0.547793111233333,0.5983076195,0.49584479945,2.1034458323,1.48701960236667,0.4314355624,0.315260302816667,0.916360938883333,257.67,1037.57795622772,65
