parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,msi_mean,rendimiento
1,0.751310959321117,0.441414950209594,0.641514063899273,0.438749359721817,2.19981382467421,0.873788615256067,0.458219056704594,0.219355213492401,1.17195494407841,60
10,0.792975790604419,0.581440751743053,0.677980877993046,0.540662608090686,2.90021977031419,1.56263940289124,0.506834761478084,0.330478093182788,0.829839302848412,75
11,0.801741008939484,0.594824639117298,0.689579032395677,0.542718051436831,3.12324463596999,1.68753055170962,0.518910644352002,0.345493453808908,0.793792957182154,75
13,0.66849493041216,0.483523315974606,0.582348911872056,0.44095321560296,1.43243390542904,0.899993900467801,0.358433241267176,0.242947682889963,0.970694906267973,55
14,0.811390077139082,0.471354519056819,0.703278837988274,0.455670070715311,2.94189579815776,1.13625665807173,0.513234803683221,0.253910230230587,1.00840991176169,65
15,0.784649740521895,0.540369501076019,0.676323520964124,0.489254857018037,2.56289239855117,1.28503695557664,0.491877143541198,0.302308801990343,0.876595704507601,55
16,0.653471141251014,0.458364232780752,0.596158465782987,0.440667279795709,1.38958994358168,0.808981750459149,0.352036926088979,0.22411744799188,1.11560166963829,50
2,0.796460039871669,0.515383763491586,0.678979421894622,0.473634861054744,2.71766755308098,1.2607466642526,0.492250238686705,0.286786791376677,0.944313604833428,65
3,0.713524499426732,0.514107275811773,0.61050676480978,0.472190505887379,2.03670588319809,1.08193221046472,0.427125792905963,0.271843061462369,0.912312350087823,50
4,0.783366068946176,0.533963422641978,0.677123894207989,0.482381632109307,2.78510446184751,1.32177700685229,0.487030220847367,0.300365223442198,0.955246600311029,65
5,0.779337333705219,0.541131417775853,0.679993041198148,0.501237509252208,2.69809050909894,1.3245491759289,0.481234005367466,0.295752376037258,0.954790048126723,75
6,0.794706853435986,0.536398690292024,0.693483224562296,0.497260746275786,2.621129452968,1.2914800134435,0.490585529247674,0.295045666807292,0.917898195426573,75
7,0.811294551840716,0.576749441229448,0.700784378336126,0.531808153355036,3.293242187057,1.61558100088216,0.530983407259223,0.331037911917569,0.856947217303134,75
8,0.81215192802535,0.545231381840744,0.707018309885947,0.502687735358972,2.9673158650437,1.32175891683094,0.507538350091096,0.297714439285867,0.89863556100486,75
9,0.788007542040299,0.546152992601218,0.694342030419695,0.50318996122997,2.61902269055216,1.31046321127507,0.485979358026859,0.300519468771919,0.892291779930881,75
