parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,msi_mean,lluvia_acum,etc_acum,rendimiento
1,0.6393881817,0.51883950795,0.5554458982,0.4942462078,1.4915340447,1.07837790275,0.359214496,0.26914129745,0.9868451316,886.59,1547.84381525539,70
10,0.7788958653,0.60387054645,0.6510877399,0.5577149021,2.4287459043,1.71199275565,0.4835769841,0.35197696165,0.81273304455,865.29,1437.08130740952,80
11,0.7746283089,0.6004874001,0.6444371539,0.5299912002,2.3374092942,1.6649143522,0.4738256397,0.3507093391,0.791750665,870.38,1523.60008100006,80
13,0.7496240885,0.567971950933333,0.6098832911,0.497762651283333,2.0671323013,1.38044125471667,0.4507040027,0.3158126973,0.871231037333333,882.55,1652.07689656953,65
14,0.7367244844,0.586389423233333,0.6229067357,0.541744583533333,2.2222354248,1.58667792901667,0.4485576204,0.334251040266667,0.830790914083333,883.66,1654.14915392057,80
15,0.7611704657,0.58399928335,0.6359933823,0.515704607883333,2.2496327103,1.4981472649,0.4631907514,0.329882415233333,0.78673621055,874.21,1823.32544309574,75
16,0.6905737508,0.5332018958,0.5859290142,0.4889704934,1.5695016232,1.0948076884,0.3871067494,0.2785640649,0.9291991669,855.78,1528.38857176393,65
2,0.7180140506,0.553123788533333,0.6023330379,0.4948030429,2.0045511337,1.37761298938333,0.4285045934,0.309206728816667,0.858042648383333,891.78,1949.07077640646,75
3,0.6550456666,0.562454897933333,0.5525093972,0.491808145333333,1.5712924767,1.26484145863333,0.3738361457,0.310963929866667,0.885991140933333,909.9,1751.2724130834,60
4,0.7287521178,0.53510708415,0.6142461189,0.4779718989,2.1251516942,1.44667506845,0.436661849,0.30679624505,0.93890824515,1470.42,2326.79988411567,70
5,0.7420037237,0.5897144842,0.6286882971,0.53647624315,2.2397447323,1.5499279837,0.4517456006,0.33365344735,0.8410201585,833.55,1246.91437117898,80
6,0.7350553907,0.6043608627,0.6247160315,0.5345926727,1.9515563916,1.4530087606,0.4268777501,0.3366388896,0.8049999049,879.25,1354.86315382728,80
7,0.7887253832,0.5445686587,0.6767574776,0.5178565276,2.4323534117,1.4969182942,0.4712202434,0.3094343946,0.9477589857,865.94,1319.78008494553,80
8,0.6865940364,0.5482602804,0.5782480852,0.50702816135,1.688712497,1.1872481675,0.3928709852,0.2893081526,0.8864540224,891.9,1442.6981546336,80
9,0.7482215073,0.5839626207,0.6296790798,0.5274512692,2.1233070154,1.4342724828,0.4456726152,0.3224883692,0.8091424439,890.03,1443.49631598757,80
1,0.648370093,0.488699802,0.5688259895,0.4692344735,1.5047217559,1.0111742287,0.3641819782,0.2524662344,1.0786853842,712.78,1303.35784575207,60
10,0.7965685909,0.629578321533333,0.6600610961,0.5682260822,2.5858456834,1.78172892095,0.4991195364,0.36583675325,0.739835725166667,658.18,1416.69398940101,75
11,0.8109556015,0.6410295244,0.6749039001,0.571797406683333,2.7319613357,1.88613820345,0.5113111201,0.376820118783333,0.710449983266667,658.18,1440.54271596961,75
13,0.6673009887,0.5330805696,0.5558404663,0.47366437205,1.3487218845,1.02690625375,0.3558612818,0.2734028801,0.89737732925,650.7,1062.85012345549,55
14,0.702577271,0.53973553405,0.6028711328,0.49945605375,1.9100636777,1.33957426315,0.4154640141,0.3005286843,0.89796400365,657.65,1310.37229718271,65
15,0.7569035675,0.596896533866667,0.6229690473,0.524896034383333,2.0715378081,1.50738007793333,0.4542182452,0.342416532066667,0.781567304766667,599.52,1143.93737775749,55
16,0.6113561883,0.497741127866667,0.5461310732,0.467460405533333,1.1949556293,0.9159517664,0.3225853254,0.2508440854,1.05152856096667,610.53,1004.05270881967,50
2,0.7814160199,0.614988901416667,0.6464411501,0.5393527472,2.2300227027,1.61553031696667,0.4731859887,0.355094550283333,0.789692480966667,606.51,1174.83998308477,65
3,0.6760044499,0.563202465966667,0.5737940207,0.505541435366667,1.6482823351,1.2442699943,0.3879977081,0.3046661365,0.8473571705,654.37,1293.89852976897,50
4,0.7428678641,0.5756661116,0.6309486826,0.5122323565,2.2829568271,1.52477644485,0.4569679957,0.3322555961,0.87313835125,648.12,1184.09670007223,65
5,0.7790919171,0.598963316,0.6658653721,0.5385354718,2.2929807504,1.5559051939,0.472664607,0.339129566,0.8237343928,712.72,1419.68019795752,75
6,0.7702665737,0.6019090905,0.6558254893,0.544256733166667,2.2651133684,1.57735116696667,0.4653690237,0.342655402866667,0.816011279166667,657.7,1226.33272649384,75
7,0.7961441643,0.613678494433333,0.6673902325,0.555524835166667,2.6522001386,1.79256931386667,0.4999610426,0.3588689926,0.7854714486,665.44,1432.11933865557,75
8,0.7497140971,0.58688256435,0.6442860628,0.5317693952,2.2020109543,1.5071299676,0.4464650022,0.3286497826,0.82218212,657.21,1179.0527954228,75
9,0.7653320659,0.59118879985,0.6581450295,0.53673637525,2.2551884611,1.49886251435,0.4601426509,0.33237605545,0.8088699112,657.21,1181.50411417322,75
1,0.7185516115,0.3853732495,0.5986504848,0.3979839968,2.0577168738,0.893393112466667,0.4418524705,0.194994041833333,1.32677816296667,841.37,1346.75950093397,40
10,0.7940925934,0.641291275733333,0.659580619,0.561637318333333,2.3084224136,1.70972003953333,0.4799057273,0.370132330966667,0.736183948966667,455.78,1487.0008257624,65
11,0.8083343841,0.6443836641,0.6727001753,0.566477998833333,2.677409407,1.89038162183333,0.5066676148,0.3802186399,0.7061839732,455.78,1493.21687553583,65
13,0.7120264081,0.5717516527,0.5973031634,0.504073454033333,1.7170724855,1.25326719263333,0.4055693098,0.308923025866667,0.830733026233333,465.05,1579.6411032771,40
14,0.9104002427,0.398631508366667,0.7638322376,0.4190884661,3.4134644247,1.16710468486667,0.5945988071,0.215975586933333,1.22408902275,894.84,1531.27217622699,45
15,0.7681010677,0.620950845,0.6338648016,0.54216581335,2.0627089725,1.51580481851667,0.4548285853,0.34834587055,0.751700707983333,464.33,1694.8815671232,40
16,0.6095541342,0.3561472762,0.5277977318,0.3791429798,1.4371060409,0.6847577534,0.3583160053,0.1727774703,1.4329398256,418.76,968.930325567967,40
2,0.7340920888,0.5899440244,0.6093461149,0.5240337321,1.8146160419,1.3581563227,0.4240098859,0.3250410334,0.8143804371,453.04,1457.99427453075,45
3,0.7229065976,0.567940208833333,0.6175088068,0.516388280466667,2.0168574378,1.37600669718333,0.4326277671,0.31351309905,0.853134152,464.37,1510.15295836948,40
4,0.6981606528,0.558131626,0.5998050619,0.51282756,1.841794375,1.3160240002,0.4112605592,0.30744849,0.856869471,467.61,1583.28544414554,50
5,0.7983085053,0.631101802,0.6810898194,0.56861326295,2.7152117448,1.82870850255,0.505164185,0.3702328524,0.7417909646,401.49,1300.37559036898,65
6,0.8184831666,0.46330654385,0.6917056844,0.45330397065,2.802908477,1.25197164975,0.5262901177,0.2563972242,1.15812918915,840.51,1412.16842115082,65
7,0.7903678363,0.6354770224,0.659336067,0.56329223175,2.3993584938,1.72805828175,0.4819129541,0.36654936915,0.74044065285,464.79,1586.16090432519,65
8,0.8391308115,0.645368196166667,0.71713199,0.578420607883333,3.0196888815,1.985464341,0.5359702106,0.382595355266667,0.723639191416667,396.2,1263.7642396076,65
9,0.6987930485,0.547793111233333,0.5983076195,0.49584479945,2.1034458323,1.48701960236667,0.4314355624,0.315260302816667,0.916360938883333,257.67,1037.57795622772,65
