parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,msi_mean,rendimiento
10,0.787244155581115,0.725732112785586,0.680776520355313,0.553228990565275,2.63963866306602,1.69318787373252,0.489180830905107,0.36142176234548,0.76633408210914,65
11,0.801863587481576,0.709866696745277,0.692490102023754,0.55887655714744,3.11890662238984,1.87161343165624,0.516821860261635,0.374580529276025,0.734391684062046,40
13,0.722282728379346,0.646857923462399,0.622915767504597,0.492273336436264,2.01988683670945,1.20238835489419,0.42672360617355,0.29768423173903,0.855234630071915,40
15,0.771430223981967,0.678900183130691,0.660662190046359,0.527053308216248,2.30513718175188,1.44385065574818,0.458972623102582,0.333616902336083,0.776596837989976,45
2,0.74495766590935,0.642537613388576,0.635269172020955,0.508956784477241,2.18131713244051,1.29371313000446,0.447810059093962,0.310025209032875,0.846408527426692,50
3,0.761786824668946,0.638139687089199,0.659093598088465,0.498485329879583,2.67960618239105,1.28381894596702,0.485679817049917,0.293947696148953,0.898571205242869,65
4,0.747664802699206,0.639469241562031,0.652928540214334,0.497926907520803,2.3825107366127,1.24210535249914,0.462233876452017,0.292958413499177,0.903740419252133,65
5,0.821659938180422,0.693006007726878,0.719512212126287,0.529527752991808,3.44228009130369,1.56240223488438,0.542076783976398,0.325580969808353,0.844590317630957,65
7,0.79557420160825,0.696931300820959,0.691095092181727,0.552941196106565,2.87339391228452,1.69075339504041,0.505503856732369,0.357166620903284,0.781256752633205,65
8,0.828513435878699,0.667490868442569,0.725044910630077,0.525662622175285,3.59002957338592,1.6844849417716,0.549828891532011,0.334999719739247,0.820614881493174,65
9,0.746166528685083,0.623813342994716,0.662518083740672,0.475042641704906,2.51458102014512,1.2803422336416,0.467512987110492,0.27807841667944,0.98491847583413,65
