parcela,ndvi_max,ndvi_max_date,ndvi_mean,gndvi_max,gndvi_max_date,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,msi_mean,rendimiento
1,0.72202550874654,2021-07-20,0.6598266494995745,0.6111954240314901,2021-07-20,0.49557991023396397,2.1376071752299186,1.0892785801332103,0.4378860576560152,0.27179302803295596,0.9734749918253846,49
10,0.7890021838023153,2021-11-07,0.6731088887037397,0.6748738310203506,2021-10-18,0.5512872606290169,2.7121668199981994,1.6526845588207633,0.4959652224317137,0.3422628373661631,0.8365522833063405,80
11,0.7840497060866017,2021-10-18,0.6681292801466507,0.669850753726836,2021-10-18,0.5161149643558849,2.934796988292113,1.6007932588340594,0.501269355315775,0.33425484230115227,0.8312925054728293,73
13,0.7681974957740022,2021-10-18,0.638861335840935,0.6438512820310042,2021-10-18,0.4931814178158227,2.4538253078130894,1.3580693680810176,0.4693584068860602,0.3126454499941192,0.8708454284400909,33
14,0.7700155267578692,2021-07-20,0.7230996395473126,0.6635638771057752,2021-07-20,0.5410995275487404,3.027057165457721,1.5756750432015139,0.5020936637877298,0.3330619102025629,0.822498598228368,56
15,0.8084800598883817,2021-10-03,0.6766926809064228,0.6897694989896985,2021-10-03,0.5212961279021116,2.8705817933165707,1.5063512234476428,0.5187056589739223,0.3332921535976067,0.784162017767104,62
16,0.7119761681256356,2021-06-10,0.6114817523136044,0.5954192140203443,2021-06-10,0.4817662903861212,2.020006088033809,1.0583779431481821,0.4321542471447132,0.26872559413840547,0.9469376701611074,32
2,0.8124829499556504,2021-10-18,0.6584985973019155,0.6931149957271119,2021-10-18,0.48831372260500394,3.091810245603217,1.3539825493955016,0.5243931434212834,0.30408054580712174,0.8719166629808976,64
3,0.7096765158315306,2021-06-05,0.6547876253679271,0.5954020619051836,2021-06-05,0.48471274010022797,2.0162170535845334,1.2299348580897627,0.4331593722768556,0.304235786982776,0.916677976920116,48
5,0.7865325052397512,2021-10-18,0.704063221614392,0.6779719078097827,2021-10-18,0.535718624189144,2.761416712542136,1.5036210947149458,0.4978702610485043,0.3286891195415591,0.8450758745709711,78
6,0.7609235156994041,2021-10-18,0.6958531802407414,0.6547720264895085,2021-10-18,0.5291267408644227,2.314469315775868,1.41094600496894,0.4593081108280497,0.33011510569537617,0.8185882652601634,81
7,0.8191929435045806,2021-10-18,0.6243485270332992,0.7015619549697797,2021-10-18,0.5284221065159379,3.215447274292859,1.5414431957042964,0.5345996270643786,0.31512163850469804,0.9158785296086731,68
8,0.7350579886369791,2021-10-18,0.6276672251781238,0.6378149404872668,2021-10-18,0.49642697500090754,2.1421618614557314,1.109766948720667,0.4390308044980726,0.272768401427048,0.9198463328942659,73
9,0.7854315283092309,2021-10-18,0.6720705143577267,0.673491977818532,2021-11-07,0.5127131531851732,2.743240008335359,1.3454693208695876,0.4953747456973915,0.3047981723522907,0.8508673600483367,71
1,0.7513109593211171,2022-09-08,0.4414149502095935,0.6415140638992733,2022-09-08,0.438749359721817,2.1998138246742123,0.8737886152560672,0.4582190567045942,0.2193552134924008,1.1719549440784127,48
10,0.7929757906044193,2022-08-09,0.5814407517430525,0.6779808779930456,2022-10-13,0.540662608090686,2.900219770314193,1.5626394028912438,0.5068347614780842,0.3304780931827878,0.8298393028484118,75
11,0.8017410089394836,2022-08-09,0.5948246391172978,0.6895790323956769,2022-10-13,0.5427180514368306,3.123244635969993,1.6875305517096186,0.5189106443520016,0.3454934538089083,0.7937929571821536,75
13,0.6684949304121598,2022-11-27,0.48352331597460624,0.5823489118720562,2022-11-27,0.4409532156029603,1.4324339054290376,0.8999939004678005,0.3584332412671763,0.24294768288996324,0.9706949062679732,30
14,0.8113900771390815,2022-11-27,0.47135451905681913,0.7032788379882742,2022-11-27,0.4556700707153109,2.9418957981577565,1.1362566580717284,0.5132348036832213,0.2539102302305869,1.00840991176169,50
15,0.7846497405218946,2022-11-27,0.5403695010760186,0.676323520964124,2022-11-27,0.4892548570180372,2.562892398551171,1.2850369555766386,0.4918771435411984,0.30230880199034255,0.8765957045076007,60
16,0.6534711412510136,2022-11-27,0.45836423278075195,0.5961584657829866,2022-11-27,0.44066727979570863,1.389589943581682,0.8089817504591491,0.3520369260889792,0.22411744799188035,1.1156016696382893,25
2,0.7964600398716694,2022-11-27,0.5153837634915857,0.678979421894622,2022-11-27,0.473634861054744,2.7176675530809824,1.260746664252596,0.4922502386867048,0.28678679137667706,0.9443136048334275,60
3,0.7135244994267321,2022-11-27,0.5141072758117734,0.6105067648097802,2022-11-27,0.472190505887379,2.036705883198091,1.0819322104647175,0.4271257929059627,0.27184306146236875,0.9123123500878225,45
4,0.7833660689461757,2022-11-27,0.5339634226419776,0.6771238942079885,2022-11-27,0.48238163210930735,2.785104461847506,1.3217770068522916,0.4870302208473673,0.30036522344219824,0.9552466003110289,50
5,0.7793373337052185,2022-11-27,0.5500936895826547,0.6799930411981482,2022-11-27,0.5039820607140284,2.6980905090989395,1.358687376314955,0.4812340053674659,0.30334591514408105,0.9449768688359708,75
6,0.794706853435986,2022-11-27,0.536398690292024,0.6934832245622956,2022-11-27,0.4972607462757855,2.621129452968004,1.2914800134434992,0.4905855292476741,0.29504566680729166,0.9178981954265729,75
7,0.811294551840716,2022-10-13,0.5767494412294484,0.7007843783361264,2022-10-13,0.5318081533550362,3.293242187057001,1.6155810008821563,0.5309834072592234,0.3310379119175693,0.8569472173031344,75
