Fecha,srf,dia,reconstruida_srf,ajustados_srf
2020-01-01,10417218.0,1,17846537.25901315,14481625.056878353
2020-01-02,12428916.0,2,16521947.447942562,14482343.168059163
2020-01-03,16870484.0,3,15367945.866021793,14484690.004056875
2020-01-04,15295437.0,4,14695700.75419862,14488664.853962563
2020-01-05,17449072.0,5,14651060.65893964,14494266.513705608
2020-01-06,17576704.0,6,15171192.928576574,14501493.286418436
2020-01-07,13546053.0,7,16011689.516021568,14510342.982950538
2020-01-08,16333000.0,8,16831173.421346553,14520812.922531608
2020-01-09,16586749.0,9,17302166.63889709,14532899.933583615
2020-01-10,16861648.0,10,17210297.848371495,14546600.354681544
2020-01-11,16341797.0,11,16510448.452896759,14561910.035662513
2020-01-12,16155680.0,12,15325152.455934105,14578824.338882964
2020-01-13,15515086.0,13,13891108.824410627,14597338.140623502
2020-01-14,10881237.0,14,12476678.499794837,14617445.832640981
2020-01-15,9471688.0,15,11301007.477152467,14639141.32386737
2020-01-16,10581383.0,16,10481810.560237799,14662418.042254873
2020-01-17,13014574.0,17,10025910.670859367,14687268.936766746
2020-01-18,13713254.0,18,9859651.331204461,14713686.479513215
2020-01-19,6348529.0,19,9881774.370475335,14741662.668031845
2020-01-20,4549997.5,20,10014545.835468868,14771189.027711654
2020-01-21,9530999.0,21,10231968.553445755,14802256.614360277
2020-01-22,17666060.0,22,10555179.760364814,14834856.016913343
2020-01-23,11243266.0,23,11019863.169877693,14868977.360285316
2020-01-24,10904503.0,24,11632761.552597858,14904610.308360856
2020-01-25,8658121.0,25,12339283.559761684,14941744.06712588
2020-01-26,10373374.0,26,13019804.062258307,14980367.3879373
2020-01-27,17174186.0,27,13520264.658430077,15020468.570930481
2020-01-28,17765820.0,28,13707802.437726822,15062035.468563404
2020-01-29,13050766.0,29,13530301.77408969,15105055.489296418
2020-01-30,10927018.0,30,13054861.892451473,15149515.601406503
2020-01-31,11770707.0,31,12466146.850355284,15195402.336934863
2020-02-01,10111457.0,32,12019620.858057711,15242701.795766678
2020-02-02,10865693.0,33,11961779.827618483,15291399.649841756
2020-02-03,14026845.0,34,12443286.880410662,15341481.147494819
2020-02-04,16197335.0,35,13455979.76295436,15392931.117924115
2020-02-05,14450012.0,36,14818631.261147104,15445733.97578699
2020-02-06,18085256.0,37,16220717.296174504,15499873.725921035
2020-02-07,16182947.0,38,17313464.131575525,15555333.968189381
2020-02-08,12786712.0,39,17820103.17731659,15612097.902448662
2020-02-09,19609644.0,40,17628900.331795644,15670148.33363815
2020-02-10,17902218.0,41,16836527.2212443,15729467.676988533
2020-02-11,17847894.0,42,15724818.296476537,15790037.963348718
2020-02-12,17139964.0,43,14675941.10015928,15851840.844629105
2020-02-13,7874910.5,44,14052082.172905395,15914857.599359617
2020-02-14,10628259.0,45,14078599.282992844,15979069.138360858
2020-02-15,17304498.0,46,14769553.237832783,16044456.010526652
2020-02-16,19526626.0,47,15921293.76446999,16110998.40871621
2020-02-17,19139344.0,48,17177557.917643517,16178676.175754162
2020-02-18,20311438.0,49,18145729.86194218,16247468.810536608
2020-02-19,18120098.0,50,18526554.73602356,16317355.474241365
2020-02-20,15041761.0,51,18214650.81772906,16388314.996640505
2020-02-21,6862198.5,52,17336422.527982637,16460325.882513296
2020-02-22,18534214.0,53,16212437.50107263,16533366.318157576
2020-02-23,20786178.0,54,15256183.295586454,16607414.177997615
2020-02-24,20458794.0,55,14842051.956658663,16682447.031286437
2020-02-25,17396972.0,56,15185424.025545651,16758442.148900608
2020-02-26,8608467.0,57,16273538.686575713,16835376.510225378
2020-02-27,19535154.0,58,17868937.093887486,16913226.810128145
2020-02-28,21963460.0,59,19583399.92345392,16991969.466018103
2020-02-29,15944751.0,60,20997487.63149934,17071580.624989927
2020-03-01,21175050.0,61,21786586.169740155,17152036.17104936
2020-03-02,21828482.0,62,21813302.80857377,17233311.73241847
2020-03-03,22419938.0,63,21158190.36378407,17315382.688918415
2020-03-04,22507294.0,64,20081723.340275086,17398224.179427445
2020-03-05,17256952.0,65,18932981.54152523,17481811.10941188
2020-03-06,21723148.0,66,18037064.218239523,17566118.15852782
2020-03-07,19914948.0,67,17598555.176201664,17651119.788291223
2020-03-08,12367565.0,68,17651065.694590397,17736790.249814093
2020-03-09,17495932.0,69,18065986.77073876,17823103.59160439
2020-03-10,15134697.0,70,18613216.675665643,17910033.6674273
2020-03-11,19254272.0,71,19049851.406494766,17997554.144225556
2020-03-12,22217706.0,72,19205150.930999625,18085638.51009625
2020-03-13,22916006.0,73,19033650.392606243,18174260.082321916
2020-03-14,18286248.0,74,18621209.51499017,18263392.01545331
2020-03-15,15418234.0,75,18146052.185274865,18353007.309441503
2020-03-16,15706105.0,76,17812147.433596056,18443078.817816783
2020-03-17,19844320.0,77,17780353.90498699,18533579.255911935
2020-03-18,17975542.0,78,18121185.28929827,18624481.209127374
2020-03-19,23182882.0,79,18803049.75228815,18715757.14123563
2020-03-20,16592709.0,80,19715581.4032191,18807379.4027227
2020-03-21,17577292.0,81,20714770.43194497,18899320.239163697
2020-03-22,19566628.0,82,21669800.20744674,18991551.79963027
2020-03-23,24556538.0,83,22493074.09565527,19084046.145127285
2020-03-24,24711336.0,84,23143816.855731405,19176775.25705617
2020-03-25,25287198.0,85,23607999.673294447,19269711.045702368
2020-03-26,25361796.0,86,23868022.825152416,19362825.35874433
2020-03-27,25097768.0,87,23880191.495409217,19456089.989781503
2020-03-28,24239072.0,88,23574590.916392997,19549476.68687865
2020-03-29,16823270.0,89,22881792.079918016,19642957.161124017
2020-03-30,18397018.0,90,21777952.570267614,19736503.09519865
2020-03-31,19231436.0,91,20329603.132379632,19830086.151954357
2020-04-01,21563898.0,92,18716203.477591265,19923677.98299766
2020-04-02,23694488.0,93,17214294.49292882,20017250.23727716
2020-04-03,16066966.0,94,16140221.670430355,20110774.569671687
2020-04-04,17741384.0,95,15764415.588841947,20204222.64957668
2020-04-05,11673034.0,96,16223139.418965554,20297566.169486158
2020-04-06,16044779.0,97,17458264.445093498,20390776.85356769
2020-04-07,17304910.0,98,19209565.6453472,20483826.466227785
2020-04-08,22788176.0,99,21068577.055747427,20576686.820665065
2020-04-09,24381602.0,100,22583033.466540437,20669329.787408695
2020-04-10,19554564.0,101,23383087.50163109,20761727.30283941
2020-04-11,22071444.0,102,23291162.779892296,20853851.377690617
2020-04-12,25536160.0,103,22380161.35050692,20945674.105526984
2020-04-13,26785540.0,104,20959419.64609082,21037167.67119788
2020-04-14,26050228.0,105,19489880.77788337,21128304.35926325
2020-04-15,7828624.0,106,18452348.266732935,21219056.56238921
2020-04-16,8786249.0,107,18208029.824973937,21309396.789710935
2020-04-17,24903798.0,108,18893685.45257987,21399297.67516026
2020-04-18,19882124.0,109,20383354.814835615,21488731.985755444
2020-04-19,26335384.0,110,22328074.69173658,21577672.629850686
2020-04-20,25095476.0,111,24260809.14635103,21666092.665342763
2020-04-21,26139322.0,112,25733794.761422947,21753965.3078324
2020-04-22,25741670.0,113,26446045.67608117,21841263.93873787
2020-04-23,25255706.0,114,26322760.14520184,21927962.113358326
2020-04-24,26409004.0,115,25524296.529651593,22014033.568884537
2020-04-25,24878896.0,116,24384872.422178727,22099452.232354436
2020-04-26,16701558.0,117,23302818.132876918,22184192.228551224
2020-04-27,24390484.0,118,22618192.086022254,22268227.887841538
2020-04-28,26931650.0,119,22515676.447448116,22351533.75395137
2020-04-29,24740890.0,120,22980760.336824227,22434084.591677323
2020-04-30,18999380.0,121,23819038.910750363,22515855.39453093
2020-05-01,26428354.0,122,24728272.975859024,22596821.392313667
2020-05-02,26768624.0,123,25397256.001824744,22676958.058620397
2020-05-03,25802514.0,124,25599243.249356154,22756241.11826898
2020-05-04,26077206.0,125,25252094.794500645,22834646.55465375
2020-05-05,21692046.0,126,24430150.496398833,22912150.61702069
2020-05-06,19322972.0,127,23329332.47519678,22988729.82766205
2020-05-07,24053402.0,128,22201369.87619436,23064360.98902829
2020-05-08,24561384.0,129,21280821.407860074,23139021.190755125
2020-05-09,20162994.0,130,20727803.280266676,23212687.81660358
2020-05-10,23223554.0,131,20601155.801499616,23285338.55131095
2020-05-11,20580778.0,132,20864775.847954433,23356951.3873506
2020-05-12,20602170.0,133,21418563.865357164,23427504.63159854
2020-05-13,19114466.0,134,22138733.527830333,23496976.91190474
2020-05-14,21699120.0,135,22911935.694240544,23565347.183567245
2020-05-15,24147792.0,136,23653069.785321485,23632594.735707063
2020-05-16,25606040.0,137,24305063.34032616,23698699.197541982
2020-05-17,25333706.0,138,24826706.10304697,23763640.544557314
2020-05-18,26414926.0,139,25178810.799934685,23827399.104571763
2020-05-19,27427384.0,140,25318206.94804479,23889955.563696582
2020-05-20,25636530.0,141,25204109.90226832,23951290.972186178
2020-05-21,20455164.0,142,24814652.049645253,24011386.7501784
2020-05-22,22311546.0,143,24165822.490241177,24070224.6933228
2020-05-23,22950034.0,144,23323099.684633344,24127786.978295144
2020-05-24,24145784.0,145,22398467.13429603,24184056.168196484
