Fecha,srf,dia,reconstruida_srf,ajustados_srf
2020-01-01,10314964.0,1,17811760.42422672,14352279.480219997
2020-01-02,12312105.0,2,16439785.961806394,14353046.982112477
2020-01-03,16722125.0,3,15248280.571790094,14355478.698939953
2020-01-04,15158476.0,4,14550566.77883979,14359573.894518305
2020-01-05,17295990.0,5,14492473.137262886,14365331.329057626
2020-01-06,17423828.0,6,15009307.22274078,14372749.259537578
2020-01-07,13421807.0,7,15853638.17691478,14381825.440235062
2020-01-08,16189717.0,8,16680730.823914884,14392557.123404099
2020-01-09,16441630.0,9,17160184.213760458,14404941.060107693
2020-01-10,16715134.0,10,17075679.757986464,14418973.501201417
2020-01-11,16200176.0,11,16381338.270069506,14434650.19846845
2020-01-12,16015406.0,12,15199993.363045633,14451966.405905675
2020-01-13,15380578.0,13,13769316.566320483,14470916.881160507
2020-01-14,10780855.0,14,12358800.909368277,14491495.887117978
2020-01-15,9381506.0,15,11188397.900089208,14513697.193637602
2020-01-16,10484302.0,16,10375974.50010105,14537514.0794395
2020-01-17,12901016.0,17,9927763.58179854,14562939.334139226
2020-01-18,13595772.0,18,9768934.52034597,14589965.260430649
2020-01-19,6284341.0,19,9796817.715114523,14618583.67641626
2020-01-20,4499955.0,20,9932459.383973647,14648785.918084176
2020-01-21,9446044.0,21,10149219.993116768,14680562.841931112
2020-01-22,17523366.0,22,10468404.345608588,14713904.827730503
2020-01-23,11148182.0,23,10926685.283213696,14748801.781444952
2020-01-24,10813001.0,24,11532399.438004686,14785243.138282133
2020-01-25,8584006.0,25,12232762.549824603,14823217.865893204
2020-01-26,10288515.0,26,12909705.056119805,14862714.467712753
2020-01-27,17041246.0,27,13410057.868327968,14903720.986439316
2020-01-28,17629730.0,28,13600929.74651267,14946225.007655352
2020-01-29,12949925.0,29,13429244.40908563,14990213.663585614
2020-01-30,10843214.0,30,12960442.781829126,15035673.636992773
2020-01-31,11681929.0,31,12377263.204028573,15082591.165209118
2020-02-01,10035817.0,32,11933493.671967462,15130952.044303093
2020-02-02,10786263.0,33,11874669.902729958,15180741.633379433
2020-02-03,13926802.0,34,12351497.493080948,15231944.85901159
2020-02-04,16082717.0,35,13356880.302377397,15284546.2198051
2020-02-05,14349706.0,36,14711420.09524059,15338529.791090503
2020-02-06,17959776.0,37,16106704.081971815,15393879.229744436
2020-02-07,16074032.0,38,17195778.424835626,15450577.77913738
2020-02-08,12703504.0,39,17702894.84589914,15508608.274206605
2020-02-09,19478732.0,40,17516243.98859312,15567953.146652771
2020-02-10,17785330.0,41,16731334.529769111,15628594.43025859
2020-02-11,17733660.0,42,15628069.083760452,15690513.766327979
2020-02-12,17032522.0,43,14586460.64016642,15753692.409243995
2020-02-13,7837314.0,44,13966938.41645077,15818111.232143957
2020-02-14,10571869.0,45,13994012.974817285,15883750.73270994
2020-02-15,17201464.0,46,14682058.92731797,15950591.039072972
2020-02-16,19410314.0,47,15828808.479749579,16018611.91582908
2020-02-17,19027500.0,48,17080034.145126477,16087792.770165415
2020-02-18,20193376.0,49,18045187.96814378,16158112.65809458
2020-02-19,18019562.0,50,18426474.07992008,16229550.290795244
2020-02-20,14966300.0,51,18118893.988388203,16302084.041057201
2020-02-21,6847597.0,52,17248013.55874385,16375691.949828824
2020-02-22,18437948.0,53,16132566.032018056,16450351.732865013
2020-02-23,20675284.0,54,15183744.397394229,16526040.78747359
2020-02-24,20353070.0,55,14773872.640111448,16602736.199358083
2020-02-25,17315074.0,56,15117119.911641276,16680414.749554867
2020-02-26,8592964.0,57,16200751.724825224,16759052.92146253
2020-02-27,19442250.0,58,17788587.698496174,16838626.907961346
2020-02-28,21855782.0,59,19494581.621720154,16919112.61862071
2020-02-29,15883427.0,60,20901741.345542517,17000485.686992317
2020-03-01,21077546.0,61,21687480.520672213,17082721.477986958
2020-03-02,21729050.0,62,21715456.85090506,17165795.095332567
2020-03-03,22319026.0,63,21066040.049255744,17249681.38911142
2020-03-04,22407954.0,64,19998401.723267604,17334354.96337405
2020-03-05,17198406.0,65,18859635.44960945,17419790.183827713
2020-03-06,21633952.0,66,17972784.36878092,17505961.185596954
2020-03-07,19841636.0,67,17540901.27920035,17592841.88105402
2020-03-08,12352206.0,68,17596986.522411257,17680405.967716698
2020-03-09,17445130.0,69,18012824.82032541,17768626.93621117
