Fecha,rh12,rh12_arima
2020-01-01,66.83522,0.0
2020-01-02,67.10795,66.83375952754251
2020-01-03,41.48878,67.04060867996104
2020-01-04,33.920467,47.81455540462799
2020-01-05,38.91755,35.78920233490514
2020-01-06,42.927982,37.68369173151278
2020-01-07,33.454,41.93774335809501
2020-01-08,42.158688,35.793274938239165
2020-01-09,48.561974,40.00936383159952
2020-01-10,51.043488,46.980902127351555
2020-01-11,20.401815,50.430763222911594
2020-01-12,35.27708,27.967725270319207
2020-01-13,45.046143,31.604143465587537
2020-01-14,55.63531,42.634007928814576
2020-01-15,63.66509,53.02067837203944
2020-01-16,65.624504,61.68241121577031
2020-01-17,64.33706,65.14069391213674
2020-01-18,57.15089,64.65495014203177
2020-01-19,57.739162,58.925268226908806
2020-01-20,46.770164,57.59390840478863
2020-01-21,57.41192,49.4785818668479
2020-01-22,52.153915,54.78430332206498
2020-01-23,62.378757,53.45219900788983
2020-01-24,51.967056,59.854082936015594
2020-01-25,70.444756,54.53786848557782
2020-01-26,83.40924,65.88232169029774
2020-01-27,47.205868,80.20810530200264
2020-01-28,57.137657,56.14504909611661
2020-01-29,29.3097,54.6853423239135
2020-01-30,50.841576,36.18085960242449
2020-01-31,54.567726,45.52501767214239
2020-02-01,52.59675,53.647681048350336
2020-02-02,56.07748,53.0834149272366
2020-02-03,57.598793,55.2180331005044
2020-02-04,51.499344,57.223156929114765
2020-02-05,38.423077,53.00539374579515
2020-02-06,38.173706,41.6518126761733
2020-02-07,55.739983,38.23527961610183
2020-02-08,54.41266,51.40259334227564
2020-02-09,50.28534,54.740396893404316
2020-02-10,55.78217,51.30444012475148
2020-02-11,60.257298,54.42491634902609
2020-02-12,56.156418,59.15231861796061
2020-02-13,40.406673,57.16898967352927
2020-02-14,51.236446,44.295532379525675
2020-02-15,43.55067,48.56240497208597
2020-02-16,50.64654,45.44840879428101
2020-02-17,49.815018,48.894458261191225
2020-02-18,52.160244,50.020333840287066
2020-02-19,49.005993,51.58117087042187
2020-02-20,52.11377,49.784827107265116
2020-02-21,51.326077,51.34641105317743
2020-02-22,43.46004,51.52057077188245
2020-02-23,47.97519,45.402288066057324
2020-02-24,53.028805,46.86032855764234
2020-02-25,37.998077,51.780988092916004
2020-02-26,22.944721,41.709399790553064
2020-02-27,19.399843,26.661630999110404
2020-02-28,34.047367,20.275129048096286
2020-02-29,44.45656,30.43066329500494
2020-03-01,48.40198,41.886366779008625
2020-03-02,45.28659,47.42779384186423
2020-03-03,45.361813,46.05582871607956
2020-03-04,21.780083,45.343239259973984
2020-03-05,33.210835,27.60278247201951
2020-03-06,28.01828,30.38840281901981
2020-03-07,41.442497,29.300403375042134
2020-03-08,47.653244,38.12784700450877
2020-03-09,42.202553,46.11971303014551
2020-03-10,49.64917,43.548414207292325
2020-03-11,47.094883,47.81048331864831
2020-03-12,50.395496,47.72557657363885
2020-03-13,45.57107,49.58052281641929
2020-03-14,55.88385,46.76229654372674
2020-03-15,59.052986,53.33746266280916
2020-03-16,52.510612,58.27047655247609
2020-03-17,45.854298,54.126026884130816
2020-03-18,47.901653,47.49784645948097
2020-03-19,46.828514,47.39612889818319
2020-03-20,54.4329,47.093488872017595
2020-03-21,57.102573,52.55525767489355
2020-03-22,45.69561,56.44338881090256
2020-03-23,39.100647,48.51216830329014
2020-03-24,41.195637,40.72904693410527
2020-03-25,42.410316,40.67835106860794
2020-03-26,41.933342,42.11039267919304
2020-03-27,43.2795,42.05111437115204
2020-03-28,42.99916,42.94711244930483
2020-03-29,51.76053,43.0683803485489
2020-03-30,52.6509,49.597210155647296
2020-03-31,44.62228,52.43105366434515
2020-04-01,44.417023,46.604672362012685
2020-04-02,35.72722,44.46770417672148
2020-04-03,53.424103,37.872868828141684
2020-04-04,47.52158,49.05446466979729
2020-04-05,52.666794,48.97900562380636
2020-04-06,55.801018,51.39635986131605
2020-04-07,50.936714,55.02712887354529
2020-04-08,45.43242,52.13778704818359
2020-04-09,45.963425,46.791516629790955
2020-04-10,45.665558,45.83231152642789
2020-04-11,42.825977,45.7391060400985
2020-04-12,16.579819,43.52711414258694
2020-04-13,24.86306,23.060407588247795
2020-04-14,33.601936,22.817797714437813
2020-04-15,63.885258,31.444170277500252
2020-04-16,63.64509,56.407830219239344
2020-04-17,47.026733,63.70439125087498
2020-04-18,53.36414,51.130066323285945
2020-04-19,38.481262,51.79933468703641
2020-04-20,32.66157,42.156078303669446
2020-04-21,45.38854,34.098543349101874
2020-04-22,42.38242,42.246051238598355
2020-04-23,37.15861,43.124678237068586
2020-04-24,33.004276,38.44845072538064
2020-04-25,41.883392,34.03004630558796
2020-04-26,50.1754,39.6909988191265
2020-04-27,46.327694,48.127973004458056
2020-04-28,44.71902,47.27775303700392
2020-04-29,40.652336,45.11622687373028
2020-04-30,49.776875,41.65646414410436
2020-05-01,40.039215,47.52388302622532
2020-05-02,43.084774,42.443596177322675
2020-05-03,43.111214,42.332777654468764
2020-05-04,39.64055,43.1046855487778
2020-05-05,41.993523,40.49751144601593
2020-05-06,37.73401,41.41253701446051
2020-05-07,42.918236,38.78575065245256
2020-05-08,44.601265,41.63816918585914
2020-05-09,39.18857,44.185698709075055
2020-05-10,36.156155,40.525049398191
2020-05-11,39.832794,36.90490588551366
2020-05-12,40.691914,38.924974091786886
2020-05-13,51.354282,40.47978378010513
2020-05-14,50.736057,48.721575895567554
2020-05-15,51.183216,50.88870646130285
2020-05-16,41.24777,51.07280542057225
2020-05-17,33.792816,43.7009876468172
2020-05-18,37.45689,35.6335612175786
