Fecha,et
2020-08-09,3.61814
2020-08-10,3.4195905
2020-08-11,5.1400795
2020-08-12,5.408827
2020-08-13,5.6051235
2020-08-14,5.952754
2020-08-15,5.501591
2020-08-16,5.2427278
2020-08-17,5.188685
2020-08-18,4.731264
2020-08-19,4.2847676
2020-08-20,5.0493574
2020-08-21,5.4017963
2020-08-22,5.299741
2020-08-23,4.974473
2020-08-24,5.43299
2020-08-25,4.0828466
2020-08-26,5.2069464
2020-08-27,5.6260033
2020-08-28,5.753295
2020-08-29,6.0364575
2020-08-30,5.768372
2020-08-31,5.6105347
2020-09-01,6.076451
2020-09-02,6.1226845
2020-09-03,5.7086406
2020-09-04,4.797283
2020-09-05,1.8951819
2020-09-06,3.4133518
2020-09-07,4.3124676
2020-09-08,5.02673
2020-09-09,4.7518277
2020-09-10,2.9789298
2020-09-11,3.8898184
2020-09-12,4.748684
2020-09-13,4.9166427
2020-09-14,4.301742
2020-09-15,4.0216722
2020-09-16,3.9709818
2020-09-17,4.4032464
2020-09-18,5.314923
2020-09-19,5.168604
2020-09-20,4.5252395
2020-09-21,4.582644
2020-09-22,4.710398
2020-09-23,4.831905
2020-09-24,4.8765297
2020-09-25,5.0456905
2020-09-26,5.0907784
2020-09-27,5.1160235
2020-09-28,5.9420953
2020-09-29,6.177038
2020-09-30,4.574551
2020-10-01,4.5989623
2020-10-02,4.210565
2020-10-03,4.663183
2020-10-04,4.779011
2020-10-05,4.632529
2020-10-06,4.0965476
2020-10-07,5.0884495
2020-10-08,5.2857604
2020-10-09,4.76682
2020-10-10,5.0918355
2020-10-11,5.10488
2020-10-12,4.425075
2020-10-13,3.2973588
2020-10-14,3.7158604
2020-10-15,4.465915
2020-10-16,3.7239792
2020-10-17,4.052164
2020-10-18,4.4990473
2020-10-19,4.319067
2020-10-20,3.818755
2020-10-21,3.9952712
2020-10-22,4.222983
2020-10-23,4.333066
2020-10-24,4.001117
2020-10-25,4.757488
2020-10-26,4.479647
2020-10-27,3.8246887
2020-10-28,3.4376745
2020-10-29,3.466666
2020-10-30,3.6822596
2020-10-31,3.6230059
2020-11-01,4.047064
2020-11-02,3.7740169
2020-11-03,3.4678304
2020-11-04,3.570523
2020-11-05,3.2488813
2020-11-06,3.1133516
2020-11-07,3.4696665
2020-11-08,3.7389631
2020-11-09,3.6942763
2020-11-10,3.6749346
2020-11-11,3.3632276
2020-11-12,3.6315463
2020-11-13,3.561984
2020-11-14,3.959639
2020-11-15,3.415752
2020-11-16,2.7648087
2020-11-17,3.1786714
2020-11-18,2.901399
2020-11-19,2.8776996
2020-11-20,2.870911
2020-11-21,1.5097795
2020-11-22,2.6818304
2020-11-23,2.9543557
2020-11-24,3.660641
2020-11-25,3.239101
2020-11-26,3.391577
2020-11-27,3.4935055
2020-11-28,3.0235465
2020-11-29,2.3339942
2020-11-30,2.8013866
2020-12-01,2.8570473
2020-12-02,3.035045
2020-12-03,3.1695628
2020-12-04,2.1427379
2020-12-05,1.6662632
2020-12-06,1.9348938
2020-12-07,2.3296967
2020-12-08,2.5429492
2020-12-09,2.8495007
2020-12-10,3.183311
2020-12-11,3.002376
2020-12-12,2.7924254
2020-12-13,3.479962
2020-12-14,3.5728996
2020-12-15,3.412019
2020-12-16,3.5114095
2020-12-17,1.9972345
2020-12-18,3.1500938
2020-12-19,3.0705433
2020-12-20,3.0296075
2020-12-21,2.4000187
2020-12-22,3.176904
2020-12-23,3.173699
2020-12-24,4.0296674
2020-12-25,2.6660366
2020-12-26,2.7256522
2020-12-27,2.910434
2020-12-28,3.0492783
2020-12-29,3.2572699
2020-12-30,3.2270954
2020-12-31,2.7397149
2021-01-01,1.9726495
2021-01-02,2.1675684
2021-01-03,2.7211804
2021-01-04,2.894043
2021-01-05,2.9014256
2021-01-06,3.4185712
2021-01-07,3.3227746
2021-01-08,2.913644
2021-01-09,1.9618825
2021-01-10,3.4790964
2021-01-11,1.6170467
2021-01-12,1.6566004
2021-01-13,2.285648
2021-01-14,2.7291763
2021-01-15,3.2601416
2021-01-16,3.0168748
2021-01-17,2.8290217
2021-01-18,3.426143
2021-01-19,2.8763714
2021-01-20,0.9476828
2021-01-21,2.9962535
2021-01-22,2.94989
2021-01-23,3.094478
2021-01-24,3.0904105
2021-01-25,3.7856183
2021-01-26,3.6449986
2021-01-27,3.9512694
2021-01-28,2.6689403
2021-01-29,3.2968965
2021-01-30,3.7822804
2021-01-31,4.076692
2021-02-01,3.4095147
2021-02-02,3.3271246
2021-02-03,3.5053077
2021-02-04,3.7393177
2021-02-05,3.9017155
2021-02-06,4.0259204
2021-02-07,3.9814084
2021-02-08,3.926288
2021-02-09,3.4962718
2021-02-10,3.964872
2021-02-11,3.654202
2021-02-12,2.1529996
2021-02-13,2.1507113
2021-02-14,2.7123795
2021-02-15,2.503995
2021-02-16,2.5289721
2021-02-17,3.586247
2021-02-18,2.9841359
2021-02-19,2.6174877
2021-02-20,3.5322924
2021-02-21,4.0791407
2021-02-22,3.164777
2021-02-23,4.2213087
2021-02-24,4.4191594
2021-02-25,4.4432178
2021-02-26,4.512055
2021-02-27,4.7140613
2021-02-28,4.776838
2021-03-01,4.755839
2021-03-02,2.7898595
2021-03-03,4.1103234
2021-03-04,4.4537425
2021-03-05,4.6042237
2021-03-06,4.6849217
2021-03-07,3.2901049
2021-03-08,2.417679
2021-03-09,3.8408926
2021-03-10,4.9791365
2021-03-11,4.9822445
2021-03-12,4.5506907
2021-03-13,4.528449
2021-03-14,5.2112217
2021-03-15,4.599073
2021-03-16,5.5131087
2021-03-17,5.9365225
2021-03-18,5.4287267
2021-03-19,4.8726115
2021-03-20,4.7128263
2021-03-21,4.8286166
2021-03-22,5.692254
2021-03-23,5.5832515
2021-03-24,6.7325315
2021-03-25,5.994409
2021-03-26,5.625158
2021-03-27,5.8616266
2021-03-28,5.1971297
2021-03-29,3.8787558
2021-03-30,5.676515
2021-03-31,5.584555
2021-04-01,3.0965872
2021-04-02,2.5827308
2021-04-03,4.732224
2021-04-04,4.706174
2021-04-05,5.72778
2021-04-06,5.825137
2021-04-07,5.99058
2021-04-08,6.151853
2021-04-09,6.5041733
2021-04-10,6.7311344
2021-04-11,5.8687415
2021-04-12,6.02867
2021-04-13,5.8823953
2021-04-14,5.9659624
2021-04-15,5.580379
2021-04-16,6.039774
2021-04-17,3.9833138
2021-04-18,2.818433
2021-04-19,4.0316844
2021-04-20,5.0942206
2021-04-21,3.7632816
2021-04-22,5.458736
2021-04-23,6.764309
2021-04-24,6.328798
2021-04-25,6.435621
2021-04-26,6.3567085
2021-04-27,6.390051
2021-04-28,6.8100486
2021-04-29,6.2660656
2021-04-30,4.60715
2021-05-01,3.3858125
2021-05-02,5.8641467
2021-05-03,7.3663116
2021-05-04,7.306687
2021-05-05,5.483933
2021-05-06,5.157713
2021-05-07,4.8836503
2021-05-08,6.0869546
2021-05-09,6.1205626
2021-05-10,5.364163
2021-05-11,4.8300686
2021-05-12,3.4814022
2021-05-13,4.7476163
2021-05-14,4.091064
2021-05-15,5.1077714
2021-05-16,5.163311
2021-05-17,5.990466
2021-05-18,5.288244
2021-05-19,6.2590413
2021-05-20,5.9231577
2021-05-21,5.913195
2021-05-22,5.3291693
2021-05-23,5.205139
