Fecha,et
2020-01-01,1.8693764
2020-01-02,2.4818304
2020-01-03,3.437479
2020-01-04,2.7319853
2020-01-05,2.9700954
2020-01-06,2.9130533
2020-01-07,2.6823134
2020-01-08,2.8002315
2020-01-09,3.2986352
2020-01-10,3.2592711
2020-01-11,4.1827593
2020-01-12,2.957858
2020-01-13,2.8483682
2020-01-14,2.1785572
2020-01-15,2.1596894
2020-01-16,2.045039
2020-01-17,2.4140875
2020-01-18,2.6056974
2020-01-19,2.2204528
2020-01-20,1.6638411
2020-01-21,1.9241016
2020-01-22,3.1917415
2020-01-23,2.2116756
2020-01-24,2.2780015
2020-01-25,2.0564685
2020-01-26,2.064031
2020-01-27,3.3918474
2020-01-28,3.475758
2020-01-29,2.9836013
2020-01-30,2.5059156
2020-01-31,2.7463498
2020-02-01,2.274277
2020-02-02,2.4438162
2020-02-03,2.952199
2020-02-04,3.6834795
2020-02-05,3.7927392
2020-02-06,3.581574
2020-02-07,3.0574017
2020-02-08,2.7869756
2020-02-09,3.9252906
2020-02-10,3.622287
2020-02-11,3.5837913
2020-02-12,3.9943202
2020-02-13,2.7816293
2020-02-14,2.2465491
2020-02-15,3.483869
2020-02-16,3.734448
2020-02-17,4.155168
2020-02-18,4.139455
2020-02-19,3.6564262
2020-02-20,4.019692
2020-02-21,2.1807542
2020-02-22,3.4278054
2020-02-23,4.2319074
2020-02-24,4.605388
2020-02-25,3.9353178
2020-02-26,4.6033883
2020-02-27,3.5078297
2020-02-28,3.7537177
2020-02-29,3.5016978
2020-03-01,4.369062
2020-03-02,4.9548655
2020-03-03,5.2131686
2020-03-04,5.712188
2020-03-05,3.9553318
2020-03-06,4.333481
2020-03-07,3.9962008
2020-03-08,2.9486454
2020-03-09,4.069963
2020-03-10,3.4549415
2020-03-11,4.510839
2020-03-12,4.917161
2020-03-13,5.2205434
2020-03-14,4.3968134
2020-03-15,3.7224767
2020-03-16,3.6016796
2020-03-17,4.696613
2020-03-18,4.314932
2020-03-19,5.4052887
2020-03-20,4.2865644
2020-03-21,3.9093242
2020-03-22,4.8487816
2020-03-23,5.5825424
2020-03-24,5.7613373
2020-03-25,5.8994756
2020-03-26,6.1673746
2020-03-27,5.9475164
2020-03-28,6.3264813
2020-03-29,4.4048724
2020-03-30,4.8237743
2020-03-31,4.850676
2020-04-01,5.4215174
2020-04-02,6.221226
2020-04-03,4.331279
2020-04-04,4.949807
2020-04-05,3.2260802
2020-04-06,4.2112617
2020-04-07,4.41132
2020-04-08,5.5053988
2020-04-09,5.9663987
2020-04-10,5.242163
2020-04-11,5.790645
2020-04-12,8.638324
2020-04-13,6.836611
2020-04-14,7.213928
2020-04-15,2.2702875
2020-04-16,2.1656299
2020-04-17,5.856724
2020-04-18,4.9013057
2020-04-19,6.877254
2020-04-20,6.58735
2020-04-21,6.5256667
2020-04-22,6.7652736
2020-04-23,7.6352077
2020-04-24,6.5102234
2020-04-25,6.1649094
2020-04-26,4.351797
2020-04-27,5.670914
2020-04-28,6.4535565
2020-04-29,6.31911
2020-04-30,4.5463924
2020-05-01,6.3557534
2020-05-02,6.396028
2020-05-03,6.3205957
2020-05-04,6.4367404
2020-05-05,5.491569
2020-05-06,5.1176333
2020-05-07,5.3631234
2020-05-08,6.0682645
2020-05-09,5.357603
2020-05-10,5.6868043
2020-05-11,5.1128697
2020-05-12,5.550184
2020-05-13,5.242034
2020-05-14,5.6244326
2020-05-15,6.008969
2020-05-16,6.849324
2020-05-17,6.3522873
2020-05-18,6.5388036
2020-05-19,7.214537
2020-05-20,6.7669964
2020-05-21,5.3563333
2020-05-22,5.610309
2020-05-23,5.667345
2020-05-24,6.1820335
2020-05-25,6.065071
2020-05-26,5.539029
2020-05-27,4.780602
2020-05-28,5.5138135
2020-05-29,3.8790498
2020-05-30,5.46325
2020-05-31,5.447996
2020-06-01,4.964927
2020-06-02,5.118018
2020-06-03,5.6665077
2020-06-04,5.560437
2020-06-05,5.5964656
2020-06-06,5.691409
2020-06-07,6.4556427
2020-06-08,6.892019
2020-06-09,7.385648
2020-06-10,5.838227
2020-06-11,3.8815293
2020-06-12,6.5441866
2020-06-13,6.0364103
2020-06-14,5.4719715
2020-06-15,6.4651327
2020-06-16,5.640055
2020-06-17,6.032266
2020-06-18,5.9887366
2020-06-19,5.9389725
2020-06-20,5.954119
2020-06-21,6.0837517
2020-06-22,5.7932754
2020-06-23,5.934907
2020-06-24,4.3287163
2020-06-25,3.3792992
2020-06-26,3.8763416
2020-06-27,5.1892495
2020-06-28,5.6393733
2020-06-29,6.149593
2020-06-30,5.973117
2020-07-01,5.795784
2020-07-02,6.1071105
2020-07-03,6.0789614
2020-07-04,6.5642786
2020-07-05,6.863222
2020-07-06,6.290729
2020-07-07,5.8499804
2020-07-08,5.6560674
2020-07-09,5.9885693
2020-07-10,6.253741
2020-07-11,6.4534516
2020-07-12,6.931664
2020-07-13,7.081953
2020-07-14,6.88774
2020-07-15,6.813734
2020-07-16,5.6986456
2020-07-17,6.3276377
2020-07-18,5.924378
2020-07-19,6.6086826
2020-07-20,6.325533
2020-07-21,6.5998745
2020-07-22,6.8122315
2020-07-23,6.546771
2020-07-24,6.451704
2020-07-25,5.6690845
2020-07-26,3.7823348
2020-07-27,2.2094283
2020-07-28,3.0941846
2020-07-29,2.1992328
2020-07-30,4.96611
2020-07-31,5.286923
