Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,cire_mean,cire_min,cire_max,ndre1_mean,ndre1_min,ndre1_max,ndre_mean,ndre_min,ndre_max
45,2020-11-27,11,0.2293424996870036,0.1129584352078239,0.4466151749204907,-0.1259254851638334,-0.3125943823618242,0.225199131064446,1.312018897687831,0.6323877068557919,1.9094903339191565,0.2625870819251553,0.1617046117921774,0.3473822851498189,0.3320494960524154,0.1887445887445886,0.7032686414708886,0.097580377894844,0.0390168970814132,0.2144469525959368,0.1394685001084217,-0.0480620155038759,0.4239713774597495
46,2020-12-02,11,0.1737430527776669,0.1299638989169675,0.2657580919931857,-0.2379266833694091,-0.336793893129771,-0.0905340362136144,1.630872539254549,1.1990927419354838,2.015653775322284,0.3111211331333451,0.258098223615465,0.3823255813953488,0.1709211731236004,0.0750528541226216,1.1025974025974028,0.0289406833704458,-0.0077720207253886,0.2890120036934441,0.1072262886764213,0.0262096774193548,0.2502434274586173
47,2020-12-07,11,0.1737436335624651,0.1320754716981132,0.2629501726689689,-0.1381744805934648,-0.2583747927031509,0.0186875271621034,1.3246261192958508,0.963310580204778,1.6967799642218246,0.2676232209895156,0.2218181818181818,0.3473684210526316,0.1793782359649546,0.1119473189087487,0.7851140456182473,0.0412452869486992,0.0101986044015029,0.2375286041189931,0.1139354935399286,0.0355987055016181,0.2393320964749536
48,2020-12-12,11,0.1594762461502089,0.123704215618521,0.2284482758620689,-0.2033988500193884,-0.351443704083376,-0.0905923344947735,1.5174337699644578,1.1992337164750957,2.08377239199157,0.2313257436635602,0.1736320551486428,0.3173374613003096,0.2053780378953067,0.1191176470588235,1.0562429696287965,0.0463213604545431,0.0075121520106053,0.2519983172065629,0.0837987304369278,-0.0323731837879174,0.2014492753623188
49,2020-12-22,11,0.1688739365487916,0.0787468247248094,0.2505712109672505,-0.2003296112907909,-0.3468950749464668,0.0315040650406504,1.5096064234822688,0.9389162561576356,2.062295081967213,0.2538858602342845,0.1032388663967611,0.3685279187817258,0.2332819270508341,0.0437317784256559,1.0501750291715286,0.0467956358378443,-0.01704966641957,0.2801343973120537,0.1016814910011663,-0.0724436741767764,0.2600869025450031
50,2020-12-27,11,0.2158077915355707,0.1567732115677321,0.2841214917339484,-0.177591739230351,-0.2484111633047803,-0.0539450950278364,1.434068915223916,1.114042207792208,1.661029411764706,0.3383242930786768,0.235,0.4206827309236948,0.2136641991722191,0.1433850702143384,0.6713881019830028,0.0554505292070496,0.0306497752349816,0.1459677419354838,0.1291903593246361,0.0783618187681393,0.2773797338792221
51,2021-01-06,11,0.2328310177834082,0.178470254957507,0.2907248636009353,-0.1629994515253734,-0.2407407407407407,-0.0526843953838434,1.3914044212573708,1.111228813559322,1.6341463414634143,0.3169457918524592,0.2344416027280477,0.407015857760692,0.2775215204706194,0.1888726207906295,0.4267676767676767,0.0829308249469084,0.0473649099399599,0.1732776617954071,0.1323385025896916,0.072856221792392,0.2275682704811443
52,2021-01-16,11,0.254719708530112,0.21875,0.2987910189982729,-0.0526862375425828,-0.1062639821029082,0.0461236506378802,1.1121139498390833,0.9118198874296436,1.2377972465581977,0.3050939414861462,0.2544184134812988,0.3752475247524752,0.3384085227301224,0.2385844748858447,0.6601195559350983,0.10513460271645,0.0662715517241379,0.1727304839279406,0.170878284408468,0.1253864651322569,0.2430668841761827
53,2021-01-26,11,0.3352124735014558,0.2549800796812749,0.4553734061930783,-0.1784462197534446,-0.25273390036452,-0.0762151279838941,1.4368235360842194,1.1650062266500625,1.6764227642276424,0.3658500734276812,0.2985971943887776,0.4463072043497961,0.4854279950443289,0.3026315789473683,0.8547105561861521,0.1510686327531913,0.0861723446893787,0.2518046709129511,0.2097209237075324,0.1385964912280701,0.3164969450101833
54,2021-01-31,11,0.3276148653687696,0.2113617376775271,0.4814174589455488,-0.1830162958195863,-0.2614870509607351,-0.069848661233993,1.4509024552707768,1.1501877346683351,1.7081447963800904,0.3518726904383381,0.259774109470026,0.4486391571553995,0.5106876999445066,0.2735690235690236,1.0415647921760391,0.1482494703363229,0.0586370839936608,0.3041259038706933,0.2084867110288248,0.0993176648976497,0.3401094605160281
55,2021-02-05,11,0.3475629807210793,0.2338884866039102,0.5001851166234728,-0.1091324699147701,-0.1944175227757317,-0.0119483052913923,1.247884415066241,1.0241855873642645,1.4826756496631377,0.3482660130299242,0.2636998896653181,0.4512893982808023,0.5260839649329038,0.2828999211977936,0.9535353535353536,0.1665058631545063,0.0841320553780617,0.2712550607287449,0.217772522069103,0.1287332646755921,0.3435013262599469
56,2021-02-10,11,0.3365455685010135,0.2522727272727272,0.473101752228712,-0.083730824263944,-0.1852682145716573,0.0272006853715999,1.1860878008355715,0.9470391993327774,1.4547955974842768,0.305578333522824,0.2337590227651304,0.3854981742305686,0.6048284206466699,0.3730350665054414,1.089047195013357,0.1775680101359823,0.1168060426220663,0.2808197246237592,0.2234108221212728,0.1426978818283166,0.3621130360692985
57,2021-02-20,11,0.403923638186309,0.2716535433070866,0.55,-0.0286508179076065,-0.1560204762964611,0.0904684975767366,1.0639911338660524,0.8340740740740741,1.3697257383966244,0.4079640361642729,0.2971887550200803,0.499437570303712,0.6709603679721795,0.3609958506224067,1.16079105760963,0.2012119307738477,0.1137102014294996,0.3097922848664688,0.2774916099073504,0.1703958691910499,0.4072208228379513
