Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,ndwi_mean,ndwi_min,ndwi_max
66,2021-02-25,16,0.2112636411551224,0.1506849315068493,0.3781902552204176,-0.2328562895128865,-0.2925827494563904,-0.0173697270471464,1.6113421882494003,1.0353535353535352,1.8271857923497268,0.310897980315085,0.2673931265716681,0.4470016207455429,0.4595791863032131,0.3003185196420446,0.8754027926960257,-0.310897980315085,-0.4470016207455429,-0.2673931265716681
55,2021-03-12,16,0.2633819487491583,0.1971731448763251,0.3702460850111856,-0.1927127757334419,-0.2518947837717343,-0.0464893820547159,1.4816534561952426,1.0975120385232744,1.6734207389749702,0.307406654310058,0.2649700598802395,0.4023635340461451,0.9986436613728796,0.5746921292164912,1.8726844055237453,-0.307406654310058,-0.4023635340461451,-0.2649700598802395
59,2021-03-17,16,0.2843338517209856,0.198180636777128,0.4047186932849365,-0.1447987765151985,-0.2089485458612975,-0.0612755314714464,1.3418266979815925,1.130550621669627,1.5282805429864252,0.3088100634506626,0.2561750176429075,0.3747779751332149,1.0997072625790194,0.6253521126760564,1.7009038619556285,-0.3088100634506626,-0.3747779751332149,-0.2561750176429075
56,2021-03-22,16,0.308680532057098,0.1873385012919896,0.4626334519572954,-0.147868848804491,-0.2273924495171203,-0.0251655629139072,1.353497687385662,1.0516304347826086,1.5886363636363636,0.3465113213564961,0.2772758860319666,0.4343491882654514,0.9872302699575716,0.4401969302056183,1.7655749815316424,-0.3465113213564961,-0.4343491882654514,-0.2772758860319666
60,2021-03-27,16,0.2929707952576403,0.198394495412844,0.398837823560486,-0.0816229404050589,-0.1567384875369666,0.0052950075642965,1.1809920179726234,0.9894657637321296,1.371743486973948,0.3130780667714286,0.246060606060606,0.3868766404199475,1.052963436016112,0.6015299026425591,1.7205882352941178,-0.3130780667714286,-0.3868766404199475,-0.246060606060606
61,2021-04-06,16,0.3477069988096365,0.1910112359550561,0.5033826108744676,-0.0855229850017649,-0.191934858472276,0.0352618966107497,1.195267471864259,0.9318783068783068,1.4750479846449136,0.3672539372515632,0.2720542874768661,0.4658264663111973,1.0782898201462197,0.4987633965375103,1.7467581998474446,-0.3672539372515632,-0.4658264663111973,-0.2720542874768661
64,2021-04-16,16,0.3578254857740925,0.2192405063291139,0.4668446817979528,-0.0592758593766488,-0.1696763811907742,0.032258064516129,1.1335307106584085,0.9375,1.40869939707149,0.3405382094919661,0.2493268712977921,0.4192708333333333,1.950618831554933,0.9068627450980392,3.706677937447168,-0.3405382094919661,-0.4192708333333333,-0.2493268712977921
63,2021-05-01,16,0.4286411483396324,0.2418136020151133,0.5520121488230828,-0.0280132379063936,-0.1947613012251795,0.1879496402877697,1.0768623682033929,0.6835730507191522,1.4837355718782792,0.3879613723849182,0.2835016835016835,0.4612403100775193,2.435971057533152,0.9437208159252888,4.095489443378119,-0.3879613723849182,-0.4612403100775193,-0.2835016835016835
68,2021-05-16,16,0.5384906311571095,0.3536732236049779,0.6693996297275853,0.0297190152975227,-0.1821489206888188,0.2198827870631647,0.960788580090217,0.6395017793594306,1.4454329774614472,0.4544597586197006,0.3525872442839952,0.5495061430980487,1.8441809926102464,1.0642388599864283,2.420814479638009,-0.4544597586197006,-0.5495061430980487,-0.3525872442839952
71,2021-05-21,16,0.5827941628521502,0.380281690140845,0.7211904229134034,0.081210658603884,-0.0978013646702047,0.2470715444224184,0.8613010200525806,0.6037572254335261,1.2168067226890755,0.4936641429346725,0.3633834168057874,0.6166456494325346,2.3572206968886955,1.4589293011851243,3.0347370925529384,-0.4936641429346725,-0.6166456494325346,-0.3633834168057874
