Fecha,SRF
2020-08-02,23226874.0
2020-08-03,26270214.0
2020-08-04,24394580.0
2020-08-05,24681238.0
2020-08-06,25983672.0
2020-08-07,22982248.0
2020-08-08,21210434.0
2020-08-09,15981166.0
2020-08-10,17981752.0
2020-08-11,23609504.0
2020-08-12,24906098.0
2020-08-13,25696410.0
2020-08-14,27741394.0
2020-08-15,26108196.0
2020-08-16,24168958.0
2020-08-17,25486046.0
2020-08-18,23758778.0
2020-08-19,20195774.0
2020-08-20,24025586.0
2020-08-21,25008500.0
2020-08-22,24590816.0
2020-08-23,23943894.0
2020-08-24,24773022.0
2020-08-25,16643879.0
2020-08-26,23124606.0
2020-08-27,24166548.0
2020-08-28,25381048.0
2020-08-29,25780760.0
2020-08-30,25061320.0
2020-08-31,23554938.0
2020-09-01,24844942.0
2020-09-02,25942258.0
2020-09-03,25178296.0
2020-09-04,21844620.0
2020-09-05,9076760.0
2020-09-06,16386102.0
2020-09-07,21043344.0
2020-09-08,23118878.0
2020-09-09,21602592.0
2020-09-10,14994182.0
2020-09-11,17347984.0
2020-09-12,23181694.0
2020-09-13,22084174.0
2020-09-14,15602426.0
2020-09-15,15031614.0
2020-09-16,15901260.0
2020-09-17,18056752.0
2020-09-18,21558752.0
2020-09-19,21547906.0
2020-09-20,21320600.0
2020-09-21,23820294.0
2020-09-22,23845534.0
2020-09-23,23924822.0
2020-09-24,24043598.0
2020-09-25,24161730.0
2020-09-26,22935270.0
2020-09-27,22699820.0
2020-09-28,21992650.0
2020-09-29,23008820.0
2020-09-30,24892310.0
2020-10-01,24542764.0
2020-10-02,18489464.0
2020-10-03,23895290.0
2020-10-04,23812176.0
2020-10-05,23881270.0
2020-10-06,20367968.0
2020-10-07,23330148.0
2020-10-08,21941034.0
2020-10-09,22640256.0
2020-10-10,22362480.0
2020-10-11,22628824.0
2020-10-12,20160590.0
2020-10-13,16116358.0
2020-10-14,19139346.0
2020-10-15,21001134.0
2020-10-16,14754752.0
2020-10-17,19228070.0
2020-10-18,21531566.0
2020-10-19,21047556.0
2020-10-20,18765500.0
2020-10-21,20757448.0
2020-10-22,20098362.0
2020-10-23,20506426.0
2020-10-24,19098288.0
2020-10-25,21004892.0
2020-10-26,20256550.0
2020-10-27,20038416.0
2020-10-28,17338654.0
2020-10-29,15922278.0
2020-10-30,20744254.0
2020-10-31,20390592.0
2020-11-01,19623354.0
2020-11-02,16972394.0
2020-11-03,20433374.0
2020-11-04,20039422.0
2020-11-05,19046816.0
2020-11-06,17337906.0
2020-11-07,19300922.0
2020-11-08,19196614.0
2020-11-09,18375804.0
2020-11-10,18045506.0
2020-11-11,16080627.0
2020-11-12,17653854.0
2020-11-13,16545656.0
2020-11-14,18439756.0
2020-11-15,15340382.0
2020-11-16,13835002.0
2020-11-17,12090884.0
2020-11-18,14268732.0
2020-11-19,14927921.0
2020-11-20,14438534.0
2020-11-21,4878248.5
2020-11-22,14346561.0
2020-11-23,16663430.0
2020-11-24,17567304.0
2020-11-25,16918038.0
2020-11-26,16726526.0
2020-11-27,16681470.0
2020-11-28,14889498.0
2020-11-29,6501518.5
2020-11-30,8821724.0
2020-12-01,16992624.0
2020-12-02,17161784.0
2020-12-03,10401035.0
2020-12-04,9234271.0
2020-12-05,7869431.0
2020-12-06,5566157.0
2020-12-07,15881754.0
2020-12-08,16426818.0
2020-12-09,16931966.0
2020-12-10,16818292.0
2020-12-11,16303229.0
2020-12-12,15773205.0
2020-12-13,16177480.0
2020-12-14,12015191.0
2020-12-15,16607525.0
2020-12-16,16742161.0
2020-12-17,9170031.0
2020-12-18,14720782.0
2020-12-19,16305513.0
2020-12-20,13007234.0
2020-12-21,9532617.0
2020-12-22,13609161.0
2020-12-23,16250626.0
2020-12-24,13133166.0
2020-12-25,16602989.0
2020-12-26,16275714.0
2020-12-27,16874154.0
2020-12-28,16461623.0
2020-12-29,16360629.0
2020-12-30,16685622.0
2020-12-31,16019317.0
2021-01-01,7707612.0
2021-01-02,5739022.5
2021-01-03,14891481.0
2021-01-04,17137486.0
2021-01-05,15392170.0
2021-01-06,16701973.0
2021-01-07,14120664.0
2021-01-08,16727022.0
2021-01-09,8006659.0
2021-01-10,16851962.0
2021-01-11,6250054.5
2021-01-12,8335735.5
2021-01-13,11883089.0
2021-01-14,14651942.0
2021-01-15,17153006.0
2021-01-16,16966986.0
2021-01-17,15759620.0
2021-01-18,17044536.0
2021-01-19,12553896.0
2021-01-20,3468739.2
2021-01-21,14312457.0
2021-01-22,16145469.0
2021-01-23,15110643.0
2021-01-24,14441956.0
2021-01-25,18147396.0
2021-01-26,18353344.0
2021-01-27,17564736.0
2021-01-28,7681163.0
2021-01-29,13630552.0
2021-01-30,18479958.0
2021-01-31,17341996.0
2021-02-01,13584548.0
2021-02-02,18923932.0
2021-02-03,19079780.0
2021-02-04,19180518.0
2021-02-05,19413842.0
2021-02-06,19416226.0
2021-02-07,18804830.0
2021-02-08,19625018.0
2021-02-09,18057006.0
2021-02-10,17603214.0
2021-02-11,15954106.0
2021-02-12,8285393.5
2021-02-13,10282143.0
2021-02-14,15385038.0
2021-02-15,13829443.0
2021-02-16,14728645.0
2021-02-17,21205310.0
2021-02-18,14784347.0
2021-02-19,13796910.0
2021-02-20,21553296.0
2021-02-21,21751942.0
2021-02-22,14203813.0
2021-02-23,19532504.0
2021-02-24,21366014.0
2021-02-25,20420910.0
2021-02-26,21190110.0
2021-02-27,21089278.0
2021-02-28,20941946.0
2021-03-01,19421464.0
2021-03-02,6297691.0
2021-03-03,21939318.0
2021-03-04,21943914.0
2021-03-05,20421062.0
2021-03-06,20523000.0
2021-03-07,16499226.0
2021-03-08,8073006.0
2021-03-09,14546699.0
2021-03-10,22056534.0
2021-03-11,22226728.0
2021-03-12,19111796.0
2021-03-13,17651630.0
2021-03-14,22901610.0
2021-03-15,20907268.0
2021-03-16,23112454.0
2021-03-17,24120512.0
2021-03-18,24311680.0
2021-03-19,24780918.0
2021-03-20,23097442.0
2021-03-21,23228568.0
2021-03-22,24578508.0
2021-03-23,25184878.0
2021-03-24,25371780.0
2021-03-25,25319518.0
2021-03-26,25224956.0
2021-03-27,25283194.0
2021-03-28,19310060.0
2021-03-29,13804379.0
2021-03-30,24640966.0
2021-03-31,23911980.0
2021-04-01,11705599.0
2021-04-02,7806189.0
2021-04-03,19695526.0
2021-04-04,20085062.0
2021-04-05,25801852.0
2021-04-06,25661352.0
2021-04-07,24586580.0
2021-04-08,25114542.0
2021-04-09,25623196.0
2021-04-10,24739606.0
2021-04-11,25877982.0
2021-04-12,25182556.0
2021-04-13,24989920.0
2021-04-14,25155226.0
2021-04-15,21967280.0
2021-04-16,25664076.0
