Parcela,Fecha,dias,ndvi,gndvi,cire,ndre1,ndmi,msi,temp,dia_x,reconstruida_temp,ajustados_temp,srf,dia_y,reconstruida_srf,ajustados_srf,precip,precip_acum,et,dia,reconstruida_et,ajustados_et,et_acum,et_acum_ajustados,rh12,rh12_holtwin_predicts,kc,etc,etc_acum
11,2023-03-02,1.0,0.1732442361,0.2646250685,-0.1520616125,0.0330248569,-0.2415261676,1.5266745582,299.33963,1157,299.849062497973,296.5488947083364,22779710.0,1157,22942886.588242188,18188944.961287823,0.0,0.0,6.0360613,1157,5.316644486519517,4.028100353024684,6.0360613,4.028100353024684,29.646215,47.40306439572154,0.369230871515,2.228700174316964,2.228700174316964
11,2023-03-03,2.0,0.1787294631,0.268193462,-0.1255666342,0.0372951508,-0.2365155770999999,1.5175585773,297.9271,1158,299.22767660179073,296.62556714532457,23107984.0,1158,22746279.887381844,18280382.27263996,-0.0,0.0,5.7364874,1158,5.300555355521765,4.053856268574347,11.7725487,8.081956621599032,17.278551,32.692195474783475,0.375538882565,2.1542740680442023,4.382974242361167
11,2023-03-04,3.0,0.1841908995,0.2717461851,-0.0991962887,0.0415461073,-0.2315261381999999,1.5084805722,296.38342,1159,298.512147963273,296.70300088116653,22931684.0,1159,22268164.247910857,18372294.827474777,0.0,0.0,4.668519,1159,5.192437801415719,4.079708637091073,16.441067699999998,12.161665258690103,25.869368,23.250261543717368,0.381819534425,1.7825317510342664,6.165505993395433
11,2023-03-05,4.0,0.1896285453,0.2752832378,-0.0729505759999999,0.0457777263999999,-0.2265578509,1.4994405429,297.89566,1160,297.93973416236634,296.78117269429515,22380832.0,1160,21699689.16296654,18464654.79995216,0.0,0.0,4.6198974,1160,5.029695889458054,4.105649715620804,21.060965099999997,16.26731497431091,42.13689,30.09428215067061,0.388072827095,1.7928566449068402,7.958362638302273
11,2023-03-06,5.0,0.1950424005,0.2788046201,-0.0468294960999999,0.0499900081,-0.2216107152,1.4904384894,299.96432,1161,297.7433963926092,296.8600591418016,22373590.0,1161,21235215.89465549,18557434.22877965,0.01,0.01,4.8942738,1161,4.861203820707553,4.131671734640265,25.955238899999998,20.39898670895117,44.14928,29.41942174233001,0.394298760575,1.9298060932546954,9.888168731556968
11,2023-03-07,6.0,0.2004324651,0.282310332,-0.0208330489999999,0.0541829524,-0.2166847311,1.4814744117,300.3171,1162,298.06344092455583,296.9396365664656,19234984.0,1162,20998141.60242929,18650605.025677543,0.1,0.11,4.690739,1162,4.730725969858522,4.15776690038396,30.6459779,24.55675360933513,46.54204,42.98263068999228,0.400497334865,1.878628468047315,11.766797199604284
11,2023-03-08,7.0,0.2057987391,0.2858003735,0.0050387652999999,0.0583565593,-0.2117798986,1.4725483097999998,299.73196,1163,298.88020748964306,297.0198811038502,20367750.0,1163,20989634.92320451,18744138.98388235,0.17,0.28,4.8108845,1163,4.661597197104384,4.183927397178474,35.4568624,28.740681006513604,43.67976,50.645143988918704,0.406668549965,1.9564354236640942,13.723232623268379
11,2023-03-09,8.0,0.2111412225,0.2892747446,0.0307859468,0.0625108288,-0.2068962177,1.4636601836999998,299.76144,1164,299.9946369425858,297.1007686894582,20708194.0,1164,21080510.256780703,18838007.786686163,0.12,0.4,4.85615,1164,4.648144528602077,4.210145389783306,40.3130124,32.95082639629691,43.870472,40.869748504380446,0.412812405875,2.0046789647898815,15.72791158805826
11,2023-03-10,9.0,0.2164599153,0.2927334453,0.0564084955,0.0666457609,-0.2020336884,1.4548100334,299.81152,1165,301.0687247276805,297.1822750659491,21846776.0,1165,21052474.892692044,18932183.016009435,0.05,0.45,4.6888413,1165,4.657335239673191,4.236413025737601,45.0018537,37.18723942203451,41.38523,41.26250572918943,0.418928902595,1.9642911402511132,17.692202728309375
11,2023-03-11,10.0,0.2217548175,0.2961764756,0.0819064114,0.0707613555999999,-0.1971923106999999,1.4459978589,299.93274,1166,301.71786432497333,297.26437579041334,22849086.0,1166,20677774.34389912,19026636.16100424,0.01,0.46,5.077275,1166,4.640754315751032,4.262722437711977,50.0791287,41.44996185974649,43.403896,39.55929588481792,0.425018040125,2.1579334696756596,19.850136197985034
