Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,Evapotranspiration,Kc,ETc
14,2022-05-21,6,0.2039956619891208,0.1851851851851851,0.2482269503546099,-0.2003323329638124,-0.241251056635672,-0.121501272264631,1.5029394962778322,1.276611151339609,1.6359180035650625,0.2983337187082667,0.2698961937716263,0.3457127252867286,0.5622190429240793,0.4444662480376766,0.7111733582321818,6.268201,0.4045950112874889,2.5360828543472493
16,2022-06-05,6,0.2202875196401295,0.1615839781520255,0.3462783171521035,-0.2180439414782518,-0.2651039947177286,-0.0988716771849302,1.559746824180062,1.2194397283531409,1.7214734950584007,0.3223053283607522,0.2810707456978967,0.4320137693631669,0.5264633981595753,0.3697916666666667,0.8582326764144945,6.74893,0.4233306475861489,2.857028907413588
17,2022-06-10,6,0.2309275762870618,0.1678097850937357,0.3565034228541338,-0.2161707532605212,-0.2634671890303623,-0.1052438577191052,1.553531417909023,1.2352459016393442,1.7154255319148937,0.3301236395819195,0.282,0.4439461883408072,0.5148779082110656,0.3594515181194907,0.8137334414706677,6.6018114,0.43556671273012104,2.875529289562238
18,2022-06-25,6,0.362463153933948,0.2085790884718498,0.5774936061381074,-0.1702428785585432,-0.2685031530036508,0.0153791762418242,1.4191257560851014,0.9697075208913648,1.734119782214156,0.3848302164749567,0.2851445663010967,0.5214602861371485,1.1510846394066256,0.571890620405763,2.1972318339100347,5.834705,0.5868326270240402,3.423995263060302
20,2022-07-05,6,0.3810057779010622,0.2459189046866772,0.5317220543806647,-0.1267040069851907,-0.2256985109586749,-0.0039355992844364,1.295603361244938,1.0079022988505748,1.582973206568712,0.3899403860856654,0.3067331670822942,0.4875305623471883,1.3624498935405398,0.8136439267886855,2.3210657033190336,5.821026,0.6081566445862215,3.5400956402091546
21,2022-07-10,6,0.3923228301696508,0.2333864965443912,0.5461215932914046,-0.1135865055328603,-0.2282758620689655,-0.0005381165919282,1.2622464818906285,1.0010768126346017,1.5915996425379804,0.4027650061527861,0.2992992992992993,0.514672110232202,1.109115931281116,0.5734987105489378,1.6371315004968532,6.6173306,0.6211712546950984,4.110495551534268
23,2022-07-20,6,0.446934330355178,0.2808988764044944,0.6070774862721171,-0.0607908609320151,-0.1708930540242557,0.0865402665665477,1.1350941990245609,0.8407049067035245,1.4122340425531914,0.433716427606016,0.334867663981588,0.5408911449520587,1.402625171942376,0.7625438462711607,2.1639843410178337,6.577692,0.6839744799084547,4.498973464698003
25,2022-07-30,6,0.531320707959806,0.3378378378378378,0.6872475476053087,-0.0014358930426615,-0.1345838645055545,0.1418944215649569,1.00981905204278,0.7514754098360655,1.311026936026936,0.4906991560407954,0.365330321852061,0.6039495337356007,1.550988007999198,0.9351620947630924,2.234346318580461,5.3640223,0.7810188141537769,4.189402335840415
27,2022-08-09,6,0.6185476645175164,0.4163845633039946,0.7822410147991543,0.0536600741884944,-0.1189724152453148,0.2173285198555956,0.9053888177266868,0.6429418742586003,1.270076481835564,0.5427632077476167,0.4207317073170731,0.6650373038332904,1.82958442627771,1.1001788908765653,2.510068465565848,5.821786,0.8813298141951439,5.13091357366389
28,2022-08-14,6,0.6321775716791258,0.4397932816537467,0.7694369973190348,0.1167313299154344,-0.0379834254143646,0.3175895765472312,0.7961563492591858,0.5179233621755254,1.0789662598707823,0.5428540620411331,0.4208955223880597,0.6458852867830424,2.619052528172378,1.4782004516241098,8.640406607369759,4.309128,0.8970042074309946,3.865305946358707
29,2022-08-19,6,0.6461644738488612,0.4606619641888225,0.7557060446450966,0.1133878045227829,-0.0271451994898888,0.246398786959818,0.80123799087126,0.6046228710462287,1.0558052434456928,0.5574819563456154,0.4388027792624265,0.6528925619834711,2.355354674323039,1.562384983437615,3.090778097982709,5.4715056,0.9130891449261904,4.995972369762863
31,2022-09-13,6,0.7046529542127346,0.5629139072847682,0.8044354838709677,0.1839182876275998,0.0626641651031894,0.30466472303207,0.6918808399026757,0.5329608938547487,0.8820621468926554,0.608655958981509,0.5055821371610846,0.6862998921251349,2.4941839746489487,1.7817299919159255,3.112324492979719,4.602117,0.9803508973446448,4.511689530635044
32,2022-09-23,6,0.7239931576259541,0.5856248298393684,0.8064516129032258,0.1940395390121456,0.067943288528816,0.3137873445908332,0.6778595939382522,0.522316384180791,0.8727586206896552,0.6234943558375885,0.5158771473191046,0.6955903271692745,2.688461098208841,2.0532646048109964,3.230354551109268,4.214055,1.0025921312698471,4.224978383738356
34,2022-10-13,6,0.7533263015598399,0.6085106382978723,0.8332501248127808,0.2453867071061718,0.1183285849952516,0.3533718689788054,0.6087141009275451,0.4777904328018223,0.7883831521739131,0.6648536231326314,0.5627906976744186,0.7320754716981132,2.476004254466766,1.8462549277266755,3.082658713250958,4.4506645,1.0363252467938158,4.612335986358975
36,2022-11-27,6,0.796690320068552,0.630648330058939,0.8709187547456341,0.3239341016204484,0.161005734450816,0.4178910172958899,0.5128571643286968,0.4105456453305351,0.7226443768996961,0.696247894562903,0.6054158607350096,0.7517433751743375,2.066917402585553,1.4274322169059013,2.477678571428572,2.9512036,1.0861938680788348,3.205579253772182
37,2022-12-07,6,0.7391331290621288,0.6110809342748507,0.804078368652539,0.3063494004418268,0.1717730776833366,0.3958236658932714,0.5331691245819439,0.4328457446808511,0.7068151147098516,0.61644927746448,0.5241521068859198,0.6748028539241457,3.152366053826225,2.304650724910563,3.911330049261084,2.4831939,1.020003098421448,2.5328654719812396
