Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,Evapotranspiration,Kc,ETc,Dia,y_pred_1,y_pred_2,y_pred_3,y_pred_4,y_pred_5,y_pred_6,y_pred_7,y_pred_8,y_pred_9
11,2022-05-11,16,0.1597267260057679,0.1339155749636099,0.2213930348258706,-0.2715870167927248,-0.3138719167232405,-0.1539645881447267,1.7483876226431454,1.3639672429481349,1.91490765171504,0.2236881174798931,0.1875,0.2803129074315515,0.6634615187405185,0.4517133956386293,1.0523786641037962,5.555295,0.3536857349066331,1.9648285946981443,0,0.309537100108569,0.17718622594593986,0.1567457423966053,0.1432095708122268,0.10936163527388275,0.0016228137299005884,1.950417592756498e-06,1.809070359189312e-15,1.0416237055955948e-19
12,2022-05-16,16,0.1661130562633379,0.1396468699839486,0.2369020501138952,-0.2614985727371337,-0.3110140708393983,-0.1119320280753601,1.71196941657705,1.2520798668885191,1.9028169014084504,0.2570198503223233,0.2188841201716738,0.3105712409717662,0.5311339832325327,0.41350531107739,0.723965763195435,7.015527,0.3610300147028386,2.532815815958161,5,0.31408368015768334,0.19956394688312976,0.18478773474725646,0.17708654908114188,0.161766000317956,0.09064614858873324,0.01832385726979161,1.6770944136885135e-05,6.509018424581654e-07
13,2022-05-21,16,0.1781503005881606,0.1198347107438016,0.2512886597938144,-0.2330061053488857,-0.3275717870086423,-0.1117266851338873,1.614315343468426,1.2515592515592515,1.9742951907131008,0.2412313016527738,0.1474530831099195,0.3175033921302578,0.6872697972599606,0.4483738553836438,1.678082191780822,7.0722632,0.3748728456763847,2.6511994311563747,10,0.3186302602067977,0.22134900450919542,0.21175280941816624,0.2089865770754336,0.20787080278569187,0.16582752911388088,0.06456299301015117,0.00024810347348866023,1.9274762783307958e-05
14,2022-05-26,16,0.2171222762532864,0.1763740771123872,0.2876863611264494,-0.2171476006765153,-0.2856031128404669,-0.1091502014195281,1.5573088740180747,1.2450473729543496,1.7995642701525054,0.2574102532417217,0.1905564924114671,0.3318103940605368,1.241563446319783,0.7159047978843974,2.7441077441077444,5.6280923,0.4196906176912793,2.3620575338105327,15,0.32317684025591203,0.24254139882413683,0.23765685721733176,0.23899464493646405,0.24833239916847316,0.2288818542278006,0.12819029040606805,0.0011616588012761289,0.0001354689334468867
15,2022-05-31,16,0.2313772095486043,0.1631291691934505,0.3348314606741573,-0.2090126588104491,-0.3100841779762927,-0.1020408163265306,1.5344794849345935,1.2272727272727273,1.8989043824701195,0.2835268952755232,0.2131562302340291,0.347962382445141,0.8362301865317388,0.4990076552310746,1.5226666666666666,6.013163,0.4360837909808949,2.6222429168260506,20,0.3277234203050264,0.26314112982795396,0.26251576895275003,0.2671934776276229,0.2837621818151114,0.2813782230635293,0.20078344452862956,0.0033921102449779987,0.0005277915921631366
16,2022-06-05,16,0.2906345386859965,0.1882845188284518,0.5049180327868853,-0.1922164271952549,-0.2869651412522716,-0.0435865504358655,1.4866070282393316,1.0911458333333333,1.804911955514365,0.3365190492666537,0.2554927809165097,0.4578059071729958,0.9370924849553948,0.493101108346528,1.9063338147307607,7.2417297,0.5042297194888959,3.6514953352454063,25,0.3322700003541407,0.2831481975206468,0.2863454354324183,0.2936635349343271,0.3147280115046442,0.32474735118091436,0.2757652912778212,0.007641364986040343,0.001487133197714826
17,2022-06-10,16,0.3469474619792064,0.1967435549525101,0.581115017579106,-0.1423694032019335,-0.2612050566409457,0.0338259441707717,1.346973650703141,0.934561626429479,1.707111111111111,0.374856083326145,0.2672782874617737,0.5177478580171359,1.0113950391536493,0.4590544533558463,1.8362164735756228,6.6546965,0.5689895812760873,3.786452975054444,30,0.3368165804032551,0.30256260190221534,0.30916174746433345,0.3184830114640215,0.3417556500191322,0.36028881754662867,0.3481614811693682,0.014598977615962924,0.003411476748420054
18,2022-06-20,16,0.4787375412961153,0.311816192560175,0.6224772457459438,0.0325545771661207,-0.112967671630948,0.1890951276102088,0.947571093873798,0.6819512195121952,1.2547092547092549,0.4152706795171623,0.3358862144420131,0.4996342355523043,2.3503813456204536,1.186511240632806,3.830385852090032,5.43286,0.7205481724905326,3.914637344396915,40,0.34590974050148376,0.3396134207319798,0.35181787141689347,0.3634716747322975,0.38589750110311827,0.4124736951504408,0.4719894099561721,0.038983282485533656,0.012158982895334465
21,2022-07-10,16,0.5329060118929217,0.3563549160671463,0.6340023612750886,0.0447903088598987,-0.0807640246653632,0.1857273559011893,0.9207970445949024,0.6867283950617284,1.1757198952879582,0.490572220015724,0.3764019739793629,0.5600086188321483,1.451054462133149,1.0051406926406927,1.8744764032393184,6.9233246,0.78284191367686,5.419868678870081,60,0.36409606069794115,0.40660309865801747,0.42566906150085,0.43683115991735616,0.4457186609513862,0.4671579821814131,0.5989578555036728,0.1379756276989481,0.06463617326319496
25,2022-07-30,16,0.5106420231349921,0.3873417721518987,0.6229860365198711,-0.0235549944503077,-0.1143434343434343,0.096715659589911,1.0507494000311446,0.8236267372600926,1.2582116788321167,0.4643846668213238,0.4164408310749774,0.534010152284264,1.4096248882440054,0.8212560386473431,2.1561338289962824,5.497935,0.7572383266052409,4.163247099184385,80,0.3822823808943986,0.464110163606067,0.4850863509164344,0.4914790454129552,0.4838663404917931,0.49098822013809645,0.5854744044117304,0.2954746288189812,0.18443516824006084
26,2022-08-04,16,0.5277780045635745,0.4028892455858748,0.6477557530189109,-0.0070294489451664,-0.1009771986970684,0.1379908531777322,1.0166599738974358,0.7574833702882483,1.2246376811594204,0.470054350785307,0.4239677744209466,0.5453759723422644,1.95247265406018,1.1192033293697978,2.6616081986598346,6.1213098,0.7769447052481107,4.755919238293371,85,0.38682896094351293,0.4770052715652687,0.4978045573508757,0.5026551365867696,0.4916678459315632,0.4954385640257269,0.5696310317576057,0.3398065566959309,0.22521482784275898
29,2022-08-19,16,0.4954048930969212,0.3746130030959752,0.6065205171444632,-0.054588406116696,-0.1428571428571428,0.0866057019903173,1.118779014192593,0.8405940594059406,1.3333333333333333,0.4520404927074967,0.3793103448275862,0.5250800426894343,1.5707462563267378,1.0630571145592604,2.072734124740908,5.856288,0.7397156270614594,4.3319877501725,100,0.40046870109085597,0.5121346155761282,0.5310867513754612,0.5310425578883019,0.5131377847190399,0.5091244000735818,0.5155263000958819,0.47168873088126007,0.36638785000584695
