Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,Evapotranspiration
14,2022-05-21,9,0.1663230690062916,0.1343523732904263,0.229987293519695,-0.2406924641853508,-0.3188740193816336,-0.1332818532818532,1.639053662346564,1.3075552387740557,1.936314363143632,0.2523507819264367,0.1909385113268608,0.315625,0.5356659809973164,0.3552758954501451,0.9333333333333332,6.268201
15,2022-05-26,9,0.1951284539356456,0.1099928109273903,0.3130493576741041,-0.1056145164572755,-0.2147577092511013,0.0262929789078301,1.2405699071751288,0.9487612612612611,1.546984572230014,0.2261802286989969,0.170223841749089,0.2943692088382038,1.7632587364038232,-278.0,211.5625,5.0353475
16,2022-06-05,9,0.2024638993996164,0.1521610420367081,0.2848258706467662,-0.2104645279587275,-0.2781954887218045,-0.1444338725023786,1.5351437339807228,1.3376334519572954,1.7708333333333333,0.2972323066022528,0.2491649966599866,0.3645970937912813,0.533871234109981,0.3686471009305655,0.7673194972230342,6.74893
17,2022-06-10,9,0.2279187452572613,0.1409062693978895,0.3564493758668516,-0.2117015820534819,-0.2870164067247316,-0.1252684323550465,1.5404516662448386,1.286415711947627,1.8051136363636364,0.3202500072459037,0.2537517053206002,0.4163649529326575,0.5309311415030769,0.3230437903804738,0.8449270444519851,6.6018114
18,2022-06-20,9,0.2583604257925563,0.1726618705035971,0.3949143746756616,-0.0776387072247241,-0.147393984681487,0.0107447202667654,1.1706252074156551,0.9787390029325512,1.345749342681858,0.2747098492442598,0.2101020956475013,0.3749360613810741,1.1727409849772965,0.7444061962134252,1.8546365914786969,5.137292
19,2022-06-30,9,0.3454951607604974,0.1783545002760905,0.5396155649320207,-0.0998533958289987,-0.2273444347063979,0.0578192945723949,1.2274096871586606,0.8906820950060901,1.588475499092559,0.3404815920850698,0.2331002331002331,0.4779477947794779,1.486016554828917,0.7501161170459824,2.485136741973841,5.2296433
20,2022-07-05,9,0.3673835909087513,0.2067039106145251,0.5514456889815056,-0.1199184543074622,-0.2545454545454545,0.0439964943032427,1.2786118862237104,0.9157152451309604,1.6829268292682926,0.377992855266478,0.2697583278902678,0.5174522292993631,1.3919193402192525,0.8204675782973092,2.2578125,5.821026
21,2022-07-10,9,0.3884513215839753,0.205596107055961,0.5506198347107438,-0.1028557381560603,-0.2467924528301887,0.0127516778523489,1.234918111042756,0.9748177601060304,1.655310621242485,0.3937380177183845,0.2656943563728599,0.5347648261758691,1.1359760623765278,0.5932741116751269,1.7050691244239633,6.6173306
23,2022-07-20,9,0.4435952704566954,0.2404900064474532,0.5872278664731495,-0.0455696961366266,-0.2368939692550256,0.0699300699300699,1.1022448553614708,0.869281045751634,1.6208677685950412,0.4230967513557262,0.2869565217391304,0.5391800726517904,1.544705112895884,0.7656308498689629,2.248031496062992,6.577692
25,2022-07-30,9,0.5745798285533467,0.3338150289017341,0.6995614035087719,0.051064138738024,-0.2083617359690979,0.1847888400535066,0.9097192887381372,0.6880645161290323,1.526406429391504,0.5149344111233384,0.3724907063197026,0.6142433234421365,1.7802595317385033,0.9484575589193333,2.534334763948498,5.3640223
