Fecha,Precipitation,Dia
2022-04-26,28.98,0
2022-04-27,0.71,1
2022-04-28,0.13,2
2022-04-29,0.13,3
2022-04-30,0.23,4
2022-05-01,3.1,5
2022-05-02,1.89,6
2022-05-03,0.41,7
2022-05-04,1.39,8
2022-05-05,0.31,9
2022-05-06,0.37,10
2022-05-07,0.04,11
2022-05-08,0.02,12
2022-05-09,0.04,13
2022-05-10,2.04,14
2022-05-11,1.51,15
2022-05-12,0.55,16
2022-05-13,0.3,17
2022-05-14,0.14,18
2022-05-15,0.0,19
2022-05-16,0.01,20
2022-05-17,-0.0,21
2022-05-18,0.01,22
2022-05-19,0.33,23
2022-05-20,0.14,24
2022-05-21,0.02,25
2022-05-22,0.2,26
2022-05-23,4.7,27
2022-05-24,1.29,28
2022-05-25,1.59,29
2022-05-26,0.99,30
2022-05-27,0.64,31
2022-05-28,0.59,32
2022-05-29,0.82,33
2022-05-30,0.42,34
2022-05-31,2.97,35
2022-06-01,4.49,36
2022-06-02,1.72,37
2022-06-03,0.38,38
2022-06-04,0.01,39
2022-06-05,-0.0,40
2022-06-06,0.0,41
2022-06-07,0.22,42
2022-06-08,1.4,43
2022-06-09,6.73,44
2022-06-10,0.23,45
2022-06-11,0.38,46
2022-06-12,3.58,47
2022-06-13,6.41,48
2022-06-14,6.55,49
2022-06-15,9.24,50
2022-06-16,4.5,51
2022-06-17,1.26,52
2022-06-18,9.33,53
2022-06-19,0.64,54
2022-06-20,1.9,55
2022-06-21,17.8,56
2022-06-22,21.0,57
2022-06-23,0.55,58
2022-06-24,1.1,59
2022-06-25,1.56,60
2022-06-26,0.78,61
2022-06-27,9.05,62
2022-06-28,4.13,63
2022-06-29,6.25,64
2022-06-30,0.32,65
2022-07-01,0.22,66
2022-07-02,1.96,67
2022-07-03,1.51,68
2022-07-04,2.48,69
2022-07-05,1.5,70
2022-07-06,0.51,71
2022-07-07,1.42,72
2022-07-08,1.0,73
2022-07-09,0.4,74
2022-07-10,0.06,75
2022-07-11,0.68,76
2022-07-12,2.3,77
2022-07-13,7.62,78
2022-07-14,4.98,79
2022-07-15,4.15,80
2022-07-16,1.63,81
2022-07-17,1.83,82
2022-07-18,0.95,83
2022-07-19,0.0,84
2022-07-20,0.12,85
2022-07-21,0.1,86
2022-07-22,3.07,87
2022-07-23,4.21,88
2022-07-24,3.06,89
2022-07-25,3.12,90
2022-07-26,0.93,91
2022-07-27,6.55,92
2022-07-28,15.65,93
2022-07-29,5.98,94
2022-07-30,2.67,95
2022-07-31,4.96,96
2022-08-01,8.42,97
2022-08-02,1.79,98
2022-08-03,0.4,99
2022-08-04,0.64,100
2022-08-05,2.19,101
2022-08-06,1.97,102
2022-08-07,1.19,103
2022-08-08,1.45,104
2022-08-09,0.6,105
2022-08-10,0.73,106
2022-08-11,0.91,107
2022-08-12,2.07,108
2022-08-13,14.59,109
2022-08-14,3.72,110
2022-08-15,18.87,111
2022-08-16,5.28,112
2022-08-17,4.58,113
2022-08-18,2.82,114
2022-08-19,1.59,115
2022-08-20,0.6,116
2022-08-21,1.38,117
2022-08-22,0.83,118
2022-08-23,0.26,119
2022-08-24,0.43,120
2022-08-25,0.69,121
2022-08-26,2.46,122
2022-08-27,1.4,123
2022-08-28,0.65,124
2022-08-29,3.05,125
2022-08-30,1.85,126
2022-08-31,11.2,127
2022-09-01,10.76,128
2022-09-02,9.63,129
2022-09-03,13.14,130
2022-09-04,13.13,131
2022-09-05,16.44,132
2022-09-06,11.15,133
2022-09-07,8.72,134
2022-09-08,0.23,135
2022-09-09,0.07,136
2022-09-10,9.36,137
2022-09-11,3.58,138
2022-09-12,0.27,139
2022-09-13,0.33,140
2022-09-14,1.33,141
2022-09-15,12.24,142
2022-09-16,4.56,143
2022-09-17,5.05,144
2022-09-18,5.37,145
2022-09-19,4.02,146
2022-09-20,5.93,147
2022-09-21,0.88,148
2022-09-22,2.1,149
2022-09-23,0.04,150
2022-09-24,0.21,151
2022-09-25,5.89,152
2022-09-26,8.1,153
2022-09-27,0.28,154
2022-09-28,0.24,155
2022-09-29,0.0,156
2022-09-30,0.0,157
2022-10-01,0.0,158
2022-10-02,0.04,159
2022-10-03,0.14,160
2022-10-04,0.2,161
2022-10-05,0.12,162
2022-10-06,6.75,163
2022-10-07,0.2,164
2022-10-08,0.31,165
2022-10-09,0.86,166
2022-10-10,2.65,167
2022-10-11,0.0,168
2022-10-12,0.0,169
2022-10-13,0.0,170
2022-10-14,1.4,171
2022-10-15,0.93,172
2022-10-16,0.47,173
2022-10-17,3.23,174
2022-10-18,30.66,175
2022-10-19,0.14,176
2022-10-20,0.0,177
2022-10-21,0.06,178
2022-10-22,0.49,179
2022-10-23,0.03,180
2022-10-24,0.19,181
2022-10-25,0.48,182
2022-10-26,-0.0,183
2022-10-27,0.2,184
2022-10-28,0.24,185
2022-10-29,0.0,186
2022-10-30,0.09,187
2022-10-31,0.82,188
2022-11-01,2.07,189
2022-11-02,1.0,190
2022-11-03,1.34,191
2022-11-04,0.01,192
2022-11-05,0.18,193
2022-11-06,0.0,194
2022-11-07,5.61,195
2022-11-08,1.95,196
2022-11-09,1.03,197
2022-11-10,0.15,198
2022-11-11,0.1,199
2022-11-12,0.21,200
2022-11-13,0.01,201
