Fecha,temp,temp_holtwin_predicts
2020-01-01,292.68048,292.67808537212375
2020-01-02,294.203,293.0295540461676
2020-01-03,294.1035,292.19133315705386
2020-01-04,291.0485,293.15898851353904
2020-01-05,289.7754,291.33026732271037
2020-01-06,290.30212,290.3182168441208
2020-01-07,290.37244,291.7899927479192
2020-01-08,291.81467,289.77945254735744
2020-01-09,294.63083,292.89790803069394
2020-01-10,295.6359,294.7045056025524
2020-01-11,294.06293,294.1801610476766
2020-01-12,292.86877,291.4376748967142
2020-01-13,296.34103,294.3334522481295
2020-01-14,296.19174,296.22078911799576
2020-01-15,296.92813,296.7607083859798
2020-01-16,295.60394,296.85057010241565
2020-01-17,296.15057,295.04545103128925
2020-01-18,295.8613,297.2729325187008
2020-01-19,290.62698,296.30952238238183
2020-01-20,288.36737,290.2813418393342
2020-01-21,290.03848,287.40374548200634
2020-01-22,293.24207,289.7733816227575
2020-01-23,294.24646,293.54638757647825
2020-01-24,294.01688,294.503384608956
2020-01-25,294.10574,296.2085078627472
2020-01-26,294.5323,294.09626634883693
2020-01-27,295.8153,293.3327435176789
2020-01-28,296.19278,295.3330879949345
2020-01-29,292.38077,295.1935739423844
2020-01-30,291.66293,292.7005839387776
2020-01-31,291.75183,293.11938571970865
2020-02-01,290.4475,291.7104741847115
2020-02-02,290.59543,288.20267781568407
2020-02-03,292.843,291.6334659563326
2020-02-04,296.69345,292.6420998313418
2020-02-05,296.095,295.3163948380834
2020-02-06,289.11853,295.5290884829997
2020-02-07,290.97736,291.0434284184574
2020-02-08,294.93726,292.03155512730183
2020-02-09,297.23462,295.43289247158117
2020-02-10,297.82037,297.9889880457572
2020-02-11,296.93335,297.3564856719368
2020-02-12,295.97665,296.12638386180447
2020-02-13,293.0092,293.4924643633171
2020-02-14,291.675,291.94337261331435
2020-02-15,294.50974,293.5351044315617
2020-02-16,295.7715,294.426545230361
2020-02-17,297.1633,297.37182376427063
2020-02-18,297.7789,297.93501803296977
2020-02-19,297.28,295.61508658011246
2020-02-20,293.9841,296.1859952684828
2020-02-21,288.05185,294.9144737711797
2020-02-22,291.5725,290.41073296578145
2020-02-23,295.15356,294.46312939951747
2020-02-24,297.72888,296.2712173537013
2020-02-25,297.92657,296.9584097538227
2020-02-26,290.2621,295.3227298479633
2020-02-27,289.0069,290.3752130097271
2020-02-28,290.7861,289.2045246054876
2020-02-29,292.79422,291.60990210349604
2020-03-01,296.13644,293.4886023693996
2020-03-02,298.61224,295.1839940654697
2020-03-03,300.66016,299.93807038310223
2020-03-04,301.50397,301.02117665885964
2020-03-05,295.4715,301.14822594715247
2020-03-06,293.54956,295.1933248082249
2020-03-07,293.78635,292.8810598906733
2020-03-08,294.46033,293.35874630336883
2020-03-09,297.11594,295.4487323979662
2020-03-10,297.3328,298.145100551976
2020-03-11,298.18658,298.1749426975194
2020-03-12,297.85547,296.4553036873947
2020-03-13,299.11792,297.636965272632
2020-03-14,299.4834,300.2185299935962
2020-03-15,298.67532,300.12561843294793
2020-03-16,297.4798,299.2566970135696
2020-03-17,299.02948,297.94453512408586
2020-03-18,299.44537,296.53291071514127
2020-03-19,300.74628,297.21776386460647
