Fecha,temp,temp_holtwin_predicts
2020-01-01,292.9391,292.9380763252698
2020-01-02,294.51678,293.30235712054997
2020-01-03,294.41913,292.43321201943303
2020-01-04,291.25348,293.4449843812708
2020-01-05,289.93765,291.546446976207
2020-01-06,290.4856,290.50292971920294
2020-01-07,290.56183,292.0303589735486
2020-01-08,292.05844,289.94991611990304
2020-01-09,294.97662,293.1822257033016
2020-01-10,296.0236,295.0535823080429
2020-01-11,294.3958,294.51922822970533
2020-01-12,293.1584,291.67615283792736
2020-01-13,296.75858,294.6758554837125
2020-01-14,296.60938,296.6365573566397
2020-01-15,297.37244,297.2027137623583
2020-01-16,296.00244,297.2929922952953
2020-01-17,296.57098,295.4258982661613
2020-01-18,296.2734,297.73644101792917
2020-01-19,290.8495,296.7405048901024
2020-01-20,288.5102,290.49264016349434
2020-01-21,290.24396,287.5145482886991
2020-01-22,293.56573,289.97198942650607
2020-01-23,294.60864,293.8840468454046
2020-01-24,294.3729,294.8772544345479
2020-01-25,294.46713,296.6467095398588
2020-01-26,294.9079,294.45904857211025
2020-01-27,296.23953,293.66484197042166
2020-01-28,296.6328,295.7423442515368
2020-01-29,292.68488,295.6005191050806
2020-01-30,291.93982,293.0178071440486
2020-01-31,292.03406,293.44925512218026
2020-02-01,290.68466,291.9942513395677
2020-02-02,290.83673,288.36024974873317
2020-02-03,293.16998,291.91363824292586
2020-02-04,297.16205,292.9657930456379
2020-02-05,296.5407,295.73673644131065
2020-02-06,289.3137,295.95488007371864
2020-02-07,291.24075,291.3100182461455
2020-02-08,295.34622,292.3341011310351
2020-02-09,297.7256,295.8611102407226
2020-02-10,298.33136,298.50576378728016
2020-02-11,297.4165,297.8505377443834
2020-02-12,296.42392,296.58259884493464
2020-02-13,293.34988,293.8488441887915
2020-02-14,291.96954,292.2464410885755
2020-02-15,294.90573,293.8982740888111
2020-02-16,296.21414,294.8188589782889
2020-02-17,297.65512,297.87334079619666
2020-02-18,298.2973,298.45544342387166
