parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,ndre_max,ndre_mean,ndmi_mean,msi_mean,lluvia_acum,etc_acum,rendimiento,pred
1,0.6378224222,0.5179130052,0.5544349993,0.4935038748,1.4902545751,1.0782637733,0.3587782727,0.2690238837,0.4242634502,0.33688363115,0.0285787482,0.9865721411,886.59,1545.57778332833,70,57.1036810938629
10,0.7788958653,0.60387054645,0.6510877399,0.5577149021,2.4287459043,1.71199275565,0.4835769841,0.35197696165,0.5599002465,0.4286215275,0.13953316675,0.81273304455,865.29,1437.08130740952,80,68.55297766367569
11,0.7746283089,0.6004874001,0.6444371539,0.5299912002,2.3374092942,1.6649143522,0.4738256397,0.3507093391,0.5478875121,0.418468747,0.15033858875,0.791750665,870.38,1523.60008100006,80,67.63654572855333
13,0.7486486013,0.56969316605,0.6083588145,0.498478614766667,2.0654180693,1.38436800221667,0.4485452206,0.315832300183333,0.5113268225,0.377473330183333,0.112173958183333,0.864073597183333,882.55,1656.79697239928,65,62.73194103249486
14,0.7377554503,0.593794221083333,0.6303196604,0.548742125733333,2.2294457635,1.62975333121667,0.4474177766,0.339798783866667,0.5284582816,0.417033962266667,0.135535094683333,0.819228336866667,883.66,1670.73313980404,75,66.34884304794761
15,0.7694509746,0.590529120516667,0.6399362893,0.51959815565,2.2913330235,1.53171987266667,0.4710462087,0.335894105533333,0.5421011744,0.403192344916667,0.161291595666667,0.781332406483333,874.21,1839.70304452364,75,67.07046676631091
16,0.6871565432,0.5308464242,0.5831013226,0.4865866447,1.5496618777,1.0802109733,0.3833980383,0.2759930833,0.4409766138,0.3381186459,0.049027739,0.935926446,855.78,1523.01957845496,40,60.32226909312365
2,0.7252521985,0.5544883855,0.6093613653,0.496693731083333,2.0679748231,1.39237085496667,0.4349721411,0.310608170283333,0.505090742,0.375497868283333,0.11708546075,0.852682223266667,891.78,1954.29468400378,75,63.43849823479597
5,0.7420037237,0.5897144842,0.6286882971,0.53647624315,2.2397447323,1.5499279837,0.4517456006,0.33365344735,0.5257211614,0.40451049615,0.118724219,0.8410201585,833.55,1246.91437117898,80,65.99884577762825
6,0.7350553907,0.6043608627,0.6247160315,0.5345926727,1.9515563916,1.4530087606,0.4268777501,0.3366388896,0.5030182782,0.4061683882,0.1305244982,0.8049999049,879.25,1354.86315382728,80,65.55550078705068
