Fecha,Temperature,Dia
2022-09-18,299.44745,199
2022-09-19,299.43884,200
2022-09-20,299.22263,201
2022-09-21,299.75208,202
2022-09-22,299.2871,203
2022-09-23,300.23383,204
2022-09-24,300.86346,205
2022-09-25,300.42764,206
2022-09-26,298.49915,207
2022-09-27,298.31277,208
2022-09-28,298.64325,209
2022-09-29,297.81998,210
2022-09-30,297.45316,211
2022-10-01,298.16238,212
2022-10-02,297.9263,213
2022-10-03,298.18637,214
2022-10-04,298.4876,215
2022-10-05,298.20175,216
2022-10-06,297.0189,217
2022-10-07,297.39975,218
2022-10-08,297.59155,219
2022-10-09,298.35916,220
2022-10-10,297.7648,221
2022-10-11,299.3,222
2022-10-12,301.21198,223
2022-10-13,302.0904,224
2022-10-14,301.07742,225
2022-10-15,301.0403,226
2022-10-16,301.04236,227
2022-10-17,300.88516,228
2022-10-18,293.07617,229
2022-10-19,291.38586,230
2022-10-20,293.8067,231
2022-10-21,295.2417,232
2022-10-22,296.83658,233
2022-10-23,298.31073,234
2022-10-24,300.13452,235
2022-10-25,298.09653,236
2022-10-26,297.6501,237
2022-10-27,299.35446,238
2022-10-28,300.1625,239
2022-10-29,296.39374,240
2022-10-30,296.34534,241
2022-10-31,297.49173,242
2022-11-01,298.1612,243
2022-11-02,297.87396,244
2022-11-03,298.891,245
2022-11-04,299.61945,246
2022-11-05,298.34775,247
2022-11-06,298.27014,248
2022-11-07,297.93384,249
2022-11-08,298.8308,250
2022-11-09,297.70837,251
2022-11-10,297.69046,252
2022-11-11,298.38843,253
2022-11-12,294.07233,254
2022-11-13,292.40186,255
2022-11-14,296.52368,256
2022-11-15,294.2071,257
2022-11-16,290.825,258
2022-11-17,287.48346,259
2022-11-18,291.3459,260
2022-11-19,290.4914,261
2022-11-20,287.72632,262
2022-11-21,288.05676,263
2022-11-22,290.0284,264
2022-11-23,294.50848,265
2022-11-24,296.25128,266
2022-11-25,294.57022,267
2022-11-26,292.12424,268
2022-11-27,295.09106,269
2022-11-28,295.95816,270
2022-11-29,298.0194,271
2022-11-30,295.68222,272
2022-12-01,292.3499,273
2022-12-02,295.48587,274
2022-12-03,296.56128,275
2022-12-04,296.5527,276
2022-12-05,296.2157,277
2022-12-06,296.37625,278
2022-12-07,296.10822,279
2022-12-08,296.438,280
2022-12-09,296.53818,281
2022-12-10,295.693,282
2022-12-11,295.50528,283
2022-12-12,295.9146,284
2022-12-13,296.83075,285
2022-12-14,294.72177,286
2022-12-15,293.13095,287
2022-12-16,293.5894,288
2022-12-17,290.76392,289
2022-12-18,289.93863,290
2022-12-19,292.57568,291
2022-12-20,292.78534,292
2022-12-21,289.59167,293
2022-12-22,292.03036,294
2022-12-23,282.23907,295
2022-12-24,280.1699,296
2022-12-25,284.01105,297
2022-12-26,290.85815,298
2022-12-27,290.17148,299
2022-12-28,292.51996,300
2022-12-29,294.87906,301
2022-12-30,295.15836,302
2022-12-31,294.91882,303
2023-01-01,295.69568,304
2023-01-02,296.60126,305
2023-01-03,297.88495,306
2023-01-04,295.33743,307
2023-01-05,294.5221,308
2023-01-06,295.34735,309
2023-01-07,296.3531,310
2023-01-08,295.82498,311
2023-01-09,295.62595,312
2023-01-10,296.13345,313
2023-01-11,295.77454,314
2023-01-12,295.1277,315
2023-01-13,290.33054,316
2023-01-14,288.69852,317
2023-01-15,291.64407,318
2023-01-16,294.6785,319
2023-01-17,294.8072,320
2023-01-18,296.94598,321
2023-01-19,295.03534,322
2023-01-20,295.30334,323
2023-01-21,295.9893,324
2023-01-22,293.6501,325
2023-01-23,291.40042,326
2023-01-24,296.49472,327
2023-01-25,292.00607,328
2023-01-26,288.88004,329
2023-01-27,289.56598,330
2023-01-28,294.3916,331
2023-01-29,296.59012,332
2023-01-30,296.44946,333
2023-01-31,294.3889,334
2023-02-01,288.47717,335
2023-02-02,289.37143,336
2023-02-03,288.60382,337
2023-02-04,289.44894,338
2023-02-05,292.2041,339
2023-02-06,293.7558,340
2023-02-07,295.9828,341
2023-02-08,295.4746,342
2023-02-09,294.5677,343
2023-02-10,291.01376,344
2023-02-11,288.8629,345
2023-02-12,289.20987,346
2023-02-13,292.54147,347
2023-02-14,297.19794,348
2023-02-15,298.42056,349
