Fecha,Temperature
2022-11-05,298.63745
2022-11-06,298.5616
2022-11-07,298.2177
2022-11-08,299.14838
2022-11-09,297.98987
2022-11-10,297.9759
2022-11-11,298.70035
2022-11-12,294.23035
2022-11-13,292.5006
2022-11-14,296.7763
2022-11-15,294.3804
2022-11-16,290.87704
2022-11-17,287.41904
2022-11-18,291.42258
2022-11-19,290.54385
2022-11-20,287.67984
2022-11-21,288.02682
2022-11-22,290.07114
2022-11-23,294.71805
2022-11-24,296.5252
2022-11-25,294.7866
2022-11-26,292.25662
2022-11-27,295.33212
2022-11-28,296.23734
2022-11-29,298.37448
2022-11-30,295.9539
2022-12-01,292.50757
2022-12-02,295.75836
2022-12-03,296.8761
2022-12-04,296.8684
2022-12-05,296.5259
2022-12-06,296.6935
2022-12-07,296.41916
2022-12-08,296.7621
2022-12-09,296.86926
2022-12-10,295.9968
2022-12-11,295.8035
2022-12-12,296.2344
2022-12-13,297.1871
2022-12-14,295.0051
2022-12-15,293.35785
2022-12-16,293.83627
2022-12-17,290.91183
2022-12-18,290.06
2022-12-19,292.79257
2022-12-20,293.01318
2022-12-21,289.70718
2022-12-22,292.2376
2022-12-23,282.09503
2022-12-24,279.95422
2022-12-25,283.93454
2022-12-26,291.03302
2022-12-27,290.327
2022-12-28,292.76053
2022-12-29,295.20844
2022-12-30,295.5012
2022-12-31,295.25516
2023-01-01,296.06354
2023-01-02,297.0019
2023-01-03,298.3376
2023-01-04,295.6978
2023-01-05,294.8563
2023-01-06,295.7136
2023-01-07,296.75912
2023-01-08,296.21402
2023-01-09,296.00778
2023-01-10,296.53918
2023-01-11,296.1694
2023-01-12,295.4991
2023-01-13,290.53036
2023-01-14,288.84473
2023-01-15,291.89697
2023-01-16,295.04346
2023-01-17,295.17896
2023-01-18,297.39737
2023-01-19,295.4175
2023-01-20,295.6974
2023-01-21,296.41034
2023-01-22,293.98853
2023-01-23,291.65952
2023-01-24,296.9405
2023-01-25,292.29138
2023-01-26,289.0509
2023-01-27,289.76382
2023-01-28,294.76642
2023-01-29,297.0467
2023-01-30,296.89975
2023-01-31,294.76666
2023-02-01,288.64297
2023-02-02,289.5684
2023-02-03,288.77725
2023-02-04,289.65515
2023-02-05,292.50888
2023-02-06,294.11893
2023-02-07,296.42752
2023-02-08,295.90308
2023-02-09,294.9621
2023-02-10,291.2782
2023-02-11,289.05374
2023-02-12,289.41202
2023-02-13,292.86523
2023-02-14,297.6925
2023-02-15,298.95822
