parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,ndre_max,ndre_mean,ndmi_mean,msi_mean,rendimiento,ndvi_max_pred,ndvi_mean_pred,gndvi_max_pred,gndvi_mean_pred,cire_max_pred,cire_mean_pred,ndre1_max_pred,ndre1_mean_pred,ndre_max_pred,ndre_mean_pred,ndmi_mean_pred,msi_mean_pred
1,0.72202550874654,0.521283218777837,0.61119542403149,0.49486699115218,2.13760717522992,1.07951138428385,0.437886057656015,0.269966324233449,0.508344673412662,0.337101899839738,0.0324723648151013,0.978848498413347,70,57.56877458049658,62.70477371693745,56.318018890736354,63.761124160622046,59.65474117905031,59.969994523821185,59.316999146518846,61.091306183432955,59.09423102299558,60.98129779210363,60.87879893131171,64.08360531292591
10,0.789002183802315,0.592955350349875,0.674873831020351,0.551287260629017,2.7121668199982,1.65268455882076,0.495965222431714,0.342262837366163,0.580282365245761,0.418252307533005,0.129166963153744,0.836552283306341,80,68.2701159646716,69.50660669961928,67.03797239695801,73.13013786914446,66.7766559659839,71.15166667718924,67.96731480422372,70.22020630219248,67.97543658308932,71.34489669597829,68.30426385801661,69.50014967305958
11,0.784049706086602,0.576940121011365,0.669850753726836,0.516114964355885,2.93479698829211,1.60079325883406,0.501269355315775,0.334254842301152,0.57281645270513,0.401794070831624,0.131011236919758,0.831292505472829,80,67.47882325434774,67.98672843242414,66.19236149695453,67.2895112823028,69.53625299307649,70.13935219730777,68.75731279945553,69.20903461586497,67.05371804754246,69.24303955580407,68.4458911091772,69.13157330167078
13,0.768197495774002,0.561279244628557,0.643851282031004,0.49035524550064,2.45382530781309,1.3383663804269,0.46935840688606,0.308716047256367,0.543742832734437,0.370579915376839,0.103764842950626,0.880519392547207,65,64.9460024759558,66.50047899094884,61.81547550144903,63.01191457246156,63.574401417716864,65.0198325670469,64.00449347225208,65.98424411055612,63.464378596190095,65.25672579039063,66.35355972486946,70.99491981132248
14,0.770015526757869,0.583555716374944,0.663563877105775,0.5422403806836,3.02705716545772,1.56596030291609,0.50209366378773,0.330634903789005,0.591365987516085,0.408295483931093,0.127431326494743,0.832561638800373,75,65.23648226148065,68.61456206534521,65.13399605937512,71.62783483135472,70.6798577101566,69.45981813934675,68.88008537218914,68.75194400828923,69.34378640395317,70.0733254358944,68.17097917243593,69.22421895378663
15,0.808480059888382,0.59257277945402,0.689769498989699,0.522207248887828,2.87058179331657,1.51476438004226,0.518705658973922,0.334710454418922,0.57821852612374,0.403675455675269,0.160873519382239,0.781158600198491,75,71.38223523995788,69.47029993322954,69.54558644740776,68.30118134033799,68.74027793494903,68.461069330792,71.35427732415329,69.26656488026907,67.72064137047454,69.48330843993666,70.7391043275612,63.583201775404895
16,0.711976168125636,0.516251144091744,0.595419214020344,0.481170747391144,2.02000608803381,1.04553121568843,0.432154247144713,0.266350896561101,0.494076191719903,0.328698569680079,0.0419343015866709,0.951556830455703,40,55.96311970765322,62.227219459509186,53.662169823195185,61.48675899465822,58.19702494456046,59.30709695319231,58.463302809727544,60.63478516080939,57.33268828073149,59.90812088878211,61.605409112678075,67.42271327689782
2,0.81248294995565,0.545351460351128,0.693114995727112,0.49004966488762,3.09181024560322,1.36267432655577,0.524393143421283,0.304899689071988,0.608581484589373,0.368623384579214,0.107619685770587,0.874197430225866,75,72.02180555451119,64.98889944025044,70.10878473040748,62.961170593763995,71.48250008712638,65.49404088036226,72.20137173327511,65.50235153824559,71.4691585757736,65.00686012728386,66.64958453545229,70.95440643431606
5,0.786532505239751,0.586496384965309,0.677971907809783,0.535718624189144,2.76141671254214,1.50362109471495,0.497870261048504,0.328689119541559,0.580433273576122,0.400642508126697,0.114244282517594,0.845075874570971,80,67.8755177947092,68.89363757447775,67.55951872187197,70.54484769629168,67.3871296411844,68.24368204056843,68.25105141508915,68.50624930908592,67.99406726011709,69.09597518082725,67.15830696300908,70.01133548674413
6,0.760923515699404,0.596541925114934,0.654772026489509,0.529126740864423,2.31446931577587,1.41094600496894,0.45930811082805,0.330115105695376,0.5382841451779,0.398991662149808,0.121241841593381,0.818588265260163,80,63.78378676526043,69.84698003576477,63.65393029930509,69.45021546913357,61.847023747922556,66.43574245728091,62.50760153706451,68.68630896348492,62.790465866401554,68.88514807542046,67.69567027370643,68.0740741880472
7,0.819192943504581,0.556715706491492,0.70156195496978,0.528422106515938,3.21544727429286,1.5414431957043,0.534599627064379,0.315121638504698,0.616913917411493,0.387618449506219,0.091287852529727,0.915878529608673,80,73.09390911284589,66.06738981754793,71.53078968675304,69.3332055907394,73.01503442164687,68.9815294350425,73.72152626044426,66.79307983684171,72.4978550327104,67.43269185940059,65.39541463348854,70.14139999254839
8,0.735129742489667,0.552516967250159,0.637814940487267,0.510857037486345,2.14216186145573,1.20088191506304,0.439030804498073,0.29074428725322,0.518351479321036,0.36013765447788,0.0817761140503439,0.883227973364119,80,59.66253153015775,65.66892081110188,60.79928643899565,66.41639264292174,59.711198480701775,62.33773527747674,59.48749783688752,63.714945151063034,60.32964041698088,63.92316004891619,64.6649800313064,70.99435131940075
9,0.785431528309231,0.558451324977497,0.673491977818532,0.512713153185173,2.74324000833536,1.34546932086959,0.495374745697392,0.304798172352291,0.583981681235041,0.373710421519608,0.107591748135963,0.850867360048337,70,67.6996068528808,66.23210358850082,66.80534405751926,66.72461473381519,67.16182154715668,65.15839932990914,67.87936915004391,65.48953299480081,68.43214272552105,65.65651811370715,66.64743912164842,70.29790933129
1,0.751310959321117,0.461243832049615,0.641514063899273,0.453520283476878,2.19981382467421,0.94628119387029,0.458219056704594,0.232682560538763,0.513145837942233,0.298274796048969,-0.0380097443720042,1.15436004183968,60,62.247920028176,57.00691219181248,61.422016071623204,56.89518972599109,60.42581944839441,57.37089118766305,62.34539772486091,56.38347533417158,59.68696798783843,56.0227456205903,55.4662687722213,16.52384466406759
10,0.792975790604419,0.581440751743053,0.677980877993046,0.540662608090686,2.90021977031419,1.56263940289124,0.506834761478084,0.330478093182788,0.587558767798446,0.406507207749437,0.129822227682458,0.829839302848412,75,68.90500748295591,68.41384756341996,67.56102880907528,71.36583372450053,69.10765345210578,69.39503280573098,69.58622485859473,68.73214349095183,68.87375880002,69.84494732168842,68.3545835641768,69.02259142498657
