parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,ndre_max,ndre_mean,ndmi_mean,msi_mean,lluvia_acum,etc_acum,rendimiento,ndvi_max_pred,ndvi_mean_pred,gndvi_max_pred,gndvi_mean_pred,cire_max_pred,cire_mean_pred,ndre1_max_pred,ndre1_mean_pred,ndre_max_pred,ndre_mean_pred,ndmi_mean_pred,msi_mean_pred,lluvia_acum_pred,etc_acum_pred
10,0.7940925934,0.641291275733333,0.659580619,0.561637318333333,2.3084224136,1.70972003953333,0.4799057273,0.370132330966667,0.5525277216,0.438628730866667,0.1769495787,0.736183948966667,455.78,1487.0008257624,65,53.536525276867806,52.46383714305986,55.15617141427698,54.83734166576843,55.0782615425926,55.18759263574019,55.042509492005266,53.953815574730996,55.1461681837716,54.421309128775796,51.95784664865891,51.326632483713155,52.41373261927912,53.6355729097856
11,0.8083343841,0.6443836641,0.6727001753,0.566477998833333,2.677409407,1.89038162183333,0.5066676148,0.3802186399,0.5867404922,0.454184984333333,0.202777122066667,0.7061839732,455.78,1493.21687553583,40,53.262138883792275,52.331237966283815,55.5195841711587,54.91399909060717,56.956114021912384,56.033982174089054,55.67931812673503,53.82357068247113,56.147523057099306,54.44448148917721,50.22820572472855,52.535693127224874,52.41373261927912,53.47476700704861
13,0.7056171003,0.561275850766667,0.5924352803,0.4959814345,1.6991796571,1.22408924596667,0.4006274098,0.301403097266667,0.4649570863,0.364954556833333,0.103942089033333,0.847179704,465.05,1555.5425343356,40,55.24111930852198,55.89483552422409,53.29624017188253,53.797609549555645,51.977696912226584,52.91243918063353,53.15605372049634,54.84131879295753,52.58311114745961,54.31156519096744,56.847074404011856,54.440656482223986,51.74185720836698,51.86243535072667
15,0.7686351407,0.61718374595,0.6356424074,0.539752436566667,2.0731595781,1.51661206218333,0.45513274,0.347441748066667,0.52851118,0.417470287683333,0.171917533483333,0.739609619233333,464.33,1686.1511488691,45,54.02699580619836,53.49754902667407,54.49308104190108,54.49077083153696,53.88095945108892,54.28289242377514,54.45302744516942,54.24681993783924,54.443241161204256,54.389791831116206,52.294836938995545,51.244085242656666,51.794041706301904,48.48365993373117
2,0.7270021028,0.5829627439,0.6037011328,0.5190651404,1.7844776034,1.3332280334,0.4183915729,0.3199137085,0.4886905679,0.3866022689,0.1213005859,0.8214270829,453.04,1442.35329835972,50,54.829109763831354,54.96491863302536,53.608305185517764,54.16316506391543,52.41179611573618,53.42374837396417,53.578758301809145,54.602290563534346,53.277753441679224,54.343811296172,55.684595799978105,52.65386683142187,52.61232362530925,54.790580705838096
3,0.7178747975,0.559710545516667,0.6148128932,0.5117861337,2.0640527948,1.39828032565,0.4325055784,0.310255696533333,0.500702217,0.375132818266667,0.0993028893166666,0.867251601916667,464.37,1492.40110708219,65,55.00495902552329,55.96195458009382,53.916101835681374,54.04789409963552,53.834613113943114,53.728514771474096,53.91460608433283,54.72700484071517,53.629315830578165,54.32672657559636,57.157756282280936,56.27923069829803,51.79114256752774,53.49587050322277
4,0.6893198536,0.5502408098,0.5949437046,0.5072959416,1.7453034192,1.2471197818,0.4000325442,0.2987613228,0.467383352,0.366448275,0.0833445041999999,0.886897718,467.61,1563.30180273969,65,55.555106701910304,56.368009386744816,53.36572372524722,53.97678703867224,52.21243044637354,53.02033596944572,53.14189868189588,54.87543212748458,52.6541241914217,54.31379021100651,58.22647101003361,58.45711002959931,51.55631232682059,51.66170720250116
5,0.808524343,0.6351411468,0.6864122278,0.5724940354,2.8600038245,1.89199106445,0.5155700677,0.37332821675,0.5969254993,0.4485996105,0.17131751505,0.7430689941,401.49,1305.38113266836,65,53.25847908155943,52.727549826245735,55.89940912008107,55.009269553290345,57.885375447776845,56.04152232388726,55.891155160912646,53.9125469796209,56.4456224602053,54.43616160060507,52.33501948453121,51.17227322670683,56.34858872051108,58.33397780796338
7,0.7913550018,0.63614387415,0.6590419346,0.5630539007,2.385317732,1.7141387905,0.4810641305,0.3656028515,0.5555991587,0.4380605096,0.17740022905,0.7417321514,464.79,1587.65503681523,65,53.589268495797285,52.68455366749219,55.14124981339227,54.85977478365354,55.46959800400816,55.208294240049995,55.070074108299934,54.01230491597849,55.23606439662624,54.42046271495211,51.92766711215876,51.198648631491004,51.76070161039904,51.03170198490759
8,0.8351579488,0.64600757225,0.7085613884,0.575700765766667,2.968222996,1.98337338531667,0.5335234122,0.3842226152,0.6172672755,0.460378579483333,0.191666778983333,0.7166787808,396.2,1264.65266851767,65,52.74534845185164,52.2616060642333,56.51294263693192,55.06005160595027,58.43612559113192,56.469643451727,56.31836138094769,53.77186719658678,57.04099478383733,54.45370737504387,50.972252644058955,52.01348694450727,56.73199982339406,59.38760152134438
9,0.7057903226,0.546431584433333,0.6061596667,0.4954140303,2.1370339551,1.47261856408333,0.4373430085,0.31345315015,0.5206296218,0.38400045,0.0948474860166667,0.92211364315,257.67,1033.74075296241,65,55.23778195838825,56.53134596930961,53.676406770819554,53.788624088768735,54.20602960087717,54.07678531415524,54.02971445468158,54.68571600011339,54.21256014430392,54.33993566600313,57.45612952556198,63.29766642866743,66.77244218301209,65.36117000728326
