parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,ndre_max,ndre_mean,ndmi_mean,msi_mean,lluvia_acum,etc_acum,rendimiento,ndvi_max_pred,ndvi_mean_pred,gndvi_max_pred,gndvi_mean_pred,cire_max_pred,cire_mean_pred,ndre1_max_pred,ndre1_mean_pred,ndre_max_pred,ndre_mean_pred,ndmi_mean_pred,msi_mean_pred,lluvia_acum_pred,etc_acum_pred
1,0.6378224222,0.5179130052,0.5544349993,0.4935038748,1.4902545751,1.0782637733,0.3587782727,0.2690238837,0.4242634502,0.33688363115,0.0285787482,0.9865721411,886.59,1545.57778332833,70,47.27663326926037,55.35137146096626,48.33496338516491,59.04904063503338,51.318890082190485,53.29790852014559,49.905461969810794,53.99574623487941,50.41928853718819,54.89420549246425,54.097922083081755,56.31384264937155,74.2648856094716,71.60537291629961
10,0.7788958653,0.60387054645,0.6510877399,0.5577149021,2.4287459043,1.71199275565,0.4835769841,0.35197696165,0.5599002465,0.4286215275,0.13953316675,0.81273304455,865.29,1437.08130740952,80,75.22612701714603,73.78074414977382,74.69655808160542,79.27537233115902,76.8206441450728,77.86203591469233,76.7172232946453,75.470978661114,76.41923604151529,77.00166460837676,71.89269637001232,71.66149177256192,73.27300662506045,68.98071170611479
11,0.7746283089,0.6004874001,0.6444371539,0.5299912002,2.3374092942,1.6649143522,0.4738256397,0.3507093391,0.5478875121,0.418468747,0.15033858875,0.791750665,870.38,1523.60008100006,80,74.38063804133644,73.0553945872079,72.88264104689463,70.54246750074668,74.33874186719763,76.03721815807127,74.62224398182957,75.14281134577467,74.11653889514051,74.55499656009005,73.62566066361893,72.56919419855902,73.51003310537278,71.07370566811025
13,0.7486486013,0.56969316605,0.6083588145,0.498478614766667,2.0654180693,1.38436800221667,0.4485452206,0.315832300183333,0.5113268225,0.377473330183333,0.112173958183333,0.864073597183333,882.55,1656.79697239928,65,69.23353409900629,66.4530836355342,63.04243833066229,60.616072730590275,66.94788687594844,65.16289100403937,69.19099749300574,66.11370072584435,67.10829307798392,64.67571507148354,67.50485001404674,68.58233252431604,74.07675457205278,74.29589985655875
14,0.7377554503,0.593794221083333,0.6303196604,0.548742125733333,2.2294457635,1.62975333121667,0.4474177766,0.339798783866667,0.5284582816,0.417033962266667,0.135535094683333,0.819228336866667,883.66,1670.73313980404,75,67.07538123140061,71.62037110029466,69.03215900710617,76.44896760507604,71.40503398731896,74.67433304028154,68.94877736832649,72.31824213959857,70.3921883735301,74.20923492728262,71.25148900811567,71.33925548693402,74.1284440402545,74.6330326315743
15,0.7694509746,0.590529120516667,0.6399362893,0.51959815565,2.2913330235,1.53171987266667,0.4710462087,0.335894105533333,0.5421011744,0.403192344916667,0.161291595666667,0.781332406483333,874.21,1839.70304452364,75,73.35490371835697,70.92033065783347,71.65505073096358,67.26868143564022,73.08670502149995,70.87443366402064,74.02511088842772,71.30738302707024,73.00736733885017,70.87361244368257,75.38229449931829,72.94428321333486,73.68838505421292,78.7206193559397
16,0.6871565432,0.5308464242,0.5831013226,0.4865866447,1.5496618777,1.0802109733,0.3833980383,0.2759930833,0.4409766138,0.3381186459,0.049027739,0.935926446,855.78,1523.01957845496,40,57.050717435261234,58.12430790639425,56.15357247561144,56.870128440289164,52.93317289259839,53.37338442576899,55.194773628044565,55.79996115894807,53.62300160093613,55.19182555112582,57.37751365263732,62.227155420751444,72.83015361371068,71.05966260818931
2,0.7252521985,0.5544883855,0.6093613653,0.496693731083333,2.0679748231,1.39237085496667,0.4349721411,0.310608170283333,0.505090742,0.375497868283333,0.11708546075,0.852682223266667,891.78,1954.29468400378,75,64.59823492850201,63.19316526964583,63.31587949423539,60.05383831484971,67.01736189886903,65.4730915786475,66.27495642243261,64.7612565899563,65.91291121955265,64.19965833891281,68.29255257448271,69.37070751292225,74.50656879863095,81.49272995776309
5,0.7420037237,0.5897144842,0.6286882971,0.53647624315,2.2397447323,1.5499279837,0.4517456006,0.33365344735,0.5257211614,0.40451049615,0.118724219,0.8410201585,833.55,1246.91437117898,80,67.91704985607889,70.74567191274413,68.58721209871763,72.58524169835434,71.68488928407785,71.58020280428974,69.87856729037125,70.72731226340522,69.86751525049621,71.19126714974124,68.55537521418186,70.11568088107762,71.7949672370224,64.38034310651628
6,0.7350553907,0.6043608627,0.6247160315,0.5345926727,1.9515563916,1.4530087606,0.4268777501,0.3366388896,0.5030182782,0.4061683882,0.1305244982,0.8049999049,879.25,1354.86315382728,80,66.5404449793973,73.88586838640532,67.50379475200029,71.99192116920716,63.85390783581415,67.82349258664965,64.53595705996091,71.50019577536477,65.51564475886863,71.59079430451855,70.44789385049138,72.01970882292665,73.92308318010176,66.99175495288526
7,0.7887253832,0.5445686587,0.6767574776,0.5178565276,2.4323534117,1.4969182942,0.4712202434,0.3094343946,0.5619064216,0.3799943536,0.0674113581,0.9477589857,865.94,1319.78008494553,80,77.17355272005479,61.06636709103516,81.69786210061775,66.72007244880695,76.91867144019255,69.52548098741028,74.06250051197668,64.45738473566499,76.8037957532407,65.28324395901753,60.32586268403698,60.951748218319516,73.30327523256595,66.14305300889697
8,0.7032923154,0.55747560565,0.5876042653,0.51255300235,1.7634755991,1.2134124929,0.4039286902,0.29350554515,0.4728485473,0.36414172115,0.0873368675499999,0.873303381,891.9,1459.82156049656,80,60.247539277211516,63.83362790558547,57.3817295838507,65.0494737156003,58.74316257365429,58.53644180160247,59.60557989688285,60.33365897798502,59.732469094023806,61.46299695410609,63.52149876458719,67.89956903522167,74.51215684924736,69.53082598108907
9,0.7482215073,0.5839626207,0.6296790798,0.5274512692,2.1233070154,1.4342724828,0.4456726152,0.3224883692,0.5219509421,0.3936523933,0.1313672958,0.8091424439,890.03,1443.49631598757,70,69.1489181654865,69.51246730317592,68.85744356662542,69.74239484887568,68.52091117619432,67.09725104239811,68.57384680690313,67.83685112255586,69.14480941731662,68.57462697830191,70.58306100523437,71.8312544240269,74.42507639380844,69.13589853624198
1,0.6512525625,0.497295015833333,0.5667661228,0.474493820266667,1.5270857154,1.0396701337,0.368123682,0.257175124266667,0.4275598631,0.3210277644,-0.0046570701333332,1.06770365116667,653.77,1155.53779247926,60,49.937414874214895,50.930856348428904,51.69822114527395,53.06091546836703,52.319707727023456,51.801970814664344,51.91323016568088,50.928290884437324,51.05117136464026,51.07317906969105,48.76759010340871,44.37013013019517,63.42313607188439,62.16983295306183
10,0.7965685909,0.629578321533333,0.6600610961,0.5682260822,2.5858456834,1.78172892095,0.4991195364,0.36583675325,0.5789106444,0.4441754819,0.17911959395,0.739835725166667,658.18,1416.69398940101,75,78.72745031947137,79.2925138109469,77.1440001069709,82.58637083344144,81.08953806586848,80.56509683843953,80.05638599890347,79.05905825194702,80.06330137569753,80.74993467636342,78.24153354167092,73.9403980540775,63.62849693203712,68.48751778157958
11,0.8109556015,0.6410295244,0.6749039001,0.571797406683333,2.7319613357,1.88613820345,0.5113111201,0.376820118783333,0.5956966976,0.45562673275,0.199270314216667,0.710449983266667,658.18,1440.54271596961,75,81.5778072256286,81.74766180955194,81.1923072814775,83.71133015323085,85.05995879726572,84.61213111954925,82.67562644352992,81.90247688666955,83.28098650178629,83.50951463257454,81.47328873944008,74.16439520218974,63.62849693203712,69.06444737313377
13,0.6673009887,0.5330805696,0.5558404663,0.47366437205,1.3487218845,1.02690625375,0.3558612818,0.2734028801,0.4119276417,0.32673406575,0.06872670675,0.89737732925,650.7,1062.85012345549,50,53.11693171228025,58.603310651456894,48.718298106800546,52.79964111315877,47.47300279986905,51.30722687542102,49.278775500694614,55.12939875034517,48.05466195964765,52.44831223512689,60.53681717004351,65.93342665939328,63.280175110281476,59.92760593611075
14,0.702393661,0.53956151625,0.6035515392,0.49983567775,1.895898854,1.3308196804,0.4132874718,0.29926022555,0.4848140103,0.36535006905,0.0854472288499999,0.8963524354,657.65,1309.51407507601,65,60.06949771969094,59.992831331693054,61.731275892162245,61.04354457129429,62.34151790587122,63.08729112537955,61.61622099834579,61.823454199365294,62.02610487982398,61.75419070129135,63.21844013393702,66.02259032762746,63.60381637514803,65.89470579153604
15,0.7526896384,0.5938866281,0.6183222841,0.52181216755,2.0395822439,1.49268546983333,0.4497215014,0.339724348933333,0.5197748704,0.403409662733333,0.149974955816667,0.780777043,599.52,1139.88011961922,50,70.03414503384657,71.64018324620359,65.75992927540955,67.96609029127723,66.24584643629515,69.36141142474634,69.44370971821056,72.29897211932345,68.72768256450809,70.92598278285816,73.56734152629643,72.96286948939103,60.89687152238647,61.79105487525345
16,0.6080801851,0.493257906,0.5470376403,0.466808726966667,1.164440696,0.891223027466667,0.3176156079,0.245579343033333,0.3799245903,0.304587600433333,-0.0211438472,1.06824786703333,610.53,996.351545628944,30,41.38409636360528,50.06529643801042,46.3173674166336,50.640128062564656,42.46550470018106,46.047975446888174,41.06207302988488,47.92632756609349,41.92006073729275,47.11134576837631,46.12345496706827,44.27974089908327,61.40957516644126,58.31892476673894
2,0.7814160199,0.614988901416667,0.6464411501,0.5393527472,2.2300227027,1.61553031696667,0.4731859887,0.355094550283333,0.5450876632,0.4201102133,0.14820976605,0.789692480966667,606.51,1174.83998308477,65,75.72542046096218,76.16452926492983,73.42922188122648,73.49133411716463,71.42071123561084,74.12303123193453,74.48482132937747,76.27807276979274,73.57984143246205,74.95056535511614,73.28424190861618,72.64727179644176,61.222375470791825,62.63677633094433
3,0.6760044499,0.563202465966667,0.5737940207,0.505541435366667,1.6482823351,1.2442699943,0.3879977081,0.3046661365,0.4506676276,0.367181348933333,0.0974600730333333,0.8473571705,654.37,1293.89852976897,50,54.841262876593944,65.06147181058547,53.61504828186281,62.84084561108628,55.613000155709734,59.73251712177518,56.182966915196154,63.222958557681615,55.48065274676838,62.19550172717446,65.14504975958393,69.71867117089647,63.4510763249664,65.51694683027779
4,0.7428678641,0.5756661116,0.6309486826,0.5122323565,2.2829568271,1.52477644485,0.4569679957,0.3322555961,0.5329992777,0.39567894575,0.1080566787,0.87313835125,648.12,1184.09670007223,65,68.08825349424329,67.7336884316946,69.20372194664131,64.94847098146266,72.85909748381786,70.60529772390464,71.00054691175046,70.36543080905886,71.26264287730811,69.06299576826956,66.8445242691184,67.91212267476106,63.16003202202885,62.860707530597544
5,0.7758504254,0.60003814515,0.6563320036,0.540478332016667,2.2607091228,1.5451610533,0.4713631518,0.33852426425,0.5460087351,0.410854742516667,0.128622683583333,0.831373026216667,712.72,1445.50880411428,75,74.62276396330553,72.95907392952688,76.12690711550187,73.84589084692476,72.2545575526861,71.39543062424468,74.09320295969533,71.98828928340416,73.75639987162441,72.72013551006708,70.14288245679079,70.6844291850101,66.16826593719136,69.18458306242039
6,0.7595438129,0.59846779815,0.6498465371,0.5418927561,2.1959588177,1.53629281435,0.4537377939,0.3376667491,0.5317152713,0.40853258365,0.1368180234,0.81590174685,657.21,1197.99497836839,75,71.39209521302287,72.62239014712807,74.35802567221307,74.29143130736344,70.49508859993149,71.05168659895918,70.30657019739914,71.7662922507399,71.01651424624413,72.16053000080586,71.45724401307766,71.50672627756137,63.58332685622122,63.196923722168435
7,0.7961441643,0.613678494433333,0.6673902325,0.555524835166667,2.6522001386,1.79256931386667,0.4999610426,0.3588689926,0.5816532423,0.435801620233333,0.1609980866,0.7854714486,665.44,1432.11933865557,75,78.64336285167825,75.8835768514628,79.14298867214075,78.58550608710485,82.89259681008659,80.98528401628421,80.23717523249942,77.25521584914534,80.58902450814134,78.73195942509042,75.33522176746351,72.80127178281684,63.96657399432939,68.86067566988089
8,0.7497140971,0.58688256435,0.6442860628,0.5317693952,2.2020109543,1.5071299676,0.4464650022,0.3286497826,0.5279887833,0.4008198607,0.13626322845,0.82218212,657.21,1179.0527954228,75,69.44463030213355,70.13850579815399,72.84143163766615,71.1025949960187,70.65954414078314,69.92129821101102,68.74408326914357,69.43194304812457,70.30219117891653,70.30187927876447,71.36826647581691,71.18626554872574,63.58332685622122,62.7386893657759
9,0.7653320659,0.59118879985,0.6581450295,0.53673637525,2.2551884611,1.49886251435,0.4601426509,0.33237605545,0.5412418211,0.40279760405,0.13271968775,0.8088699112,657.21,1181.50411417322,75,72.53886484931796,71.06176648896945,76.62140167047517,72.66718273497452,72.10454385244469,69.60084139032344,71.68258999181262,70.39661581874256,72.84263961527392,70.77848580661727,70.79995646385792,71.84389637262406,63.58332685622122,62.79798973644268
