parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,ndre_max,ndre_mean,ndmi_mean,msi_mean,rendimiento,ndvi_max_pred,ndvi_mean_pred,gndvi_max_pred,gndvi_mean_pred,cire_max_pred,cire_mean_pred,ndre1_max_pred,ndre1_mean_pred,ndre_max_pred,ndre_mean_pred,ndmi_mean_pred,msi_mean_pred
1,0.751310959321117,0.461243832049615,0.641514063899273,0.453520283476878,2.19981382467421,0.94628119387029,0.458219056704594,0.232682560538763,0.513145837942233,0.298274796048969,-0.0380097443720042,1.15436004183968,60,59.649334399277535,46.18855256197776,56.37227733888918,51.442656035817535,55.928577540018566,48.39136961188719,60.457539886927975,45.61918758605144,56.27302887929941,48.057947722921305,37.78539729826429,26.54274634025445
10,0.792975790604419,0.581440751743053,0.677980877993046,0.540662608090686,2.90021977031419,1.56263940289124,0.506834761478084,0.330478093182788,0.587558767798446,0.406507207749437,0.129822227682458,0.829839302848412,75,68.96290874964026,76.31104267631139,66.55588680806511,79.34403883788114,70.45424386017204,76.72822007253238,70.45518471866124,76.1339391663454,70.38450439935005,77.23544773913466,76.0219158791883,72.13727603031208
11,0.801741008939484,0.594824639117298,0.689579032395677,0.542718051436831,3.12324463596999,1.68753055170962,0.518910644352002,0.345493453808908,0.604629271983135,0.421787790229831,0.149708377329958,0.793792957182154,75,70.92224736079905,79.66517201798086,69.79475145623206,80.00215430453763,75.07953980430213,82.47004642631154,72.93854659864525,80.81912249739169,73.62171065345979,81.3548163142647,80.55250156671704,73.30192620912652
13,0.66849493041216,0.483523315974606,0.582348911872056,0.44095321560296,1.43243390542904,0.899993900467801,0.358433241267176,0.242947682889963,0.424311916621224,0.293716429639449,0.0315865333062915,0.970694906267973,50,41.137001122303985,51.77200291989601,39.85000037550378,47.41891013503236,40.01394300967259,46.263327684031964,39.936945839463064,48.822172937420945,39.42679384334807,46.82909461045664,53.64125200838923,60.10971824869531
14,0.811390077139082,0.465162262731338,0.703278837988274,0.451743965533211,2.94189579815776,1.118016871019,0.513234803683221,0.249765156183433,0.594892938580561,0.31422801827792,0.0269818227955295,1.01984555384817,65,73.07915790911304,47.17054852139955,73.62051670130907,50.87391143158449,71.31855987258392,56.286856572060415,71.77133037926994,50.949402048312606,71.7753375737953,52.35864780463131,52.592178361400244,53.11063166474397
15,0.784649740521895,0.53460343380208,0.676323520964124,0.485585293227038,2.56289239855117,1.2687408429419,0.491877143541198,0.298746847406337,0.564743111156701,0.358803373334916,0.0889675985059672,0.887605447134372,50,67.1017398909172,64.57316578015426,66.09305842140827,61.70928726875751,63.45843682371576,63.216337822903185,67.37920438764496,66.2329645919121,66.05780229534756,64.375357055254,66.71416141201962,68.6448354158224
16,0.653471141251014,0.457563309673253,0.596158465782987,0.441478813711084,1.38958994358168,0.803474766003975,0.352036926088979,0.22236191020148,0.419247219417291,0.280802608150165,-0.0416901158269266,1.12142513251746,30,37.778648932538005,45.26617868434168,43.706413595776525,47.5871970619625,39.12540530164458,41.82589464612888,38.62156662853967,42.39887605775681,38.46633776739635,43.34776197827127,36.946912295685784,34.051525253057505
2,0.796460039871669,0.515383763491586,0.678979421894622,0.473634861054744,2.71766755308098,1.2607466642526,0.492250238686705,0.286786791376677,0.567933539099485,0.346337686939782,0.066460569972731,0.944313604833428,65,69.74176260806775,59.75653378654573,66.83473708287468,57.88297687174939,66.66830713299184,62.84880828770935,67.45593006241614,62.50111581759316,66.66282679713882,61.014833536636324,61.58647087619485,63.268544538470366
3,0.713524499426732,0.514107275811773,0.61050676480978,0.472190505887379,2.03670588319809,1.08193221046472,0.427125792905963,0.271843061462369,0.495219811076901,0.332381947415392,0.064085327639549,0.912312350087823,50,51.20271424449015,59.436633845562994,47.713275107179214,57.42052069324613,52.54589418788855,54.627877077532396,54.063322019132855,57.83828313301677,52.87358351717351,57.2526186529279,61.045328467539605,66.53970055220033
4,0.783366068946176,0.533963422641978,0.677123894207989,0.482381632109307,2.78510446184751,1.32177700685229,0.487030220847367,0.300365223442198,0.568395014600259,0.360148211977313,0.0616976170609953,0.955246600311029,65,66.81479355527472,64.41277290242991,66.31656817260674,60.68353341596513,68.06687612073821,65.65465668316827,66.38245216846879,66.73794003774925,66.75033981732037,64.73790122195828,60.501345466058154,62.01013434412368
5,0.779337333705219,0.541131417775853,0.679993041198148,0.501237509252208,2.69809050909894,1.3245491759289,0.481234005367466,0.295752376037258,0.567391795453269,0.366225616184769,0.0715485414872447,0.954790048126723,75,65.91422768115783,66.2091405889766,67.11779726770416,66.72084133223107,66.26230028769265,65.78210617508029,65.19048130213582,65.2986115854782,66.5600919335003,66.37625944178919,62.74564403594765,62.06411958987308
6,0.794706853435986,0.547816799838595,0.693483224562296,0.506431249520946,2.621129452968,1.32737884139627,0.490585529247674,0.302744803305019,0.570626855029642,0.369919150427052,0.0826662157225443,0.910230830571319,75,69.34986297195124,67.88456085439694,70.88502405902173,68.38378222868714,64.6662107228287,65.912199043203,67.11358855369978,67.48043089000282,67.17358026282835,67.37196944880947,65.27854138721483,66.73118592711833
7,0.811294551840716,0.576749441229448,0.700784378336126,0.531808153355036,3.293242187057,1.61558100088216,0.530983407259223,0.331037911917569,0.617877220957281,0.405970617174363,0.121559358913393,0.856947217303134,75,73.05780460126874,75.1353556875786,72.92392163082195,76.50900394320986,78.60510625288055,79.16219129812742,75.42126686869955,76.30861718240588,76.13401742596261,77.09079262827703,74.13941797755152,70.74774464002526
8,0.81215192802535,0.545231381840744,0.707018309885947,0.502687735358972,2.9673158650437,1.32175891683094,0.507538350091096,0.297714439285867,0.591411554374588,0.366366822065358,0.0921465468620062,0.89863556100486,75,73.2494587276835,67.23663053904181,74.66479003236935,67.1851772784397,71.84574473119297,65.65382500084081,70.59987518634694,65.91082638708944,71.115136878924,66.41432599245033,67.43840910091669,67.750286608933
