parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,msi_mean,rendimiento,ndvi_max_pred,ndvi_mean_pred,gndvi_max_pred,gndvi_mean_pred,cire_max_pred,cire_mean_pred,ndre1_max_pred,ndre1_mean_pred,msi_mean_pred
1,0.72202550874654,0.659826649499575,0.61119542403149,0.495579910233964,2.13760717522992,1.08927858013321,0.437886057656015,0.271793028032956,0.973474991825385,70,54.73079539786562,65.32971082090644,53.24644782311282,62.69316743472829,57.140919875511884,58.010148224815836,56.63173056350638,59.73419606900497,64.12156353385595
10,0.789002183802315,0.67310888870374,0.674873831020351,0.551287260629017,2.7121668199982,1.65268455882076,0.495965222431714,0.342262837366163,0.836552283306341,80,67.8095399064807,65.87714619159217,66.29098692193716,71.38569452539022,65.922223659073,70.78106697777889,67.34500923846373,68.56034480698406,65.02342095585917
11,0.784049706086602,0.668129280146651,0.669850753726836,0.516114964355885,2.93479698829211,1.60079325883406,0.501269355315775,0.334254842301152,0.831292505472829,80,66.84245411617414,65.67190866993505,65.26200816367245,65.89743963574216,69.32480014869508,69.60482888094589,68.32340921951385,67.55736557083216,64.82864352488984
13,0.768197495774002,0.638861335840935,0.643851282031004,0.493181417815823,2.45382530781309,1.35806936808102,0.46935840688606,0.312645449994119,0.870845428440091,65,63.74694350143136,64.46561297732435,59.936009271388855,62.31890873863906,61.97385151170974,64.1029222532755,62.43711790265297,64.85084894415328,65.87723879406914
14,0.770015526757869,0.723099639547313,0.663563877105775,0.54109952754874,3.02705716545772,1.57567504320151,0.50209366378773,0.333061910202563,0.822498598228368,75,64.10195608942476,67.9375446528944,63.974139767290296,69.7960094090684,70.73486201119,69.03546557420576,68.47546110263386,67.40795412448254,64.46507859227249
15,0.808480059888382,0.676692680906423,0.689769498989699,0.521296127902112,2.87058179331657,1.50635122344764,0.518705658973922,0.333292153597607,0.784162017767104,75,71.61304559988804,66.02485431390345,69.34236858202257,66.70590394372562,68.34336481863767,67.46407850482446,71.53970857354771,67.43679147298432,62.325847474792276
16,0.711976168125636,0.611481752313604,0.595419214020344,0.481766290386121,2.02000608803381,1.05837794314818,0.432154247144713,0.268725594138405,0.946937670161107,40,52.768429270383194,63.33714719477729,50.0146868847832,60.5377020626372,55.34355926839409,57.309712767474906,55.574441197228836,59.350008456559316,65.19500230622089
2,0.81248294995565,0.658498597301916,0.693114995727112,0.488313722605004,3.09181024560322,1.3539825493955,0.524393143421283,0.304080545807122,0.871916662980898,75,72.39470244448765,65.27497436149322,70.02769450425876,61.55935776037378,71.7245181293259,64.01028491649669,72.58882155716897,63.77811838057913,65.89228824357875
3,0.709676515831531,0.654787625367927,0.595402061905184,0.484712740100228,2.01621705358453,1.22993485808976,0.433159372276856,0.304235786982776,0.916677976920116,60,52.31936898501962,65.12202445108575,50.01117326929857,60.99746354437199,55.285649418914616,61.19845286805334,55.759846508848554,63.79756190851748,65.89176863830446
5,0.786532505239751,0.704063221614392,0.677971907809783,0.535718624189144,2.76141671254214,1.50362109471495,0.497870261048504,0.328689119541559,0.845075874570971,80,67.32727806067723,67.15294739128437,66.92562880011693,68.95637787222768,66.67493623064684,67.40219372981456,67.69641252856005,66.86027418694255,65.30302111510355
6,0.760923515699404,0.695853180240741,0.654772026489509,0.529126740864423,2.31446931577587,1.41094600496894,0.45930811082805,0.330115105695376,0.818588265260163,80,62.32653069537312,66.81456566410388,62.173126762442905,67.92778606212954,59.843999004174364,65.30149532344174,60.58324099427949,67.03887500920922,64.28817445912254
7,0.819192943504581,0.624348527033299,0.70156195496978,0.528422106515938,3.21544727429286,1.5414431957043,0.534599627064379,0.315121638504698,0.915878529608673,80,73.70498384032948,63.86745895019254,71.75805641683667,67.81783552382927,73.61412927362834,68.2595204126562,74.47150881657035,65.16098470731828,65.90255960552048
8,0.735129742489667,0.646665783800824,0.637814940487267,0.50812484754491,2.14216186145573,1.18802153391478,0.439030804498073,0.288202794311089,0.883663096333291,80,57.28970004586148,64.78727793127126,58.69946305416158,64.65066867384192,57.21053159250563,60.248389010101064,56.84289048597786,61.789473914889896,66.01112162247409
9,0.785431528309231,0.672070514357727,0.673491977818532,0.512713153185173,2.74324000833536,1.34546932086959,0.495374745697392,0.304798172352291,0.850867360048337,70,67.11228685706553,65.83434897673386,66.00791391536654,65.36662394357532,66.39713189322588,63.81731261243441,67.23608994132333,63.86799912079846,65.46756635469787
1,0.751310959321117,0.441414950209594,0.641514063899273,0.438749359721817,2.19981382467421,0.873788615256067,0.458219056704594,0.219355213492401,1.17195494407841,60,60.44945679103884,56.32774302579108,59.457229497466784,53.82537716287326,58.091657524947934,53.12556244186828,60.382354146788586,53.166504812156234,42.391987600109346
10,0.792975790604419,0.581440751743053,0.677980877993046,0.540662608090686,2.90021977031419,1.56263940289124,0.506834761478084,0.330478093182788,0.829839302848412,75,68.58547851643911,62.098989529467886,66.92746634461326,69.72783287224448,68.79633794669517,68.7399821934949,69.35000365120735,67.08433818818244,64.77183656677519
11,0.801741008939484,0.594824639117298,0.689579032395677,0.542718051436831,3.12324463596999,1.68753055170962,0.518910644352002,0.345493453808908,0.793792957182154,75,70.29709007480741,62.65061438980307,69.3033514481113,70.04856248589476,72.20494680818479,71.57093318595548,71.57752016206045,68.9649705823172,62.948078308734644
13,0.66849493041216,0.483523315974606,0.582348911872056,0.44095321560296,1.43243390542904,0.899993900467801,0.358433241267176,0.242947682889963,0.970694906267973,50,44.27771218866272,58.06326430855125,47.33723191269799,54.16926494096531,46.36337787695052,53.719566731842065,41.975869605946556,56.1213963603157,64.25428007595502
14,0.811390077139082,0.471354519056819,0.703278837988274,0.455670070715311,2.94189579815776,1.13625665807173,0.513234803683221,0.253910230230587,1.00840991176169,65,72.1812937565168,57.56172012243245,72.10976037304223,56.46567036765058,69.43329507433009,59.075016613186136,70.53055498902222,57.494425098310174,62.049631571189586
15,0.784649740521895,0.540369501076019,0.676323520964124,0.489254857018037,2.56289239855117,1.28503695557664,0.491877143541198,0.302308801990343,0.876595704507601,50,66.95962471428209,60.40621356091101,66.58795630366222,61.70621156554004,63.640782465321294,62.44747122558314,66.59092249206421,63.55621236720331,65.94976864468615
16,0.653471141251014,0.458364232780752,0.596158465782987,0.440667279795709,1.38958994358168,0.808981750459149,0.352036926088979,0.22411744799188,1.11560166963829,30,41.34396995935229,57.026317764927654,50.16612281067498,54.12464776328421,45.7085705863607,51.65656275733584,40.79600575526054,53.76296151347628,51.0186000245361
2,0.796460039871669,0.515383763491586,0.678979421894622,0.473634861054744,2.71766755308098,1.2607466642526,0.492250238686705,0.286786791376677,0.944313604833428,65,69.26585875228602,59.376411559445664,67.13201833612712,59.26888081647227,66.00629431852848,61.89687476633408,66.65974359652614,61.61212346324555,65.27767126521951
3,0.713524499426732,0.514107275811773,0.61050676480978,0.472190505887379,2.03670588319809,1.08193221046472,0.427125792905963,0.271843061462369,0.912312350087823,50,53.070776759040456,59.32380036223465,53.10537579307706,59.0435048771784,55.59879121131958,57.84362551523424,54.646892879823625,59.740462617673806,65.94591995031679
4,0.783366068946176,0.533963422641978,0.677123894207989,0.482381632109307,2.78510446184751,1.32177700685229,0.487030220847367,0.300365223442198,0.955246600311029,65,66.70895815674069,60.14218323678604,66.75191298170972,60.633719456407995,67.03696883160192,63.28027071222336,65.69685947074623,63.312784528924915,64.90536853858706
5,0.779337333705219,0.541131417775853,0.679993041198148,0.501237509252208,2.69809050909894,1.3245491759289,0.481234005367466,0.295752376037258,0.954790048126723,75,65.92225444435945,60.43761640982782,67.33965852785616,63.57597432440142,65.70708783586686,63.34310843029184,64.62768996846263,62.73503814807277,64.92238289058336
6,0.794706853435986,0.536398690292024,0.693483224562296,0.497260746275786,2.621129452968,1.2914800134435,0.490585529247674,0.295045666807292,0.917898195426573,75,68.92350856172831,60.242554238108156,70.10312628192108,62.95544364648284,64.53085066093954,62.59351825321673,66.35267140976094,62.64652477139128,65.87454205909178
7,0.811294551840716,0.576749441229448,0.700784378336126,0.531808153355036,3.293242187057,1.61558100088216,0.530983407259223,0.331037911917569,0.856947217303134,75,72.16264023317606,61.905634382753476,71.59876963062973,68.34619136323613,74.80311072754347,69.94002775951652,73.80446116407472,67.15445393656088,65.61816283793168
8,0.81215192802535,0.545231381840744,0.707018309885947,0.502687735358972,2.9673158650437,1.32175891683094,0.507538350091096,0.297714439285867,0.89863556100486,75,72.33006275836502,60.60659886174436,72.87579221467868,63.80226636003467,69.8218036157086,63.27986065943436,69.4797875575847,62.980781143965686,66.03986643650651
9,0.788007542040299,0.546152992601218,0.694342030419695,0.50318996122997,2.61902269055216,1.31046321127507,0.485979358026859,0.300519468771919,0.892291779930881,75,67.6153131033112,60.64458359613536,70.2790528968425,63.88063325342166,64.49865187889534,63.02381698334939,65.50301738832763,63.332103329914126,66.04447978638592
10,0.787244155581115,0.725732112785586,0.680776520355313,0.553228990565275,2.63963866306602,1.69318787373252,0.489180830905107,0.36142176234548,0.76633408210914,65,67.466244245344,68.04604359956014,67.50015444761968,71.68868039626682,64.81373686456426,71.69916966665828,66.09356085167543,70.95994717752079,61.02385188993137
11,0.801863587481576,0.709866696745277,0.692490102023754,0.55887655714744,3.11890662238984,1.87161343165624,0.516821860261635,0.374580529276025,0.734391684062046,40,70.32102636953874,67.39214106267565,69.89968485810843,72.56992183323428,72.13864661566105,75.74360368030514,71.19222319475142,72.60804634560895,58.203353332895375
13,0.722282728379346,0.646857923462399,0.622915767504597,0.492273336436264,2.01988683670945,1.20238835489419,0.42672360617355,0.29768423173903,0.855234630071915,40,54.781023478869486,64.79519708144171,55.64736339113793,62.17721250041618,55.34173668632565,60.57404672479876,54.572705543274424,62.976997732261935,65.57803697340731
15,0.771430223981967,0.678900183130691,0.660662190046359,0.527053308216248,2.30513718175188,1.44385065574818,0.458972623102582,0.333616902336083,0.776596837989976,45,64.37820843452278,66.1158378280426,63.37972837905116,67.60424941324729,59.701370985378134,66.04735645660756,60.5213569518893,67.4774653544008,61.79717122525218
2,0.74495766590935,0.642537613388576,0.635269172020955,0.508956784477241,2.18131713244051,1.29371313000446,0.447810059093962,0.310025209032875,0.846408527426692,50,59.20882934496791,64.61713293801031,58.17796168712567,64.78048339794432,57.80896263856992,62.64413708092663,58.46231117509066,64.52267100991293,65.34270676890706
3,0.761786824668946,0.638139687089199,0.659093598088465,0.498485329879583,2.67960618239105,1.28381894596702,0.485679817049917,0.293947696148953,0.898571205242869,65,62.49511173399938,64.43586979578404,63.05840188719296,63.146526619830134,65.42458193846427,62.41986217925917,65.44776408065798,62.5090069828215,66.04003721083907
4,0.747664802699206,0.639469241562031,0.652928540214334,0.497926907520803,2.3825107366127,1.24210535249914,0.462233876452017,0.292958413499177,0.903740419252133,65,59.737460400404956,64.49066817235999,61.79548809445811,63.059390874774884,60.883912600045335,61.47432568652724,61.12292751677377,62.38510206675256,66.01822496855925
5,0.821659938180422,0.693006007726878,0.719512212126287,0.529527752991808,3.44228009130369,1.56240223488438,0.542076783976398,0.325580969808353,0.844590317630957,65,74.18672159519068,66.69721775938882,75.43517150787477,67.99035964992825,77.08093710183277,68.73460622401464,75.85074465792943,66.47098702830311,65.28829066697999
7,0.79557420160825,0.696931300820959,0.691095092181727,0.552941196106565,2.87339391228452,1.69075339504041,0.505503856732369,0.357166620903284,0.781256752633205,65,69.09287834808464,66.85900104359098,69.61391671019058,71.64377319620905,68.38634394388242,71.64398649367317,69.1045050548392,70.42700247928299,62.12697251130697
8,0.828513435878699,0.667490868442569,0.725044910630077,0.525662622175285,3.59002957338592,1.6844849417716,0.549828891532011,0.334999719739247,0.820614881493174,65,75.5250254944437,65.64559615270794,76.56854631053463,67.38724795832351,79.3390718278648,71.50189728903035,77.28069787578757,67.65065941002939,64.38103006200082
9,0.746166528685083,0.623813342994716,0.662518083740672,0.475042641704906,2.51458102014512,1.2803422336416,0.467512987110492,0.27807841667944,0.98491847583413,65,59.44488775450557,63.84540102245587,63.75990871024197,59.48854969952742,62.90241370961587,62.341054334978224,62.09671189984128,60.5214236150249,63.52533813324095
