Fecha,Evapotranspiration,holtwinters_predicts
2020-01-01,1.8572602,2.114493791264227
2020-01-02,2.4557428,1.8520298177879093
2020-01-03,3.4035633,2.7439813349907247
2020-01-04,2.7061808,2.830583791532468
2020-01-05,2.9438274,2.77483784036985
2020-01-06,2.8961813,2.739678648029984
2020-01-07,2.6596496,3.0439297968197843
2020-01-08,2.7828617,2.581122289791873
2020-01-09,3.2734227,3.016065904148963
2020-01-10,3.2493734,2.7591522840119183
2020-01-11,4.126957,3.9925259181977824
2020-01-12,2.9483938,2.833497047748821
2020-01-13,2.8582828,3.2595775225412122
2020-01-14,2.174305,2.8481691445092574
2020-01-15,2.1442962,2.6483729051070015
2020-01-16,2.041279,2.6741285992020503
2020-01-17,2.4095683,1.968273276154429
2020-01-18,2.6017697,2.312018753518231
2020-01-19,2.1545637,2.660994998452366
2020-01-20,1.6285237,2.0340654047972384
2020-01-21,1.9008578,1.2656518099709344
2020-01-22,3.1665616,2.1804807312648253
2020-01-23,2.2027812,2.309857198073497
2020-01-24,2.2675707,1.992002508136511
2020-01-25,2.0308557,3.202658817134939
2020-01-26,2.0603745,2.4459689381816743
2020-01-27,3.3907015,1.8752920631813115
2020-01-28,3.4792085,2.7764023103307514
2020-01-29,2.9646928,3.396544766209262
2020-01-30,2.4709017,3.1421020805677196
2020-01-31,2.707667,3.2009924578199502
2020-02-01,2.2486782,2.7671625603438215
2020-02-02,2.4112675,1.7803187855805496
2020-02-03,2.9273164,2.7418508390733445
2020-02-04,3.6801975,3.238185104841421
2020-02-05,3.786643,3.423080978857022
2020-02-06,3.5313346,3.667778810165238
2020-02-07,3.0314994,3.767774270329398
2020-02-08,2.7757647,3.0043277448514507
2020-02-09,3.927263,2.8378336484557942
2020-02-10,3.6259353,3.5271384810284667
2020-02-11,3.593346,3.6238141451522887
2020-02-12,3.9860225,3.69450411952353
2020-02-13,2.7496505,3.790692844304367
2020-02-14,2.238628,2.6960431808361003
2020-02-15,3.4795516,2.965100406364084
2020-02-16,3.7439964,3.504798962657028
2020-02-17,4.1560473,4.045826299503818
2020-02-18,4.1489406,4.351081089644925
2020-02-19,3.681425,3.773078580841683
2020-02-20,3.9936154,3.0424298039501005
2020-02-21,2.1365254,3.950666378740674
2020-02-22,3.4133031,3.4203827302212524
2020-02-23,4.2283964,3.6909867540088643
2020-02-24,4.615684,4.193883067873039
2020-02-25,3.9588974,4.223196566181506
2020-02-26,4.5170007,3.6057108320173366
2020-02-27,3.5041704,4.322852857886788
2020-02-28,3.7574024,3.9878120890892115
2020-02-29,3.4799273,3.916839385896615
2020-03-01,4.371652,4.171280911368283
2020-03-02,4.9940305,4.0050579515414695
2020-03-03,5.262206,5.058985565502751
2020-03-04,5.764341,5.097631915419392
2020-03-05,3.9517965,5.464815569009224
2020-03-06,4.343979,4.602908351393106
2020-03-07,4.009148,3.9383013173348256
2020-03-08,2.9437675,3.1235974866765766
2020-03-09,4.0702662,3.509047922386333
2020-03-10,3.4646957,4.569053625808785
2020-03-11,4.524165,4.559380418195108
2020-03-12,4.934365,3.869584265639848
2020-03-13,5.2439322,4.415695867957815
2020-03-14,4.416732,4.639372953940714
2020-03-15,3.7339902,4.57651177171276
2020-03-16,3.611877,4.821506940741547
2020-03-17,4.713963,4.681654076167203
2020-03-18,4.3324203,4.224534387368292
2020-03-19,5.433885,3.0939107964234007
2020-03-20,4.3072357,4.392567181656613
2020-03-21,3.9275472,5.5865130530505125
2020-03-22,4.867029,4.93319430848309
2020-03-23,5.6143265,4.9204256432895015
2020-03-24,5.8097816,5.895540992973426
2020-03-25,5.963646,5.774187803063379
2020-03-26,6.219603,5.852861418569473
2020-03-27,6.002,5.976177542918693
2020-03-28,6.38512,5.919809483392094
2020-03-29,4.428679,4.817078628034533
2020-03-30,4.855882,5.7345934254137045
2020-03-31,4.873488,5.286932798058804
2020-04-01,5.4537334,4.28369084265837
2020-04-02,6.2490487,5.075543845652916
2020-04-03,4.3490515,6.111766372009831
2020-04-04,4.978003,5.241584194912651
2020-04-05,3.239219,5.0557723453125405
2020-04-06,4.238663,3.579319690181045
2020-04-07,4.439398,3.7626323797850643
2020-04-08,5.552736,4.192334939790056
2020-04-09,6.0260057,5.48405399409887
2020-04-10,5.274553,6.119218601069893
2020-04-11,5.8368926,5.732194652297167
2020-04-12,8.711114,6.458657236603504
2020-04-13,6.9129977,7.956897894222016
2020-04-14,7.241136,7.278381211872843
2020-04-15,2.2507584,5.787594129840729
2020-04-16,2.168181,3.7448699868546576
2020-04-17,5.905373,2.5168739142206342
2020-04-18,4.940635,4.528979395226376
2020-04-19,6.943634,5.2674260583797725
2020-04-20,6.65855,7.113180319394484
2020-04-21,6.589612,5.933608402863609
2020-04-22,6.8267303,6.670678286245621
2020-04-23,7.6590824,8.136994156876655
2020-04-24,6.5997295,6.962765039436246
2020-04-25,6.2260146,6.634378453982282
2020-04-26,4.3825564,5.650880366395366
2020-04-27,5.707681,5.265085318864887
2020-04-28,6.49348,6.09392411217067
2020-04-29,6.37869,6.672126960387947
2020-04-30,4.564781,5.390475859537328
2020-05-01,6.3855495,4.713853058807165
2020-05-02,6.423741,6.8067918224677655
2020-05-03,6.3609242,6.443314710566836
2020-05-04,6.4810605,6.945937448324097
2020-05-05,5.5307794,5.8764206779873955
2020-05-06,5.148903,5.543738993608125
2020-05-07,5.3964176,5.2460208357566716
2020-05-08,6.1003423,5.8006798062144185
2020-05-09,5.363083,5.886423068620612
2020-05-10,5.7291913,5.047597448242168
2020-05-11,5.1366153,5.185573886749648
2020-05-12,5.5597224,4.911087340591962
2020-05-13,5.258346,5.54289590945994
2020-05-14,5.6571474,5.112297808839173
2020-05-15,6.056496,6.333700323155879
2020-05-16,6.9012427,6.281759895036018
2020-05-17,6.4142857,6.96021852931239
2020-05-18,6.5975423,6.384432000443263
2020-05-19,7.254903,7.028958609594478
2020-05-20,6.803733,6.6735095162406575
2020-05-21,5.3937187,6.430409101434937
2020-05-22,5.6486034,5.664216908604038
2020-05-23,5.699648,5.62900748404256
2020-05-24,6.209951,5.950389843607364
2020-05-25,6.0983896,6.290041916985387
2020-05-26,5.5661054,5.720175419100699
2020-05-27,4.818646,5.815329505897955
2020-05-28,5.5542035,5.4295972417901535
2020-05-29,3.8733733,4.61765790428577
2020-05-30,5.4705462,4.5430803165193705
2020-05-31,5.4667907,5.18695257488197
2020-06-01,4.9768147,4.8427094245218925
2020-06-02,5.1315837,4.458099718770939
2020-06-03,5.69272,4.867244943596019
2020-06-04,5.5885215,5.999706953799645
2020-06-05,5.6239967,6.576584497513605
2020-06-06,5.733734,6.34143855387795
2020-06-07,6.4949946,6.059147580234036
2020-06-08,6.931492,6.107911013162804
2020-06-09,7.440853,6.441685423201648
2020-06-10,5.879525,6.916089680197211
2020-06-11,3.868248,5.875470508655731
2020-06-12,6.5519814,4.999611242055166
2020-06-13,6.062983,5.62328277660065
2020-06-14,5.4990554,5.980848555298306
2020-06-15,6.507004,5.888526379992021
2020-06-16,5.678392,6.235554059720316
2020-06-17,6.058247,6.033911982427741
2020-06-18,6.021926,5.946713409204036
2020-06-19,5.957268,5.623176487417932
2020-06-20,5.9695387,6.530115561795203
2020-06-21,6.1045885,6.018048884029517
2020-06-22,5.8050685,5.085896958691451
2020-06-23,5.9780746,6.306229947506914
2020-06-24,4.337375,5.833158178516515
2020-06-25,3.3701286,4.492054512909164
2020-06-26,3.85908,3.8993287039659883
2020-06-27,5.195054,4.1151631979367975
2020-06-28,5.6358237,4.606851973772752
2020-06-29,6.144123,5.213279546256805
2020-06-30,5.9882283,5.294270583534225
2020-07-01,5.809636,6.491510015440205
2020-07-02,6.1228304,6.22990634661379
2020-07-03,6.0894337,6.165257235571452
2020-07-04,6.572719,6.348874419650251
2020-07-05,6.8602962,6.461186748249225
2020-07-06,6.298122,6.130256421629853
2020-07-07,5.870084,5.086053167695013
2020-07-08,5.667029,6.587667345348772
2020-07-09,5.9944806,6.078497066771578
2020-07-10,6.2674065,6.515888564624035
2020-07-11,6.4792094,6.727953653998503
2020-07-12,6.9564905,6.48724111967951
2020-07-13,7.0912547,6.683865046789794
2020-07-14,6.89863,6.904326972931946
