Fecha,et,et_holtwin_predicts
2020-01-01,1.8948919,2.303853778461053
2020-01-02,2.64908,1.9187953995758031
2020-01-03,3.8275523,2.908651988486773
2020-01-04,2.9872954,3.2002143357684174
2020-01-05,3.2641323,3.0813730398806323
2020-01-06,3.149962,2.9996822393411717
2020-01-07,2.941523,3.3258323631322932
2020-01-08,3.0244973,2.55089019105522
2020-01-09,3.6287324,3.7597125624435543
2020-01-10,3.5148942,3.2193280287373076
2020-01-11,4.9268184,4.245028858928917
2020-01-12,3.200688,3.2954642303158383
2020-01-13,2.9702508,3.7829670457878892
2020-01-14,2.2281897,2.8223597071008895
2020-01-15,2.2733335,2.814532298971568
2020-01-16,2.063754,2.885319296118343
2020-01-17,2.4684796,1.8622991954467687
2020-01-18,2.7041576,2.2039700058689835
2020-01-19,2.556582,2.814535139760295
2020-01-20,1.82683,2.687715734985406
2020-01-21,2.031632,1.1982696967581021
2020-01-22,3.4482715,2.0730676236140564
2020-01-23,2.277289,2.667469499407407
2020-01-24,2.3720872,2.39377432009159
2020-01-25,2.194562,3.3075882851807306
2020-01-26,2.099771,2.520645159969374
2020-01-27,3.617756,2.2151277060993544
2020-01-28,3.7022321,2.8868106954809445
2020-01-29,3.2810423,3.4418158633221387
2020-01-30,2.7361171,3.3783526071237464
2020-01-31,3.0594802,3.4410344874150027
2020-02-01,2.4602973,3.145339783053678
2020-02-02,2.670156,2.264093268774074
2020-02-03,3.23106,3.1675614663933573
2020-02-04,3.9927802,3.6687817238109273
2020-02-05,4.163203,3.5516545463276694
2020-02-06,4.016509,3.9205945607911055
2020-02-07,3.3105867,3.9939101836733895
2020-02-08,2.959341,3.5902385703560022
2020-02-09,4.1889243,3.0385810872029686
2020-02-10,3.8076108,3.610294777474281
2020-02-11,3.7277918,3.8784556460620285
2020-02-12,4.317163,4.019997395838069
2020-02-13,3.130032,4.03799660194206
2020-02-14,2.3282552,2.869499595472106
2020-02-15,3.7199678,3.1583863534032783
2020-02-16,3.9067316,3.320004842149888
2020-02-17,4.4656734,4.1289814495083155
2020-02-18,4.366899,4.4857257165294016
2020-02-19,3.7566662,3.9947234753369663
2020-02-20,4.5051885,3.5854369813689293
2020-02-21,2.4477224,4.468408570990754
2020-02-22,3.6596632,3.925560049996688
2020-02-23,4.567733,3.9569971286096988
2020-02-24,4.941923,4.529291886612537
2020-02-25,4.135271,4.429631818309691
2020-02-26,5.490237,4.1166144628652805
2020-02-27,3.7172096,4.966884612164014
2020-02-28,3.9316895,4.41248203915554
2020-02-29,3.8187406,4.35549016900563
2020-03-01,4.6504054,3.9290240884479486
2020-03-02,5.248674,4.12820153575051
2020-03-03,5.501061,5.5250039458350795
2020-03-04,6.180723,5.491402748138268
2020-03-05,4.2619414,5.790898702438589
2020-03-06,4.598454,4.9296997381705765
2020-03-07,4.1891174,4.365027095295768
2020-03-08,3.1237643,3.6370871682155306
2020-03-09,4.3648257,3.7143445738507133
2020-03-10,3.6142526,4.829294095254901
2020-03-11,4.811938,4.3280892924201355
2020-03-12,5.228923,3.9295161489625348
2020-03-13,5.5512233,4.987979586283294
2020-03-14,4.6405387,4.855390001968449
2020-03-15,3.910853,3.7267623065229256
2020-03-16,3.7592113,4.581802661609102
2020-03-17,4.979505,5.564451214432893
2020-03-18,4.546868,5.222723460661724
2020-03-19,5.723548,3.1628356950519128
2020-03-20,4.538416,4.03102292169518
2020-03-21,4.043316,6.054060855779285
2020-03-22,5.173154,5.48632020460049
2020-03-23,5.904301,5.326105452943555
2020-03-24,6.0525556,6.119770995774896
2020-03-25,6.1350317,6.121256885310277
2020-03-26,6.5201373,6.356037866145615
2020-03-27,6.2244835,6.201502602345215
2020-03-28,6.732652,6.111343560374063
2020-03-29,4.6788282,4.726182455052822
2020-03-30,5.1151805,6.279104782692856
2020-03-31,5.178189,5.6207651117913064
2020-04-01,5.761644,4.8528820535566926
2020-04-02,6.7120047,5.338297097309364
2020-04-03,4.5901866,6.531569395882939
2020-04-04,5.278769,5.4310857693342705
2020-04-05,3.367004,5.174769588982635
2020-04-06,4.41573,4.023381710241052
2020-04-07,4.590752,4.222896952072213
2020-04-08,5.7241187,4.191234859205891
2020-04-09,6.1980577,5.47650016206401
2020-04-10,5.572831,6.49586896761946
2020-04-11,6.1285872,6.005501017870444
2020-04-12,9.583549,6.347782780978008
2020-04-13,7.2707953,8.236870149469844
2020-04-14,7.968258,7.686100303216763
2020-04-15,2.4552467,6.6036077260127675
2020-04-16,2.161499,4.40083514201767
2020-04-17,6.089004,2.942496870991245
2020-04-18,5.059016,4.607204790602377
2020-04-19,7.23718,5.198533956083477
2020-04-20,6.932955,7.007606208733369
2020-04-21,6.815466,6.2935268172669225
2020-04-22,7.1309214,6.461260291923936
2020-04-23,8.379179,7.5963425996336955
2020-04-24,6.704156,7.812272976458745
2020-04-25,6.416192,7.403202996495281
2020-04-26,4.5262065,6.148471067342722
2020-04-27,5.8717027,5.3870511855900975
2020-04-28,6.786981,6.439990204346396
2020-04-29,6.604865,7.120380226827303
2020-04-30,4.7279897,5.636845134990347
2020-05-01,6.7203555,4.897868072546684
2020-05-02,6.728115,6.78845707464222
2020-05-03,6.630176,6.9110727536865575
2020-05-04,6.7437406,7.25309958943696
2020-05-05,5.700871,5.9976199105286305
2020-05-06,5.414531,5.753265728296667
2020-05-07,5.515584,5.627257318862983
2020-05-08,6.370543,6.0125932974735665
2020-05-09,5.756151,6.339240741643561
2020-05-10,5.9365115,5.487257937259416
2020-05-11,5.384993,5.538838854351392
2020-05-12,5.936182,5.13971321266673
2020-05-13,5.555777,5.870271378034193
2020-05-14,5.875301,5.3562837303454645
2020-05-15,6.2212553,6.364526969594134
2020-05-16,7.203938,6.394380127888601
2020-05-17,6.573118,7.343893390660768
2020-05-18,6.781097,6.795480472643114
2020-05-19,7.6395726,6.891949565747188
2020-05-20,7.143183,6.982977237742853
2020-05-21,5.5493236,6.775181698503021
2020-05-22,5.7922277,6.02247796553627
2020-05-23,5.8644,5.935799035722765
2020-05-24,6.4881406,6.095508796757947
2020-05-25,6.3086815,6.439746502279524
2020-05-26,5.7698073,5.9393813841308045
2020-05-27,4.9060097,6.092903999985013
2020-05-28,5.6981206,5.514759234942654
2020-05-29,4.0408163,4.950122215252161
2020-05-30,5.706619,4.707513350565745
2020-05-31,5.612941,5.271369214138764
2020-06-01,5.0845423,5.079862297395755
2020-06-02,5.260754,4.640652952105824
2020-06-03,5.8338747,5.056692312606178
2020-06-04,5.693983,5.986912676759458
2020-06-05,5.7282305,6.502557786009729
2020-06-06,5.831403,6.4111897777798275
2020-06-07,6.7288723,6.17282236052238
2020-06-08,7.231379,6.293214331935743
2020-06-09,7.761816,6.636956189400265
2020-06-10,6.072889,7.060766282387947
2020-06-11,4.047682,6.130285741303877
2020-06-12,6.889173,5.253471901092469
2020-06-13,6.3081236,6.024270400509313
2020-06-14,5.657462,6.188983895149808
2020-06-15,6.6998954,5.956537030197892
2020-06-16,5.7383494,6.346054637052271
2020-06-17,6.1999884,6.156581184135291
2020-06-18,6.178701,6.137783250667508
2020-06-19,6.1678348,5.931103455673293
2020-06-20,6.1784043,5.938153374827513
2020-06-21,6.336753,5.7063949765353055
2020-06-22,6.1026187,5.525799251340243
2020-06-23,6.0671816,6.260313326056806
2020-06-24,4.395039,5.815943314354983
2020-06-25,3.4407825,4.794882998988778
2020-06-26,3.9668288,4.66588757857989
2020-06-27,5.2962675,4.363635944801254
2020-06-28,5.833024,4.7416626262143655
2020-06-29,6.3983083,5.295503335085093
2020-06-30,6.167076,5.49740932418745
2020-07-01,5.9453716,6.06318545509743
2020-07-02,6.279999,6.270198379562997
2020-07-03,6.259864,6.676073583363174
2020-07-04,6.8079123,6.687042586049561
2020-07-05,7.181072,6.771996610328637
2020-07-06,6.5408564,6.543809644510623
2020-07-07,6.001937,5.52395915352195
2020-07-08,5.7930408,6.695074459466851
2020-07-09,6.181981,6.256937682039187
2020-07-10,6.462041,6.560385156109125
2020-07-11,6.6563735,6.381940304708445
2020-07-12,7.2126927,6.390216608321491
2020-07-13,7.428744,7.079439952090096
2020-07-14,7.209332,7.324806119608129
2020-07-15,7.157753,6.974929323077123
2020-07-16,5.8537803,7.222965729790628
2020-07-17,6.5631185,6.688830731916652
2020-07-18,6.072395,6.426943926834288
2020-07-19,6.8823504,6.561217939318361
2020-07-20,6.616984,6.889289644415358
2020-07-21,6.878847,6.759316162378607
2020-07-22,7.0954723,6.354631264325467
2020-07-23,6.782427,6.7452530991727695
2020-07-24,6.6352644,6.684948600177308
2020-07-25,5.8466287,5.947746292016856
2020-07-26,3.9161854,5.952337081339303
2020-07-27,2.291532,4.184287011920247
2020-07-28,3.1498055,3.047460728965897
2020-07-29,2.240774,2.6852624276594264
2020-07-30,5.0453215,3.2219255380216896
2020-07-31,5.404389,4.826415911312928
2020-08-01,5.880403,5.439447572101792
2020-08-02,5.149036,5.34085640386513
2020-08-03,5.7265887,5.376163758248821
2020-08-04,5.464389,5.318847654132037
2020-08-05,5.6071863,5.678077982376418
2020-08-06,5.7460256,5.898077422959856
2020-08-07,5.082441,5.691640498558728
2020-08-08,4.6972513,5.222058388648306
2020-08-09,3.5568469,4.621127972404575
2020-08-10,4.0663466,4.181642036904991
2020-08-11,5.243175,4.40203527822568
2020-08-12,5.5120325,4.989309345725029
2020-08-13,5.8289433,4.924541419400103
2020-08-14,6.338907,5.429420948237868
2020-08-15,5.8938828,5.885043377675048
2020-08-16,5.5433545,5.786916994124471
2020-08-17,5.487156,5.9668745652583
2020-08-18,5.231252,5.393792185855571
2020-08-19,4.612019,4.870825745587491
2020-08-20,5.463925,5.07087817380942
2020-08-21,5.926297,4.95892786739439
2020-08-22,5.916899,6.027721322944991
2020-08-23,5.5677257,5.672705625029867
2020-08-24,5.8748646,6.023047515840429
2020-08-25,4.196969,5.159898609282695
2020-08-26,5.2395363,4.79120208860065
2020-08-27,5.6569576,5.523026652670703
2020-08-28,5.993246,5.855759548626151
2020-08-29,6.378067,5.543701781989377
2020-08-30,6.178242,6.086234745375798
2020-08-31,6.133561,6.361392602635951
2020-09-01,6.5356774,6.262825770617174
2020-09-02,6.56665,6.299112608809015
2020-09-03,6.0900097,5.915652034544346
2020-09-04,5.029878,5.872282764705633
2020-09-05,2.4310882,4.857921552158901
2020-09-06,3.957286,3.5680974871236337
2020-09-07,4.710361,3.917023261532079
2020-09-08,5.342052,4.976757411810107
2020-09-09,4.8631525,4.970567899948937
2020-09-10,3.7367115,4.657341801069878
2020-09-11,4.2922306,4.050626773328763
2020-09-12,5.1940794,4.823117814765839
2020-09-13,5.3485537,4.84011451688107
2020-09-14,4.4964924,5.125940159086111
2020-09-15,4.2719703,4.211808123946398
2020-09-16,4.147772,3.818154126549923
2020-09-17,4.7649193,4.198411392727874
2020-09-18,5.691403,4.814774340573361
2020-09-19,5.5687947,5.611133397444431
2020-09-20,4.887101,5.5734592772226295
2020-09-21,5.572105,5.265433657366816
2020-09-22,5.5588994,5.084843661932533
2020-09-23,5.7551746,5.766383479143632
2020-09-24,5.6637015,5.672819701200074
2020-09-25,5.677089,5.628592674601076
2020-09-26,5.507932,5.489244465213884
2020-09-27,5.779801,5.84004943063609
2020-09-28,6.912997,6.083363955753119
2020-09-29,7.793609,6.644833458565684
2020-09-30,5.1093593,6.498716962131035
2020-10-01,5.201874,5.806341119770948
