Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,Evapotranspiration,Kc,ETc,Dia,msi_mean_pred_1,msi_mean_pred_2,msi_mean_pred_3,msi_mean_pred_4,msi_mean_pred_5,msi_mean_pred_6,msi_mean_pred_7,msi_mean_pred_8,msi_mean_pred_9
5,2022-03-22,5,0.2544054618444665,0.2091481604242625,0.3717542748575047,-0.1164238361358028,-0.2,0.0103499260719566,1.2648879604176104,0.9795121951219512,1.5,0.4132004651399478,0.3698630136986301,0.4603174603174603,0.4482536530855966,0.3591348890153671,0.7789658906334597,5.8426514,0.4625662811211365,2.702613529985202,0,1.4108945007983988,1.9020418090529971,1.9552199503246384,1.903596926662232,1.8519739506511106,0.00853287368603261,3.5353893146962457e-11,1.2749961497230502e-15,3.250809662102143e-20
6,2022-03-27,5,0.124073172547268,-0.0357698289269051,0.2648845686512758,-0.4214001030103284,-0.6805755395683454,-0.0695332171218283,2.550476002471481,1.149458784346378,5.261261261261262,0.2829252641250686,0.1206225680933852,0.4163265306122449,0.3462657595199199,-0.1212121212121212,4.7368421052631575,5.480632,0.3126841484293582,1.7137067497746905,5,1.3991520221855296,1.842591182372695,1.8854510311085868,1.8510053865544556,1.823808046676334,0.5669588810073751,0.0007375063252297428,2.019893925726656e-05,4.7303395366158396e-07
7,2022-04-06,5,0.1601391197747635,0.1137884872824631,0.225635593220339,-0.2210273259241066,-0.3225492106801793,-0.1088550479413423,1.5703122976933936,1.2443037974683544,1.9522439585730724,0.1657962528827238,0.0910307898259705,0.2533733133433283,inf,-1555.0,inf,7.032402,0.354159987740978,2.4905954061096294,15,1.3756670649597913,1.7274060006832428,1.7519136033167948,1.745214395031345,1.753067459717596,1.3280542092774539,0.01711675026356608,0.00142049749116261,0.0001006508188381067
8,2022-04-11,5,0.2046230312834111,0.1477777777777777,0.3150859325270528,-0.293764578941558,-0.3789233007690709,-0.152949614488076,1.8381081035572184,1.361134631668078,2.220214190093708,0.2807146496188504,0.2214960058097313,0.3943329397874852,0.6281405619190572,0.3273040482342808,1.0477941176470589,6.4632335,0.4053164859759227,2.619655090261864,20,1.363924586346922,1.6716714456740926,1.6881022497736577,1.692255305470557,1.7117440787433953,1.5630036327755068,0.037577156157448915,0.004179671679495522,0.00039662059061957753
9,2022-04-16,5,0.2219159094102395,0.1596516690856313,0.3369434416365824,-0.2718341320040223,-0.3727428245580688,-0.1232466803815223,1.7542993468553725,1.2811433447098977,2.1884848484848485,0.2873813990641148,0.2328663385081408,0.3827006845052894,0.8574063937033968,0.4026354319180087,1.5430861723446894,5.9641294,0.4252032958217754,2.535967477587548,25,1.3521821077340528,1.6171755812219935,1.6262339064874294,1.6394076263530863,1.6672278204747615,1.7199997399366966,0.06787528803645612,0.009488681545230441,0.0011306912703649998
10,2022-05-01,5,0.3069550267646751,0.2013949433304272,0.4504373177842565,-0.194716072006403,-0.3397769516728624,-0.0441988950276243,1.492835479539893,1.092485549132948,2.029279279279279,0.3062910695466037,0.2204042348411934,0.4022834116856951,1.6376382482300254,-111.07142857142858,11.629464285714286,4.557532,0.5229982807793764,2.383581400596993,40,1.3169546718954452,1.4611201312079989,1.4520727133332114,1.4826190322492843,1.5197518391143658,1.8435108917884793,0.2177065826529536,0.049584161125598276,0.009596884586839442
11,2022-05-11,5,0.3342350318330828,0.1277693474962064,0.5352112676056338,-0.1327357924666336,-0.2733588051406738,0.105383131685078,1.317168492322362,0.8093274111675127,1.7523900573613769,0.3397491661595549,0.1454912129069432,0.4595701125895599,1.6046818701345502,-294.44444444444446,474.1666666666666,5.340196,0.5543702866080452,2.960445987063137,50,1.2934697146697067,1.3632766173172564,1.3452875569804723,1.3805737527436086,1.4144966711262046,1.7357836731578302,0.3578444125271619,0.1032927318905762,0.025272410953671696
12,2022-05-16,5,0.3748044108325161,0.2305140961857379,0.5641321932054542,-0.1032648341815347,-0.238580404143318,0.173510913799482,1.238646062000181,0.7042875157629256,1.626672613737734,0.3793965019008559,0.2147308781869688,0.4966828836797877,1.4167435912482322,-648.5714285714287,134.44444444444446,6.634955,0.6010250724573934,3.9877743096265448,55,1.2817272360568377,1.3162128962074608,1.2946274030780303,1.330580502097029,1.3610267846653086,1.649123870666267,0.4355579753287008,0.1393414078259249,0.037728709311508894
13,2022-05-21,5,0.3871886430673221,0.2680851063829787,0.5334436303474356,-0.1039308238721035,-0.2315847194297203,0.0256743581410464,1.237603832785137,0.949936628643853,1.6027592768791628,0.3774184832473706,0.2954279015240328,0.4832491968793024,1.603373209861566,0.8928033724781692,2.545269064014282,6.268201,0.6152669395274204,3.856616845612716,60,1.2699847574439684,1.270387865654716,1.2457603020466084,1.2813912815735082,1.307477509712549,1.5491215021437632,0.5159423483341734,0.1815062978496183,0.05395456640691464
15,2022-06-05,5,0.4424095764029713,0.2826873385012919,0.5873198847262248,-0.0835925399008746,-0.2183908045977011,0.0858034321372854,1.186683052568824,0.8419540229885057,1.5588235294117647,0.4303886240116606,0.3437688139674895,0.5196280991735537,1.474413622334246,0.7597559571773915,2.386865342163355,6.74893,0.678771012863417,4.5809780518443,75,1.2347573216053607,1.140344917338786,1.1097030913414825,1.1394635144006027,1.1494852698042717,1.2183983532877916,0.7540471666929762,0.34073718638488876,0.12931510331839896
