Fecha,RH12,Dia,Reconstruida,Ajustados
2020-01-01,67.580284,1,55.32402463035092,43.6069486431509
2020-01-02,67.84901,2,51.740726491355105,43.593062450740796
2020-01-03,43.002438,3,48.8611879611661,43.58039378389095
2020-01-04,35.675102,4,46.55728650241232,43.56894568418446
2020-01-05,40.526485,5,44.55543774301584,43.55872090016208
2020-01-06,44.422684,6,42.6361857294473,43.54972188666225
2020-01-07,35.23704,7,40.79484287840929,43.54195080423177
2020-01-08,43.684826,8,39.29583746395091,43.535409518607054
2020-01-09,49.902107,9,38.596507826073505,43.53009960026621
2020-01-10,52.313377,10,39.16823222679974,43.52602232405199
2020-01-11,22.602865,11,41.28425776874055,43.5231786688657
2020-01-12,37.03615,12,44.858745832569795,43.52156931743217
2020-01-13,46.518257,13,49.404598434382045,43.52119465613588
2020-01-14,56.794,14,54.13473189570469,43.52205477492818
2020-01-15,64.58712,15,58.17841491132273,43.52414946730564
2020-01-16,66.49382,16,60.84067044609479,43.52747823035972
2020-01-17,65.24917,17,61.81472519657653,43.53204026489745
2020-01-18,58.2748,18,61.27191680834616,43.5378344756333
2020-01-19,58.849613,19,59.79536716352865,43.5448594714522
2020-01-20,48.215664,20,58.17815431889154,43.55311356574347
2020-01-21,58.542416,21,57.15419531674538,43.562594776805796
2020-01-22,53.446304,22,57.15364422350633,43.57330082832297
2020-01-23,63.370518,23,58.165982996328054,43.58522914991045
2020-01-24,53.267365,24,59.75633947835825,43.59837687773243
2020-01-25,71.19503,25,61.22738490795861,43.61274085518945
2020-01-26,83.77485,26,61.86926615447886,43.62831763367623
2020-01-27,48.655476,27,61.21081090066695,43.64510347340964
2020-01-28,58.293556,28,59.18652356152965,43.66309434432658
2020-01-29,31.304445,29,56.16457191956191,43.68228592705155
2020-01-30,52.18863,30,52.82967230527347,43.70267361393365
2020-01-31,55.8072,31,49.96412874356998,43.72425251015285
2020-02-01,53.8916,32,48.20317591756637,43.747017434895156
2020-02-02,57.272118,33,47.8464368306444,43.77096292259647
2020-02-03,58.74593,34,48.78485526146639,43.79608322425476
2020-02-04,52.833607,35,50.56087081144093,43.82237230881038
2020-02-05,40.145805,36,52.53413277030294,43.849823864594015
2020-02-06,39.909966,37,54.09159161837444,43.87843130084203
2020-02-07,56.94563,38,54.830237573061204,43.90818774927885
2020-02-08,55.656242,39,54.655322688825265,43.939086065765906
2020-02-09,51.656902,40,53.769885883321486,43.9711188320169
2020-02-10,56.98512,41,52.57000797584374,44.00427835737878
2020-02-11,61.324154,42,51.490534820490325,44.03855668067823
2020-02-12,57.342533,43,50.85804848120277,44.073945572133
2020-02-13,42.069366,44,50.798966765100694,44.11043653532778
2020-02-14,52.572445,45,51.22591345846928,44.14802080925409
2020-02-15,45.113453,46,51.89537844895362,44.18668937041368
2020-02-16,51.99462,47,52.5057152606806,44.226432934984956
2020-02-17,51.1843,48,52.794919551084156,44.267241961051894
2020-02-18,53.457314,49,52.60442651972422,44.30910665089493
2020-02-19,50.39393,50,51.893890543143726,44.352016953343316
2020-02-20,53.406624,51,50.71382814348662,44.395962566188196
2020-02-21,52.638813,52,49.15887690934886,44.44093293865608
2020-02-22,45.00684,53,47.32826611447535,44.48691727394196
2020-02-23,49.38282,54,45.31143296343808,44.533904531801454
2020-02-24,54.28299,55,43.20047740790236,44.581883431201426
2020-02-25,39.69143,56,41.115322966320896,44.63084245302844
2020-02-26,25.087706,57,39.21955832277539,44.68076984285434
2020-02-27,21.647282,58,37.70874557166929,44.73165361375832
2020-02-28,35.85173,59,36.766883926220984,44.78348154920485
2020-02-29,45.93892,60,36.50439048358454,44.8362412059767
2020-03-01,49.762264,61,36.904076389830415,44.88991991716239
2020-03-02,46.738445,62,37.803452111846504,44.94450479519737
2020-03-03,46.80162,63,38.930239345872394,44.999982734958124
2020-03-04,23.925322,64,39.98695955358616,45.05634041690859
2020-03-05,35.009483,65,40.75821208627099,45.11356431029796
2020-03-06,29.96288,66,41.200337257479674,45.17164067640926
2020-03-07,42.982586,67,41.4744827065077,45.23055557185784
2020-03-08,48.997257,68,41.901778189962684,45.290294851939
2020-03-09,43.70631,69,42.84782208921464,45.350844174023955
2020-03-10,50.91978,70,44.57253496752436,45.412189001003284
2020-03-11,48.432316,71,47.099143260499574,45.47431460477714
2020-03-12,51.63206,72,50.15460280851449,45.53720606979128
2020-03-13,46.942547,73,53.212040682101076,45.60084829661804
2020-03-14,56.936214,74,55.63047723262166,45.66522600558158
2020-03-15,60.008423,75,56.8506040360308,45.73032374042631
2020-03-16,53.65249,76,56.58145218447626,45.79612587202771
2020-03-17,47.186024,77,54.911235513471496,45.862616602144726
2020-03-18,49.16218,78,52.29850937935666,45.929779967212696
2020-03-19,48.11936,79,49.44004138722096,45.99759984217601
2020-03-20,55.48587,80,47.05558135593968,46.06605994435951
2020-03-21,58.065678,81,45.661162215480005,46.13514383737777
2020-03-22,46.99106,82,45.40957438896881,46.20483493508124
2020-03-23,40.584106,83,46.055584376610966,46.275116505538364
2020-03-24,42.608334,84,47.060801435140036,46.34597167505275
2020-03-25,43.77679,85,47.803475008377134,46.41738343221426
2020-03-26,43.304333,86,47.81966336624549,46.489334631983255
2020-03-27,44.600315,87,46.988606619312854,46.56180799980691
2020-03-28,44.32046,88,45.59256394086499,46.6347861357666
2020-03-29,52.809254,89,44.22459098151467,46.7082515187554
2020-03-30,53.663128,90,43.57201293841812,46.78218651068467
2020-03-31,45.86739,91,44.149528909622354,46.85657336071872
2020-04-01,45.658497,92,46.07714661779709,46.9313942095366
