Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,ndwi_mean,ndwi_min,ndwi_max,dia,ndvi_mean_pred_1,ndvi_mean_pred_2,ndvi_mean_pred_3,ndvi_mean_pred_4,ndvi_mean_pred_5,ndvi_mean_pred_6
122,2022-05-01,15,0.0447801520521053,-0.0720906282183316,0.1752136752136752,0.0200940697268149,-0.2414721723518851,0.1724228496388706,0.970113500194902,0.7058691756272402,1.6366863905325444,0.0167609538579419,-0.0792227204783258,0.201407899882675,-0.6954527468524343,-98.0,6.0,-0.0167609538579419,-0.201407899882675,0.0792227204783258,0,0.2693704361893824,0.0849011673614265,0.08377403616255844,0.05631002984733335,0.062423976201305166,0.0010373018241242276
134,2022-05-06,15,0.138289378710382,0.0303468208092485,0.292894280762565,-0.1428185545532379,-0.2644471278247369,0.1840228245363766,1.3546974362509565,0.689156626506024,1.7190431519699811,0.1974278396521295,0.0065454545454545,0.3180212014134275,0.3063764148404707,-95.71428571428572,31.375,-0.1974278396521295,-0.3180212014134275,-0.0065454545454545,5,0.2781181665117802,0.11691280312607549,0.11606489329129091,0.09879268418806596,0.10149341307215629,0.05979615895798116
133,2022-05-11,15,0.1152508306479268,0.0408958130477117,0.2370505789152955,-0.0525939109439238,-0.1987156617909382,0.0858903926035106,1.1145257708670866,0.8418065153010859,1.495992876224399,0.1236325669400393,0.0530714584203928,0.2676698586411308,-0.8097621024505359,-1200.0,213.07692307692307,-0.1236325669400393,-0.2676698586411308,-0.0530714584203928,10,0.28686589683417796,0.14814930193968182,0.14755474469874907,0.13885014011081168,0.13902925780794811,0.11281020554728018
135,2022-05-16,15,0.2055165198690543,0.1440032089851584,0.4704412989175687,-0.1536727721847045,-0.2037354085603112,0.0054084827782522,1.365376674145579,0.9892412231030576,1.5117279124315872,0.3240875893140146,0.2755825734549139,0.4884112937210282,0.453219677375088,0.3000668672684721,1.2295973884657236,-0.3240875893140146,-0.4884112937210282,-0.2755825734549139,15,0.29561362715657574,0.17861066380224544,0.1782444912754745,0.17661446465654088,0.1750343224060838,0.16069950893027146
132,2022-05-21,15,0.2166056154229175,0.1560747663551402,0.4557564224548049,-0.1551134765541685,-0.2304296145355748,-0.0079136690647482,1.369986948690586,1.0159535895576504,1.5988526037069726,0.3158237141330954,0.2586399108138238,0.4447592067988669,0.5220389654223259,0.3488372093023256,1.3666191155492156,-0.3158237141330954,-0.4447592067988669,-0.2586399108138238,20,0.3043613574789735,0.20829688871376642,0.20813503391200888,0.21221320570179145,0.20951721963647135,0.20402926797688747
131,2022-05-26,15,0.2333806618247661,0.1626934337097448,0.4642700569925471,-0.1578632238691632,-0.2123827950587885,-0.0135853514471352,1.3767404935618843,1.0275449101796408,1.5393046107331825,0.3165624538353991,0.2590844738084001,0.4490238611713666,0.6670832962098278,0.4331353676018841,1.6648325734947336,-0.3165624538353991,-0.4490238611713666,-0.2590844738084001,25,0.3131090878013713,0.23720797667424467,0.23722727349889383,0.24576939195866898,0.24249199913462974,0.24331311686519835
130,2022-05-31,15,0.2439576870633896,0.1365719523373052,0.4336432797971259,-0.1016147977295625,-0.2656467315716272,0.196894848270995,1.235301803481207,0.6709905660377359,1.7234848484848484,0.3060323692972617,0.1596164692611393,0.4382716049382716,0.8900428288632801,-6.608527131782945,29.758064516129032,-0.3060323692972617,-0.4382716049382716,-0.1596164692611393,30,0.3218568181237691,0.26534392768368026,0.265522110926671,0.2774015329748469,0.27397778349479496,0.27901632429215795
129,2022-06-05,15,0.2880889992620256,0.1753479125248509,0.5783132530120482,-0.127225443700565,-0.2120399344360005,0.0441218331910048,1.2941318076025417,0.915485278080698,1.5381996974281391,0.3731213680006445,0.3037447988904299,0.532804011700794,0.6698227835438774,0.3617840526231349,1.5631542219120729,-0.3731213680006445,-0.532804011700794,-0.3037447988904299,35,0.3306045484461669,0.2927047417420732,0.29302044708588193,0.3072236191335658,0.3039984043630262,0.31155888811864096
140,2022-06-10,15,0.3216942058711702,0.1920704845814978,0.5895765472312704,-0.1257955851083905,-0.2234098475556334,0.0597176981541802,1.2912186751818828,0.8872950819672131,1.5753610108303249,0.3968880219357794,0.3232273838630807,0.5573284704809665,0.7336852803169003,0.3784860557768924,1.5521254440769323,-0.3968880219357794,-0.5573284704809665,-0.3232273838630807,40,0.33935227876856466,0.3192904188494235,0.31972318286706836,0.33534512165363434,0.332582038530312,0.34131852544877
139,2022-06-20,15,0.359816977918875,0.1994572591587517,0.5487269534679543,-0.0538843348911503,-0.1555341983020983,0.0978683678232456,1.116851327477704,0.8217120181405896,1.368361153262519,0.3530216954763672,0.2608488316642823,0.4736842105263157,1.3793111729934395,0.6508264462809918,2.13711745597538,-0.3530216954763672,-0.4736842105263157,-0.2608488316642823,50,0.35684773941336023,0.370136362210996,0.3707454568575342,0.38690166483089256,0.38557059620928363,0.3938056937686978
