parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,ndre_max,ndre_mean,ndmi_mean,msi_mean,lluvia_acum,etc_acum,rendimiento,pred
1,0.6378224222,0.5179130052,0.5544349993,0.4935038748,1.4902545751,1.0782637733,0.3587782727,0.2690238837,0.4242634502,0.33688363115,0.0285787482,0.9865721411,886.59,1545.57778332833,70,57.51744166077275
10,0.7788958653,0.60387054645,0.6510877399,0.5577149021,2.4287459043,1.71199275565,0.4835769841,0.35197696165,0.5599002465,0.4286215275,0.13953316675,0.81273304455,865.29,1437.08130740952,80,84.29622811066636
11,0.7746283089,0.6004874001,0.6444371539,0.5299912002,2.3374092942,1.6649143522,0.4738256397,0.3507093391,0.5478875121,0.418468747,0.15033858875,0.791750665,870.38,1523.60008100006,80,77.13141338993431
13,0.7486486013,0.56969316605,0.6083588145,0.498478614766667,2.0654180693,1.38436800221667,0.4485452206,0.315832300183333,0.5113268225,0.377473330183333,0.112173958183333,0.864073597183333,882.55,1656.79697239928,65,65.52393102172881
14,0.7377554503,0.593794221083333,0.6303196604,0.548742125733333,2.2294457635,1.62975333121667,0.4474177766,0.339798783866667,0.5284582816,0.417033962266667,0.135535094683333,0.819228336866667,883.66,1670.73313980404,75,80.77508903461275
15,0.7694509746,0.590529120516667,0.6399362893,0.51959815565,2.2913330235,1.53171987266667,0.4710462087,0.335894105533333,0.5421011744,0.403192344916667,0.161291595666667,0.781332406483333,874.21,1839.70304452364,75,73.24285758958597
16,0.6871565432,0.5308464242,0.5831013226,0.4865866447,1.5496618777,1.0802109733,0.3833980383,0.2759930833,0.4409766138,0.3381186459,0.049027739,0.935926446,855.78,1523.01957845496,40,57.510084471839605
2,0.7252521985,0.5544883855,0.6093613653,0.496693731083333,2.0679748231,1.39237085496667,0.4349721411,0.310608170283333,0.505090742,0.375497868283333,0.11708546075,0.852682223266667,891.78,1954.29468400378,75,62.97419032213945
5,0.7420037237,0.5897144842,0.6286882971,0.53647624315,2.2397447323,1.5499279837,0.4517456006,0.33365344735,0.5257211614,0.40451049615,0.118724219,0.8410201585,833.55,1246.91437117898,80,77.32902777413673
6,0.7350553907,0.6043608627,0.6247160315,0.5345926727,1.9515563916,1.4530087606,0.4268777501,0.3366388896,0.5030182782,0.4061683882,0.1305244982,0.8049999049,879.25,1354.86315382728,80,78.80141278737226
7,0.7887253832,0.5445686587,0.6767574776,0.5178565276,2.4323534117,1.4969182942,0.4712202434,0.3094343946,0.5619064216,0.3799943536,0.0674113581,0.9477589857,865.94,1319.78008494553,80,66.92463325546836
8,0.7032923154,0.55747560565,0.5876042653,0.51255300235,1.7634755991,1.2134124929,0.4039286902,0.29350554515,0.4728485473,0.36414172115,0.0873368675499999,0.873303381,891.9,1459.82156049656,80,67.23960866246654
9,0.7482215073,0.5839626207,0.6296790798,0.5274512692,2.1233070154,1.4342724828,0.4456726152,0.3224883692,0.5219509421,0.3936523933,0.1313672958,0.8091424439,890.03,1443.49631598757,70,74.2925450298896
