Fecha,srf,srf_holtwin_predicts
2020-01-01,10314964.0,15671306.997432541
2020-01-02,12312105.0,10659280.331636969
2020-01-03,16722125.0,10380216.08198173
2020-01-04,15158476.0,16936669.006937914
2020-01-05,17295990.0,17207982.612733696
2020-01-06,17423828.0,16643159.707325153
2020-01-07,13421807.0,17012275.893514965
2020-01-08,16189717.0,11897953.830745105
2020-01-09,16441630.0,16673657.12085197
2020-01-10,16715134.0,12575519.515690912
2020-01-11,16200176.0,16711613.622145098
2020-01-12,16015406.0,11918423.98157328
2020-01-13,15380578.0,16954849.707191944
2020-01-14,10780855.0,18859768.764635094
2020-01-15,9381506.0,16623466.467303144
2020-01-16,10484302.0,13647360.888650332
2020-01-17,12901016.0,12328189.124461684
2020-01-18,13595772.0,11847568.337592414
2020-01-19,6284341.0,13150411.292240445
2020-01-20,4499955.0,7430820.360570396
2020-01-21,9446044.0,1791333.5980426855
2020-01-22,17523366.0,7641857.779696187
2020-01-23,11148182.0,9790264.425386008
2020-01-24,10813001.0,8783426.74319641
2020-01-25,8584006.0,17240628.606841847
2020-01-26,10288515.0,12537286.742694039
2020-01-27,17041246.0,8634609.704909712
2020-01-28,17629730.0,10407029.109156504
2020-01-29,12949925.0,14594663.533082433
2020-01-30,10843214.0,16378295.980721485
2020-01-31,11681929.0,17974251.212999053
2020-02-01,10035817.0,13690162.33768472
2020-02-02,10786263.0,7354090.263125965
2020-02-03,13926802.0,12589376.146812202
2020-02-04,16082717.0,14855156.721135193
2020-02-05,14349706.0,14663263.426949902
2020-02-06,17959776.0,15671320.710661706
2020-02-07,16074032.0,18372545.522314038
2020-02-08,12703504.0,13683750.754975507
2020-02-09,19478732.0,11475279.360338354
2020-02-10,17785330.0,17750899.488619797
2020-02-11,17733660.0,13875830.999400243
2020-02-12,17032522.0,18728318.986879762
2020-02-13,7837314.0,18272398.62729986
2020-02-14,10571869.0,12090460.644876719
2020-02-15,17201464.0,13559695.292119432
2020-02-16,19410314.0,16451346.72015792
2020-02-17,19027500.0,18331921.89943613
2020-02-18,20193376.0,19302677.623231407
2020-02-19,18019562.0,19269835.45018487
2020-02-20,14966300.0,14018366.83994343
2020-02-21,6847597.0,19479683.07485971
2020-02-22,18437948.0,15362653.590297207
2020-02-23,20675284.0,13988891.753832337
2020-02-24,20353070.0,19400012.72050901
2020-02-25,17315074.0,19481825.75077525
2020-02-26,8592964.0,14353920.074439552
2020-02-27,19442250.0,13053979.439609533
2020-02-28,21855782.0,17224093.957640354
2020-02-29,15883427.0,20784919.862245098
2020-03-01,21077546.0,19573960.697438605
2020-03-02,21729050.0,15794308.61165208
2020-03-03,22319026.0,22456741.878430974
2020-03-04,22407954.0,22224428.38310413
2020-03-05,17198406.0,23846385.614461277
2020-03-06,21633952.0,20504274.382757302
2020-03-07,19841636.0,18347264.440740507
2020-03-08,12352206.0,15453001.432145694
2020-03-09,17445130.0,14671480.40040545
2020-03-10,15103781.0,22271959.589846358
2020-03-11,19196344.0,19311810.65828572
2020-03-12,22141672.0,15010628.313693035
2020-03-13,22836588.0,19418309.010475986
2020-03-14,18243668.0,19428151.536287256
2020-03-15,15399208.0,19469567.5037832
2020-03-16,15686664.0,22029989.022980638
2020-03-17,19798270.0,19678440.584364742
2020-03-18,17945816.0,18083474.278902
2020-03-19,23118810.0,9845474.404443901
2020-03-20,16577995.0,19267086.143127047
2020-03-21,17558790.0,24977259.036450278
2020-03-22,19536530.0,20946720.830436327
2020-03-23,24492536.0,19850158.193230294
2020-03-24,24649014.0,23522137.255618073
2020-03-25,25224046.0,24440349.83841174
2020-03-26,25300904.0,24922960.384936284
2020-03-27,25040992.0,24873688.37364416
2020-03-28,24191310.0,20402853.838202238
2020-03-29,16832508.0,19176886.74214782
