Fecha,srf,srf_holtwin_predicts
2020-01-01,10417218.0,15811795.81276587
2020-01-02,12428916.0,10573245.196410336
2020-01-03,16870484.0,10453154.30440659
2020-01-04,15295437.0,17298318.370437518
2020-01-05,17449072.0,17394934.681351658
2020-01-06,17576704.0,16811196.519560486
2020-01-07,13546053.0,17198508.729326863
2020-01-08,16333000.0,11900391.60816166
2020-01-09,16586749.0,16921282.718946524
2020-01-10,16861648.0,12731042.53746631
2020-01-11,16341797.0,17023158.70720053
2020-01-12,16155680.0,12086709.755379342
2020-01-13,15515086.0,17274795.56872107
2020-01-14,10881237.0,19043263.589099113
2020-01-15,9471688.0,16489337.365785386
2020-01-16,10581383.0,13381926.924388666
2020-01-17,13014574.0,12145738.779128855
2020-01-18,13713254.0,11837101.481935823
2020-01-19,6348529.0,13272241.196357772
2020-01-20,4549997.5,7262337.886005574
2020-01-21,9530999.0,1604628.0133128725
2020-01-22,17666060.0,7884863.090454356
2020-01-23,11243266.0,10307499.725280415
2020-01-24,10904503.0,9109271.86949576
2020-01-25,8658121.0,17565905.995558653
2020-01-26,10373374.0,12418136.065429986
2020-01-27,17174186.0,8523218.125242628
2020-01-28,17765820.0,10704841.236413937
2020-01-29,13050766.0,15064369.602432799
2020-01-30,10927018.0,16610243.70896135
2020-01-31,11770707.0,17961297.02257536
2020-02-01,10111457.0,13499730.792768234
2020-02-02,10865693.0,7142865.024224021
2020-02-03,14026845.0,12679079.89626776
2020-02-04,16197335.0,15007051.862294234
2020-02-05,14450012.0,14831601.824545005
2020-02-06,18085256.0,15798965.34741292
2020-02-07,16182947.0,18590165.718114443
2020-02-08,12786712.0,13733283.304764975
2020-02-09,19609644.0,11494513.873483881
2020-02-10,17902218.0,18127822.817978546
2020-02-11,17847894.0,14084721.625664378
2020-02-12,17139964.0,19041989.780103482
2020-02-13,7874910.5,18416886.80964054
2020-02-14,10628259.0,11798885.363966504
2020-02-15,17304498.0,13415798.726636367
2020-02-16,19526626.0,16574537.002543334
2020-02-17,19139344.0,18556167.64265089
2020-02-18,20311438.0,19494212.623666186
2020-02-19,18120098.0,19447773.88002019
2020-02-20,15041761.0,14075260.607062865
2020-02-21,6862198.5,19613570.9502736
2020-02-22,18534214.0,15000352.650151001
2020-02-23,20786178.0,13956772.846133798
2020-02-24,20458794.0,19694284.679301694
2020-02-25,17396972.0,19703170.768014666
2020-02-26,8608467.0,14392840.771478847
2020-02-27,19535154.0,12885354.540642908
2020-02-28,21963460.0,17426800.043847553
2020-02-29,15944751.0,21106795.45513305
2020-03-01,21175050.0,19589256.528269835
2020-03-02,21828482.0,15872072.578926606
2020-03-03,22419938.0,22780079.939026393
2020-03-04,22507294.0,22419820.381414987
2020-03-05,17256952.0,24005784.31470529
2020-03-06,21723148.0,20371656.917681523
2020-03-07,19914948.0,18351814.125848167
2020-03-08,12367565.0,15517843.121589793
2020-03-09,17495932.0,14602431.322322842
2020-03-10,15134697.0,22408761.589676492
2020-03-11,19254272.0,19140187.14526908
2020-03-12,22217706.0,14924055.050875582
2020-03-13,22916006.0,19673721.322653502
2020-03-14,18286248.0,19696162.404183686
2020-03-15,15418234.0,19576278.266054932
2020-03-16,15706105.0,21976511.23282193
2020-03-17,19844320.0,19443990.254489306
2020-03-18,17975542.0,17987993.67590869
2020-03-19,23182882.0,9749789.009966955
2020-03-20,16592709.0,19743219.473509897
2020-03-21,17577292.0,25161046.003706105
2020-03-22,19566628.0,20774003.589787588
2020-03-23,24556538.0,19730474.011898074
2020-03-24,24711336.0,23672567.440564916
2020-03-25,25287198.0,24583231.412382387
2020-03-26,25361796.0,25048177.463676903
2020-03-27,25097768.0,24973282.27086453
2020-03-28,24239072.0,20450025.36147291
2020-03-29,16823270.0,19332777.887531295
2020-03-30,18397018.0,23595517.416941185
2020-03-31,19231436.0,22573736.04875662
2020-04-01,21563898.0,14932230.337562878
2020-04-02,23694488.0,17768668.158997286
2020-04-03,16066966.0,25343690.661870062
2020-04-04,17741384.0,21203763.972322024
2020-04-05,11673034.0,20969124.451321848
2020-04-06,16044779.0,12432739.034784349
2020-04-07,17304910.0,12579810.160126379
2020-04-08,22788176.0,15503978.057553614
2020-04-09,24381602.0,19484628.462269112
2020-04-10,19554564.0,23277468.354024053
2020-04-11,22071444.0,23131755.947116844
2020-04-12,25536160.0,23044856.154732265
2020-04-13,26785540.0,26105173.213736407
2020-04-14,26050228.0,26299813.6360836
2020-04-15,7828624.0,24533383.518015303
2020-04-16,8786249.0,16590622.391189087
2020-04-17,24903798.0,6754620.042951446
2020-04-18,19882124.0,16386457.929383885
2020-04-19,26335384.0,19548736.523457237
2020-04-20,25095476.0,26073281.212607283
2020-04-21,26139322.0,21101228.856333047
2020-04-22,25741670.0,25649742.976447582
2020-04-23,25255706.0,30434248.107834462
2020-04-24,26409004.0,24351029.29835541
2020-04-25,24878896.0,27352253.84108102
2020-04-26,16701558.0,24468824.12011281
2020-04-27,24390484.0,21747345.708313305
2020-04-28,26931650.0,23561221.824625522
2020-04-29,24740890.0,26532048.969541933
2020-04-30,18999380.0,23041449.888845045
2020-05-01,26428354.0,18049415.54341518
2020-05-02,26768624.0,27327939.573581547
2020-05-03,25802514.0,26004101.709709056
2020-05-04,26077206.0,27696583.52401405
2020-05-05,21692046.0,25295761.424559817
2020-05-06,19322972.0,23668924.211831953
2020-05-07,24053402.0,21156964.64640303
2020-05-08,24561384.0,23742678.140895274
2020-05-09,20162994.0,24569012.519103114
2020-05-10,23223554.0,18587144.89806276
2020-05-11,20580778.0,21499564.162809074
2020-05-12,20602170.0,19011080.483409572
2020-05-13,19114466.0,21598684.526636794
2020-05-14,21699120.0,19258784.51155859
2020-05-15,24147792.0,25009348.338165537
2020-05-16,25606040.0,23770916.281491365
2020-05-17,25333706.0,26340348.346849155
2020-05-18,26414926.0,23785469.93572725
2020-05-19,27427384.0,26107935.85961535
2020-05-20,25636530.0,25495726.083492994
2020-05-21,20455164.0,26319582.46318648
2020-05-22,22311546.0,22831820.11400862
2020-05-23,22950034.0,22742529.14128512
2020-05-24,24145784.0,22686823.834795963
2020-05-25,24182194.0,23719655.738286857
2020-05-26,21878970.0,23266065.281948026
2020-05-27,19148738.0,23919417.0107213
2020-05-28,21356484.0,22737252.51145633
2020-05-29,15614111.0,18535326.3724693
2020-05-30,23340892.0,17919100.51179511
2020-05-31,24101028.0,21416813.26088957
2020-06-01,22071604.0,20239371.295731585
2020-06-02,22509076.0,18668332.463937048
2020-06-03,24366088.0,19036491.279443912
2020-06-04,24207248.0,26672055.80707193
2020-06-05,24523320.0,28964574.61524231
2020-06-06,23639682.0,27950912.43687711
2020-06-07,25694604.0,25434181.303055298
2020-06-08,26737074.0,23805646.144064687
2020-06-09,27138906.0,23448896.407522537
2020-06-10,21927588.0,26375653.437871605
2020-06-11,15770192.0,25269893.225273803
2020-06-12,26569172.0,19235658.7621444
2020-06-13,24521268.0,21565283.114012565
2020-06-14,22975988.0,24296110.338104807
2020-06-15,27480944.0,23670286.280637436
2020-06-16,24364130.0,26353857.433884554
2020-06-17,26185352.0,25679498.26810967
2020-06-18,24838578.0,24992370.900408242
2020-06-19,24667702.0,23210731.51178978
2020-06-20,24928394.0,27200115.889042072
2020-06-21,24721302.0,24315570.069996074
2020-06-22,21286380.0,20483930.27094129
2020-06-23,24594840.0,25980757.889713407
2020-06-24,18644230.0,26044966.17327808
2020-06-25,14417305.0,21583929.28186874
2020-06-26,17199006.0,18166940.129476298
