Parcela,Fecha,dias,ndvi,gndvi,cire,ndre1,ndre,ndmi,msi,temp,dia_x,reconstruida_temp,ajustados_temp,srf,dia_y,reconstruida_srf,ajustados_srf,precip,precip_acum,et,dia,reconstruida_et,ajustados_et,et_acum,et_acum_ajustados,rh12,rh12_holtwin_predicts,kc,etc,etc_acum
1,2020-11-27,1.0,0.1710159061999999,0.3188780383,-0.0270549907,0.0197051746999999,0.0905275069,-0.2725373648,1.6457561876,299.23804,332,298.4424692624708,295.2021842098719,16682646.0,332,15417174.043678729,15083952.75551518,0.13,0.13,3.6006858,332,3.3865275241680552,3.0263701846242004,3.6006858,3.0263701846242004,49.73307,52.03115554536932,0.36666829212999985,1.3202573127827422,1.3202573127827422
1,2020-11-28,2.0,0.1742892946,0.3205487032999999,-0.0156715779,0.0221834951,0.0929348065999999,-0.2699304828,1.6401123954,299.33347,333,297.3680165735758,295.14907730947704,14874097.0,333,14305630.290799014,15036054.450753294,0.98,1.11,3.1916966,333,3.306891714914929,3.016895522196898,6.7923824,6.043265706821098,51.859024,57.77629556260308,0.37043268879,1.1823087533399013,2.502566066122643
1,2020-11-29,3.0,0.1775511656,0.3222134227,-0.0043310272999999,0.0246527250999999,0.0953333926999999,-0.267332082,1.6344867622,295.38672,334,295.812539685188,295.0971727274884,6406866.5,334,13088443.170285586,14989604.303700864,2.0,3.11,2.2137122,334,3.1834521538952925,3.007895101858008,9.0060946,9.051160808679109,59.27891,49.6813028197655,0.37418384043999997,0.8283353326248812,3.3309013987475247
1,2020-11-30,4.0,0.1808015191999999,0.3238721965,0.0069666610999999,0.0271128647,0.0977232651999999,-0.2647421624,1.628879288,290.24933,335,293.9724159409429,295.04648603237405,8747631.0,335,11992195.253973285,14944616.381811824,0.02,3.13,3.0168364,335,3.0327694840646338,2.9993716240380204,12.022931,12.050532432717128,43.918488,47.06057882440851,0.37792174707999987,1.1401280829425373,4.471029481690062
1,2020-12-01,5.0,0.1840403554,0.3255250247,0.0182214872999999,0.0295639139,0.1001044240999999,-0.262160724,1.6232899728,290.58194,336,292.1102312270914,294.9970324273044,16996618.0,336,11182242.111877527,14901104.309704363,0.0,3.13,2.942539,336,2.868356099176315,2.9913276460685445,14.96547,15.041860078785673,35.465054,50.67148948851528,0.38164640871,1.1230094418391148,5.594038923529176
1,2020-12-02,6.0,0.1872676742,0.3271719073,0.0294334512999999,0.0320058727,0.1024768693999999,-0.2595877668,1.6177188166,294.28787,337,290.50235279331264,294.9488267455918,17166642.0,337,10737650.486707076,14859081.26503472,0.0,3.13,3.2290587,337,2.700921706655504,2.983765581415013,18.1945287,18.025625660200685,40.71121,42.89730047609327,0.38535782533,1.244343038494917,6.838381962024093
1,2020-12-03,7.0,0.1904834756,0.3288128442999999,0.0406025530999999,0.0344387411,0.1048406010999999,-0.2570232908,1.6121658194,291.0836,338,289.3822742121719,294.90188344624136,10342103.0,338,10656433.232478287,14818559.974506306,0.01,3.14,3.2793071,338,2.541209413046645,2.9766876989525697,21.4738358,21.002313359153256,27.831291,31.76425112071197,0.38905599694000004,1.2758340930629204,8.114216055087013
1,2020-12-04,8.0,0.1936877596,0.3304478356999999,0.0517287927,0.0368625191,0.1071956192,-0.254467296,1.6066309812,287.86414,339,288.8928043656716,294.8562166096144,9162766.0,339,10883455.924291125,14779552.710015414,0.13,3.27,2.2381582,339,2.403363992584941,2.970096122285324,23.711994,23.97240948143858,32.582947,38.15242349409272,0.39274092354,0.8790163184966241,8.993232373583638
1,2020-12-05,9.0,0.1968805262,0.3320768815,0.0628121701,0.0392772067,0.1095419236999999,-0.2519197824,1.601114302,289.9703,340,289.05832557001025,294.8118399332047,7785407.0,340,11346283.209133731,14742071.284934692,0.99,4.26,1.8021597,340,2.3064548726040752,2.9639928291092,25.5141537,26.936402310547777,46.31366,37.70991446841016,0.39641260513,0.7143988215372993,9.707631195120937
1,2020-12-06,10.0,0.2000617754,0.3336999817,0.0738526852999999,0.0416828038999999,0.1118795146,-0.24938075,1.5956157818,288.24203,341,289.7836118965138,294.7687667275302,5459504.5,341,11983219.134489449,14706127.05053543,0.14,4.4,1.7345167,341,2.2724994286036786,2.9583796506185616,27.2486704,29.894781961166338,41.37485,46.40647080116977,0.40007104170999996,0.6939299030323914,10.401561098153328
1,2020-12-07,11.0,0.2032315072,0.3353171363,0.0848503383,0.0440793107,0.1142083918999999,-0.2468501988,1.5901354206,290.55444,342,290.8792226263785,294.7270099121409,15873566.0,342,12752922.240687024,14671730.89254982,-0.0,4.4,2.302875,342,2.32084187715854,2.953258270956791,29.551545400000002,32.848040232123125,32.36046,41.48068123048247,0.40371623327999995,0.9297080207146798,11.331269118868008
1,2020-12-08,12.0,0.2063897216,0.3369283453,0.0958051291,0.0464667271,0.1165285556,-0.2443281288,1.5846732184,291.53812,343,292.1069325166238,294.68658201174304,16423065.0,343,13624015.16966733,14638893.227874234,-0.0,4.4,2.6968236,343,2.460468214915826,2.948630226710991,32.248369000000004,35.796670458834114,28.24176,31.301211360270464,0.40734817984,1.0985461848095563,12.429815303677564
1,2020-12-09,13.0,0.2095364186,0.3385336087,0.1067170576999999,0.0488450531,0.1188400057,-0.24181454,1.5792291752,292.21243,344,293.23376998622035,294.64749515244307,16932268.0,344,14552416.651973749,14607624.00141443,-0.0,4.4,2.9945312,344,2.683095841925996,2.9444969064509525,35.2429002,38.741167365285065,36.003483,31.032832925169743,0.41096688139,1.2306531484890544,13.660468452166619
1,2020-12-10,14.0,0.2126715982,0.3401329265,0.1175861241,0.0512142887,0.1211427421999999,-0.2393094324,1.573803291,293.44214,345,294.0813303246384,294.60976105811,16817966.0,345,15460008.127379777,14577932.683073744,-0.0,4.4,3.24411,345,2.960125827302777,2.940859550312541,38.4870102,41.6820269155976,39.14618,28.319566388780647,0.41457233793000003,1.3449182672020925,15.005386719368712
1,2020-12-11,15.0,0.2157952604,0.3417262987,0.1284123283,0.0535744338999999,0.1234367650999999,-0.236812806,1.5683955658,295.6879,346,294.5586306757344,294.5733910468593,16296521.0,346,16228342.094791818,14549828.264885137,-0.0,4.4,3.1800947,346,3.2455943027366154,2.937719249625613,41.6671049,44.61974616522322,46.434593,39.14129203909821,0.41816454946,1.329802867465634,16.335189586834346
1,2020-12-12,16.0,0.2189074052,0.3433137253,0.1391956703,0.0559254887,0.1257220744,-0.2343246608,1.5630059996,296.40344,347,294.6714206316732,294.5383960276577,15760718.0,347,16715255.316102767,14523319.258287923,0.0,4.4,2.8936172,347,3.485355187512084,2.9350769465865776,44.5607221,47.5548231118098,47.38223,37.55601265233671,0.42174351597999993,1.2203642918282027,17.55555387866255
1,2020-12-13,17.0,0.2220080326,0.3448952063,0.1499361501,0.0582674531,0.1279986701,-0.2318449968,1.5576345924,298.41824,348,294.50724532994474,294.50478649705144,16168090.0,348,16792613.192149267,14498413.691550106,0.02,4.419999999999999,3.8583198,348,3.630490858993941,2.932933433975707,48.419041899999996,50.4877565457855,49.13114,50.17223317063883,0.42530923748999994,1.640979052130569,19.19653293079312
1,2020-12-14,18.0,0.2250971426,0.3464707417,0.1606337676999999,0.0606003271,0.1302665522,-0.229373814,1.5522813442,291.708,349,294.2018861564594,294.4725725360177,11966702.0,349,16393656.98012814,14475119.10733699,-0.0,4.419999999999999,3.7171497,349,3.6511706007496776,2.93128935491928,52.1361916,53.41904590070478,21.434517,48.779053821887366,0.42886171398999995,1.594143191499414,20.79067612229253
1,2020-12-15,19.0,0.2281747351999999,0.3480403314999999,0.1712885230999999,0.0629241107,0.1325257207,-0.2269111124,1.546946255,293.03195,350,293.8973312880641,294.4417638069409,16601927.0,350,15552415.431102984,14453442.560426898,-0.0,4.419999999999999,3.6865675,350,3.5465417368236305,2.930145202696613,55.8227591,56.3491911034014,34.56058,30.966408117536528,0.43240094547999985,1.5940752725758394,22.38475139486837
1,2020-12-16,20.0,0.2312408104,0.3496039756999999,0.1819004162999999,0.0652388039,0.1347761756,-0.224456892,1.5416293248,292.44824,351,293.7029648551033,294.41236955071474,16737100.0,351,14417988.651566444,14433390.61557461,-0.0,4.419999999999999,3.774542,351,3.347070140719432,2.929501320592068,59.597301099999996,59.27869242399346,18.954737,31.602980101008527,0.43592693196,1.645424513614162,24.030175908482533
1,2020-12-17,21.0,0.2342953682,0.3511616743,0.1924694472999999,0.0675444067,0.1370179168999999,-0.2220111528,1.5363305536,290.4003,352,293.66991754866706,294.3843985839701,9092278.0,352,13233560.736784598,14414969.345523234,0.0,4.419999999999999,1.9092396,352,3.1078754718262176,2.929357901792053,61.506540699999995,62.20805032578552,39.492214,25.51221083435985,0.43943967343,0.8389956263236239,24.869171534806156
1,2020-12-18,22.0,0.2373384086,0.3527134273,0.2029956161,0.0698409191,0.1392509445999999,-0.2195738948,1.5310499414,294.00937,353,293.7841616832854,294.35785929643066,14695771.0,353,12281613.368745925,14398184.329165077,-0.0,4.419999999999999,3.1404564,353,2.894398818825048,2.929714989327058,64.6469971,65.13776531511257,47.963905,41.96595588135812,0.44293916989000004,1.391031150891738,26.260202685697895
1,2020-12-19,23.0,0.2403699316,0.3542592347,0.2134789227,0.0721283410999999,0.1414752587,-0.217145118,1.5257874882,296.36447,354,293.9783566153967,294.3327596483967,16294816.0,354,11809056.036685277,14383040.649852056,0.0,4.419999999999999,3.1408896,354,2.764294862221933,2.930572476058746,67.78788669999999,68.06833779117132,46.597572,42.69619048914848,0.44642542133999996,1.402172963062424,27.662375648760317
1,2020-12-20,24.0,0.2433899372,0.3557990964999999,0.2239193671,0.0744066727,0.1436908592,-0.2147248224,1.520543194,294.9352,355,294.15733002557266,294.3091071683571,12964454.0,355,11954468.588481622,14369542.893856224,0.01,4.429999999999999,3.1657348,355,2.75088478052294,2.9319301047120976,70.95362149999998,71.00026789588341,29.922394,34.17151391364864,0.44989842778,1.4242591092884327,29.08663475804875
1,2020-12-21,25.0,0.2463984254,0.3573330127,0.2343169492999999,0.0766759139,0.1458977461,-0.212313008,1.5153170588,294.44427,356,294.22884797873616,294.2869089507315,9456080.0,356,12701083.708207464,14357695.1489808,0.01,4.439999999999999,2.1872752,356,2.85329716547726,2.9337874679526026,73.14089669999998,73.93405536383601,55.02645,43.165375409494985,0.45335818921000004,0.9916191239759408,30.07825388202469
1,2020-12-22,26.0,0.2493953962,0.3588609833,0.2446716693,0.0789360647,0.1480959194,-0.2099096748,1.5101090826,296.14978,357,294.1307481823406,294.2661716537422,13570614.0,357,13872559.456396084,14347501.00332218,0.61,5.049999999999999,3.2076976,357,3.036548872903995,2.9361440085084727,76.34859429999999,76.87019937234449,45.30194,50.02136074257908,0.45680470563,1.4652913579180573,31.54354523994275
1,2020-12-23,27.0,0.2523808496,0.3603830083,0.2549835271,0.0811871251,0.1502853791,-0.2075148228,1.5049192654,297.42215,358,293.84749711235537,294.246901497417,16236434.0,358,15175803.198049476,14338963.54418328,0.03,5.079999999999999,3.4941642,358,3.2418186955026966,2.938999019337845,79.84275849999999,79.80919839168233,46.871895,43.47077010645472,0.46023797704,1.60814706285359,33.15169230279634
1,2020-12-24,28.0,0.2553547856,0.3618990877,0.2652525227,0.0834290951,0.1524661252,-0.205128452,1.4997476072,290.17307,359,293.41293002692754,294.2291042617239,13089353.0,359,16280145.15724096,14332085.357138544,0.01,5.089999999999999,4.107617,359,3.403980988832351,2.9423516438409147,83.95037549999999,82.75155003552324,14.411042,33.6689415973475,0.46365800343999997,1.9045294971162026,35.05622179991254
1,2020-12-25,29.0,0.2583172042,0.3634092215,0.2754786561,0.0856619747,0.1546381577,-0.2027505624,1.494594108,288.31073,360,292.90005894734173,294.21278528483685,16591401.0,360,16909980.142505925,14326868.5252509,-0.0,5.089999999999999,2.7833855,360,3.4711245757380635,2.9462008761169467,86.73376099999999,85.69775091164018,25.999279,30.656610694504973,0.46706478483,1.3000213496564421,36.35624314956898
1,2020-12-26,30.0,0.2612681054,0.3649134096999999,0.2856619273,0.0878857639,0.1568014766,-0.200381154,1.4894587678,289.50204,361,292.40211899269127,294.19794946153525,16259081.0,361,16922800.665206816,14323314.628440903,-0.0,5.089999999999999,2.7809968,361,3.420067461381352,2.9505455612660785,89.51475779999998,88.64829647290627,38.87116,39.12577948749784,0.47045832121,1.308343085818382,37.66458623538736
